country;variable;percentile;year;value;age;pop
QS-MER;aptincj992;p0p1;1980;0;992;j
QS-MER;aptincj992;p0p1;1981;0;992;j
QS-MER;aptincj992;p0p1;1982;0;992;j
QS-MER;aptincj992;p0p1;1983;0;992;j
QS-MER;aptincj992;p0p1;1984;0;992;j
QS-MER;aptincj992;p0p1;1985;0;992;j
QS-MER;aptincj992;p0p1;1986;0;992;j
QS-MER;aptincj992;p0p1;1987;0;992;j
QS-MER;aptincj992;p0p1;1988;0;992;j
QS-MER;aptincj992;p0p1;1989;0;992;j
QS-MER;aptincj992;p0p1;1990;0;992;j
QS-MER;aptincj992;p0p1;1991;0;992;j
QS-MER;aptincj992;p0p1;1992;0;992;j
QS-MER;aptincj992;p0p1;1993;0;992;j
QS-MER;aptincj992;p0p1;1994;0;992;j
QS-MER;aptincj992;p0p1;1995;0;992;j
QS-MER;aptincj992;p0p1;1996;0;992;j
QS-MER;aptincj992;p0p1;1997;0;992;j
QS-MER;aptincj992;p0p1;1998;0;992;j
QS-MER;aptincj992;p0p1;1999;0;992;j
QS-MER;aptincj992;p0p1;2000;0;992;j
QS-MER;aptincj992;p0p1;2001;0;992;j
QS-MER;aptincj992;p0p1;2002;0;992;j
QS-MER;aptincj992;p0p1;2003;0;992;j
QS-MER;aptincj992;p0p1;2004;0;992;j
QS-MER;aptincj992;p0p1;2005;0;992;j
QS-MER;aptincj992;p0p1;2006;0;992;j
QS-MER;aptincj992;p0p1;2007;0;992;j
QS-MER;aptincj992;p0p1;2008;0;992;j
QS-MER;aptincj992;p0p1;2009;0;992;j
QS-MER;aptincj992;p0p1;2010;0;992;j
QS-MER;aptincj992;p0p1;2011;0;992;j
QS-MER;aptincj992;p0p1;2012;0;992;j
QS-MER;aptincj992;p0p1;2013;0;992;j
QS-MER;aptincj992;p0p1;2014;0;992;j
QS-MER;aptincj992;p0p1;2015;0;992;j
QS-MER;aptincj992;p0p1;2016;0;992;j
QS-MER;aptincj992;p0p1;2017;0;992;j
QS-MER;aptincj992;p0p1;2018;0;992;j
QS-MER;aptincj992;p0p1;2019;0;992;j
QS-MER;aptincj992;p0p1;2020;0;992;j
QS-MER;aptincj992;p0p1;2021;0;992;j
QS-MER;aptincj992;p0p100;1980;1602.8;992;j
QS-MER;aptincj992;p0p100;1981;1616.9;992;j
QS-MER;aptincj992;p0p100;1982;1618.6;992;j
QS-MER;aptincj992;p0p100;1983;1667.7;992;j
QS-MER;aptincj992;p0p100;1984;1661.9;992;j
