country;variable;percentile;year;value;age;pop
QS;aptincj992;p0p1;1980;0;992;j
QS;aptincj992;p0p1;1981;0;992;j
QS;aptincj992;p0p1;1982;0;992;j
QS;aptincj992;p0p1;1983;0;992;j
QS;aptincj992;p0p1;1984;0;992;j
QS;aptincj992;p0p1;1985;0;992;j
QS;aptincj992;p0p1;1986;0;992;j
QS;aptincj992;p0p1;1987;0;992;j
QS;aptincj992;p0p1;1988;0;992;j
QS;aptincj992;p0p1;1989;0;992;j
QS;aptincj992;p0p1;1990;0;992;j
QS;aptincj992;p0p1;1991;0;992;j
QS;aptincj992;p0p1;1992;0;992;j
QS;aptincj992;p0p1;1993;0;992;j
QS;aptincj992;p0p1;1994;0;992;j
QS;aptincj992;p0p1;1995;0;992;j
QS;aptincj992;p0p1;1996;0;992;j
QS;aptincj992;p0p1;1997;0;992;j
QS;aptincj992;p0p1;1998;0;992;j
QS;aptincj992;p0p1;1999;0;992;j
QS;aptincj992;p0p1;2000;0;992;j
QS;aptincj992;p0p1;2001;0;992;j
QS;aptincj992;p0p1;2002;0;992;j
QS;aptincj992;p0p1;2003;0;992;j
QS;aptincj992;p0p1;2004;0;992;j
QS;aptincj992;p0p1;2005;0;992;j
QS;aptincj992;p0p1;2006;0;992;j
QS;aptincj992;p0p1;2007;0;992;j
QS;aptincj992;p0p1;2008;0;992;j
QS;aptincj992;p0p1;2009;0;992;j
QS;aptincj992;p0p1;2010;0;992;j
QS;aptincj992;p0p1;2011;0;992;j
QS;aptincj992;p0p1;2012;0;992;j
QS;aptincj992;p0p1;2013;0;992;j
QS;aptincj992;p0p1;2014;0;992;j
QS;aptincj992;p0p1;2015;0;992;j
QS;aptincj992;p0p1;2016;0;992;j
QS;aptincj992;p0p1;2017;0;992;j
QS;aptincj992;p0p1;2018;0;992;j
QS;aptincj992;p0p1;2019;0;992;j
QS;aptincj992;p0p1;2020;0;992;j
QS;aptincj992;p0p1;2021;0;992;j
QS;aptincj992;p0p100;1980;3746.8;992;j
QS;aptincj992;p0p100;1981;3748.6;992;j
QS;aptincj992;p0p100;1982;3749.1;992;j
QS;aptincj992;p0p100;1983;3869.9;992;j
QS;aptincj992;p0p100;1984;3859.1;992;j
QS;aptincj992;p0p100;1985;3768.9;992;j
QS;aptincj992;p0p100;1986;3717.3;992;j
QS;aptincj992;p0p100;1987;3916.8;992;j
QS;aptincj992;p0p100;1988;4138.3;992;j
QS;aptincj992;p0p100;1989;4399.6;992;j
QS;aptincj992;p0p100;1990;4625.5;992;j
QS;aptincj992;p0p100;1991;4752.4;992;j
QS;aptincj992;p0p100;1992;4922.2;992;j
QS;aptincj992;p0p100;1993;5182.7;992;j
QS;aptincj992;p0p100;1994;5425.5;992;j
QS;aptincj992;p0p100;1995;5699.2;992;j
QS;aptincj992;p0p100;1996;5934.1;992;j
QS;aptincj992;p0p100;1997;6098.1;992;j
QS;aptincj992;p0p100;1998;5642.8;992;j
QS;aptincj992;p0p100;1999;5435.3;992;j
QS;aptincj992;p0p100;2000;5998.9;992;j
QS;aptincj992;p0p100;2001;6070.6;992;j
QS;aptincj992;p0p100;2002;6162.4;992;j
QS;aptincj992;p0p100;2003;6386.4;992;j
QS;aptincj992;p0p100;2004;6667.9;992;j
QS;aptincj992;p0p100;2005;7030.3;992;j
QS;aptincj992;p0p100;2006;7374.4;992;j
QS;aptincj992;p0p100;2007;7854.6;992;j
QS;aptincj992;p0p100;2008;8356.4;992;j
QS;aptincj992;p0p100;2009;8338.8;992;j
QS;aptincj992;p0p100;2010;9159.6;992;j
QS;aptincj992;p0p100;2011;9592.3;992;j
QS;aptincj992;p0p100;2012;9843.1;992;j
QS;aptincj992;p0p100;2013;10043.4;992;j
QS;aptincj992;p0p100;2014;10267.8;992;j
QS;aptincj992;p0p100;2015;10460.5;992;j
QS;aptincj992;p0p100;2016;10916.2;992;j
QS;aptincj992;p0p100;2017;11231.2;992;j
QS;aptincj992;p0p100;2018;11585.3;992;j
QS;aptincj992;p0p100;2019;11901.6;992;j
QS;aptincj992;p0p100;2020;11327.9;992;j
QS;aptincj992;p0p100;2021;11654.8;992;j
QS;aptincj992;p0p50;1980;714.4;992;j
QS;aptincj992;p0p50;1981;720.8;992;j
QS;aptincj992;p0p50;1982;726.9;992;j
QS;aptincj992;p0p50;1983;762.7;992;j
QS;aptincj992;p0p50;1984;783.8;992;j
QS;aptincj992;p0p50;1985;775.2;992;j
QS;aptincj992;p0p50;1986;761.9;992;j
QS;aptincj992;p0p50;1987;782.6;992;j
QS;aptincj992;p0p50;1988;795.1;992;j
QS;aptincj992;p0p50;1989;822.2;992;j
QS;aptincj992;p0p50;1990;847.6;992;j
QS;aptincj992;p0p50;1991;859.7;992;j
QS;aptincj992;p0p50;1992;882.7;992;j
QS;aptincj992;p0p50;1993;952.2;992;j
QS;aptincj992;p0p50;1994;979.7;992;j
QS;aptincj992;p0p50;1995;1017;992;j
QS;aptincj992;p0p50;1996;1058.1;992;j
QS;aptincj992;p0p50;1997;1186.5;992;j
QS;aptincj992;p0p50;1998;1225;992;j
QS;aptincj992;p0p50;1999;1188.1;992;j
QS;aptincj992;p0p50;2000;1302;992;j
QS;aptincj992;p0p50;2001;1291.3;992;j
QS;aptincj992;p0p50;2002;1338.3;992;j
QS;aptincj992;p0p50;2003;1382.2;992;j
QS;aptincj992;p0p50;2004;1440.3;992;j
QS;aptincj992;p0p50;2005;1506.2;992;j
QS;aptincj992;p0p50;2006;1621.8;992;j
QS;aptincj992;p0p50;2007;1714.9;992;j
QS;aptincj992;p0p50;2008;1708.9;992;j
QS;aptincj992;p0p50;2009;1716.2;992;j
QS;aptincj992;p0p50;2010;1961.1;992;j
QS;aptincj992;p0p50;2011;2061.8;992;j
QS;aptincj992;p0p50;2012;2183.1;992;j
QS;aptincj992;p0p50;2013;2294.9;992;j
QS;aptincj992;p0p50;2014;2357.3;992;j
QS;aptincj992;p0p50;2015;2433.9;992;j
QS;aptincj992;p0p50;2016;2595.2;992;j
QS;aptincj992;p0p50;2017;2727;992;j
QS;aptincj992;p0p50;2018;2647.7;992;j
QS;aptincj992;p0p50;2019;2765;992;j
QS;aptincj992;p0p50;2020;2651.8;992;j
QS;aptincj992;p0p50;2021;2701.2;992;j
QS;aptincj992;p10p100;1980;4157.1;992;j
QS;aptincj992;p10p100;1981;4159;992;j
QS;aptincj992;p10p100;1982;4159.4;992;j
QS;aptincj992;p10p100;1983;4293.3;992;j
