country;variable;percentile;year;value;age;pop
QT;aptincj992;p0p1;1980;-603.3;992;j
QT;aptincj992;p0p1;1981;-14438.5;992;j
QT;aptincj992;p0p1;1982;-51180.9;992;j
QT;aptincj992;p0p1;1983;-28092.5;992;j
QT;aptincj992;p0p1;1984;-18959.4;992;j
QT;aptincj992;p0p1;1985;-14556.5;992;j
QT;aptincj992;p0p1;1986;-17767.6;992;j
QT;aptincj992;p0p1;1987;-13199.5;992;j
QT;aptincj992;p0p1;1988;-15439.9;992;j
QT;aptincj992;p0p1;1989;0;992;j
QT;aptincj992;p0p1;1990;0;992;j
QT;aptincj992;p0p1;1991;0;992;j
QT;aptincj992;p0p1;1992;0;992;j
QT;aptincj992;p0p1;1993;0;992;j
QT;aptincj992;p0p1;1994;0;992;j
QT;aptincj992;p0p1;1995;0;992;j
QT;aptincj992;p0p1;1996;0;992;j
QT;aptincj992;p0p1;1997;0;992;j
QT;aptincj992;p0p1;1998;0;992;j
QT;aptincj992;p0p1;1999;0;992;j
QT;aptincj992;p0p1;2000;0;992;j
QT;aptincj992;p0p1;2001;0;992;j
QT;aptincj992;p0p1;2002;0;992;j
QT;aptincj992;p0p1;2003;0;992;j
QT;aptincj992;p0p1;2004;0;992;j
QT;aptincj992;p0p1;2005;0;992;j
QT;aptincj992;p0p1;2006;0;992;j
QT;aptincj992;p0p1;2007;0;992;j
QT;aptincj992;p0p1;2008;0;992;j
QT;aptincj992;p0p1;2009;0;992;j
QT;aptincj992;p0p1;2010;0;992;j
QT;aptincj992;p0p1;2011;0;992;j
QT;aptincj992;p0p1;2012;0;992;j
QT;aptincj992;p0p1;2013;0;992;j
QT;aptincj992;p0p1;2014;0;992;j
QT;aptincj992;p0p1;2015;0;992;j
QT;aptincj992;p0p1;2016;0;992;j
QT;aptincj992;p0p1;2017;0;992;j
QT;aptincj992;p0p1;2018;0;992;j
QT;aptincj992;p0p1;2019;0;992;j
QT;aptincj992;p0p1;2020;0;992;j
QT;aptincj992;p0p1;2021;0;992;j
QT;aptincj992;p0p100;1980;14315.2;992;j
QT;aptincj992;p0p100;1981;14200.5;992;j
QT;aptincj992;p0p100;1982;13496.9;992;j
QT;aptincj992;p0p100;1983;12874.4;992;j
QT;aptincj992;p0p100;1984;13365;992;j
QT;aptincj992;p0p100;1985;12739.3;992;j
QT;aptincj992;p0p100;1986;12342.1;992;j
QT;aptincj992;p0p100;1987;12579.9;992;j
QT;aptincj992;p0p100;1988;12790.1;992;j
QT;aptincj992;p0p100;1989;12674.7;992;j
QT;aptincj992;p0p100;1990;12357.4;992;j
QT;aptincj992;p0p100;1991;12054.5;992;j
QT;aptincj992;p0p100;1992;11529.4;992;j
QT;aptincj992;p0p100;1993;12444;992;j
QT;aptincj992;p0p100;1994;12585.2;992;j
QT;aptincj992;p0p100;1995;12527.8;992;j
QT;aptincj992;p0p100;1996;12812.3;992;j
QT;aptincj992;p0p100;1997;12848;992;j
QT;aptincj992;p0p100;1998;12601.3;992;j
QT;aptincj992;p0p100;1999;12371.2;992;j
QT;aptincj992;p0p100;2000;12536.5;992;j
QT;aptincj992;p0p100;2001;12754.7;992;j
QT;aptincj992;p0p100;2002;13148.3;992;j
QT;aptincj992;p0p100;2003;13446.2;992;j
QT;aptincj992;p0p100;2004;13923.9;992;j
QT;aptincj992;p0p100;2005;14510.3;992;j
QT;aptincj992;p0p100;2006;15060.1;992;j
QT;aptincj992;p0p100;2007;15336;992;j
QT;aptincj992;p0p100;2008;15346.2;992;j
QT;aptincj992;p0p100;2009;15093.6;992;j
QT;aptincj992;p0p100;2010;15501.2;992;j
QT;aptincj992;p0p100;2011;15767.6;992;j
QT;aptincj992;p0p100;2012;15554.6;992;j
QT;aptincj992;p0p100;2013;15367;992;j
QT;aptincj992;p0p100;2014;15157.4;992;j
QT;aptincj992;p0p100;2015;15096.8;992;j
QT;aptincj992;p0p100;2016;14778.8;992;j
QT;aptincj992;p0p100;2017;14668.5;992;j
QT;aptincj992;p0p100;2018;14616.7;992;j
QT;aptincj992;p0p100;2019;14303.7;992;j
QT;aptincj992;p0p100;2020;13259.5;992;j
QT;aptincj992;p0p100;2021;13591.7;992;j
QT;aptincj992;p0p50;1980;3270.2;992;j
QT;aptincj992;p0p50;1981;2949.6;992;j
QT;aptincj992;p0p50;1982;2127;992;j
QT;aptincj992;p0p50;1983;2447.9;992;j
QT;aptincj992;p0p50;1984;2701.7;992;j
QT;aptincj992;p0p50;1985;2799.2;992;j
QT;aptincj992;p0p50;1986;2628;992;j
QT;aptincj992;p0p50;1987;2780.2;992;j
QT;aptincj992;p0p50;1988;2789.9;992;j
QT;aptincj992;p0p50;1989;3077.5;992;j
QT;aptincj992;p0p50;1990;3009.3;992;j
QT;aptincj992;p0p50;1991;2710.2;992;j
QT;aptincj992;p0p50;1992;2623.9;992;j
QT;aptincj992;p0p50;1993;3053;992;j
