country;variable;percentile;year;value;age;pop
QW;aptincj992;p0p1;1980;0;992;j
QW;aptincj992;p0p1;1981;0;992;j
QW;aptincj992;p0p1;1982;0;992;j
QW;aptincj992;p0p1;1983;0;992;j
QW;aptincj992;p0p1;1984;-39.8;992;j
QW;aptincj992;p0p1;1985;-53.5;992;j
QW;aptincj992;p0p1;1986;0;992;j
QW;aptincj992;p0p1;1987;-19.4;992;j
QW;aptincj992;p0p1;1988;0;992;j
QW;aptincj992;p0p1;1989;-86.7;992;j
QW;aptincj992;p0p1;1990;0;992;j
QW;aptincj992;p0p1;1991;-136.3;992;j
QW;aptincj992;p0p1;1992;0;992;j
QW;aptincj992;p0p1;1993;0;992;j
QW;aptincj992;p0p1;1994;0;992;j
QW;aptincj992;p0p1;1995;0;992;j
QW;aptincj992;p0p1;1996;0;992;j
QW;aptincj992;p0p1;1997;0;992;j
QW;aptincj992;p0p1;1998;0;992;j
QW;aptincj992;p0p1;1999;0;992;j
QW;aptincj992;p0p1;2000;0;992;j
QW;aptincj992;p0p1;2001;0;992;j
QW;aptincj992;p0p1;2002;0;992;j
QW;aptincj992;p0p1;2003;0;992;j
QW;aptincj992;p0p1;2004;0;992;j
QW;aptincj992;p0p1;2005;0;992;j
QW;aptincj992;p0p1;2006;0;992;j
QW;aptincj992;p0p1;2007;0;992;j
QW;aptincj992;p0p1;2008;0;992;j
QW;aptincj992;p0p1;2009;0;992;j
QW;aptincj992;p0p1;2010;0;992;j
QW;aptincj992;p0p1;2011;0;992;j
QW;aptincj992;p0p1;2012;0;992;j
QW;aptincj992;p0p1;2013;0;992;j
QW;aptincj992;p0p1;2014;0;992;j
QW;aptincj992;p0p1;2015;0;992;j
QW;aptincj992;p0p1;2016;0;992;j
QW;aptincj992;p0p1;2017;0;992;j
QW;aptincj992;p0p1;2018;0;992;j
QW;aptincj992;p0p1;2019;0;992;j
QW;aptincj992;p0p1;2020;0;992;j
QW;aptincj992;p0p1;2021;0;992;j
QW;aptincj992;p0p100;1980;18435.2;992;j
QW;aptincj992;p0p100;1981;18580.4;992;j
QW;aptincj992;p0p100;1982;18057.9;992;j
QW;aptincj992;p0p100;1983;18067.9;992;j
QW;aptincj992;p0p100;1984;17951.3;992;j
QW;aptincj992;p0p100;1985;17718.2;992;j
QW;aptincj992;p0p100;1986;18175.2;992;j
QW;aptincj992;p0p100;1987;18054.1;992;j
QW;aptincj992;p0p100;1988;18535.3;992;j
QW;aptincj992;p0p100;1989;18745.5;992;j
QW;aptincj992;p0p100;1990;18741;992;j
QW;aptincj992;p0p100;1991;18958.7;992;j
QW;aptincj992;p0p100;1992;17076.4;992;j
QW;aptincj992;p0p100;1993;16011.4;992;j
QW;aptincj992;p0p100;1994;14424;992;j
QW;aptincj992;p0p100;1995;13690.8;992;j
QW;aptincj992;p0p100;1996;14225.7;992;j
QW;aptincj992;p0p100;1997;14588.9;992;j
QW;aptincj992;p0p100;1998;14447.9;992;j
QW;aptincj992;p0p100;1999;14757.6;992;j
QW;aptincj992;p0p100;2000;15818.1;992;j
QW;aptincj992;p0p100;2001;15845.6;992;j
QW;aptincj992;p0p100;2002;16101.6;992;j
QW;aptincj992;p0p100;2003;16792;992;j
QW;aptincj992;p0p100;2004;18400.2;992;j
QW;aptincj992;p0p100;2005;19308.9;992;j
QW;aptincj992;p0p100;2006;20436;992;j
QW;aptincj992;p0p100;2007;21462.7;992;j
QW;aptincj992;p0p100;2008;22057.7;992;j
QW;aptincj992;p0p100;2009;20189.8;992;j
QW;aptincj992;p0p100;2010;20942.3;992;j
QW;aptincj992;p0p100;2011;22351.5;992;j
QW;aptincj992;p0p100;2012;22794.5;992;j
QW;aptincj992;p0p100;2013;23090.4;992;j
QW;aptincj992;p0p100;2014;23204.7;992;j
QW;aptincj992;p0p100;2015;23009;992;j
QW;aptincj992;p0p100;2016;23052.1;992;j
QW;aptincj992;p0p100;2017;23306.9;992;j
QW;aptincj992;p0p100;2018;23512.6;992;j
QW;aptincj992;p0p100;2019;23389;992;j
QW;aptincj992;p0p100;2020;22427.2;992;j
QW;aptincj992;p0p100;2021;23096.4;992;j
QW;aptincj992;p0p50;1980;7913;992;j
QW;aptincj992;p0p50;1981;7928.8;992;j
QW;aptincj992;p0p50;1982;7734.8;992;j
QW;aptincj992;p0p50;1983;7702.5;992;j
QW;aptincj992;p0p50;1984;7587.6;992;j
QW;aptincj992;p0p50;1985;7477;992;j
QW;aptincj992;p0p50;1986;7647.3;992;j
QW;aptincj992;p0p50;1987;7599.4;992;j
QW;aptincj992;p0p50;1988;7791.3;992;j
