country;variable;percentile;year;value;age;pop
QX-MER;aptincj992;p0p1;1980;0;992;j
QX-MER;aptincj992;p0p1;1981;0;992;j
QX-MER;aptincj992;p0p1;1982;0;992;j
QX-MER;aptincj992;p0p1;1983;0;992;j
QX-MER;aptincj992;p0p1;1984;0;992;j
QX-MER;aptincj992;p0p1;1985;0;992;j
QX-MER;aptincj992;p0p1;1986;0;992;j
QX-MER;aptincj992;p0p1;1987;0;992;j
QX-MER;aptincj992;p0p1;1988;0;992;j
QX-MER;aptincj992;p0p1;1989;0;992;j
QX-MER;aptincj992;p0p1;1990;0;992;j
QX-MER;aptincj992;p0p1;1991;0;992;j
QX-MER;aptincj992;p0p1;1992;0;992;j
QX-MER;aptincj992;p0p1;1993;0;992;j
QX-MER;aptincj992;p0p1;1994;0;992;j
QX-MER;aptincj992;p0p1;1995;0;992;j
QX-MER;aptincj992;p0p1;1996;0;992;j
QX-MER;aptincj992;p0p1;1997;0;992;j
QX-MER;aptincj992;p0p1;1998;0;992;j
QX-MER;aptincj992;p0p1;1999;0;992;j
QX-MER;aptincj992;p0p1;2000;0;992;j
QX-MER;aptincj992;p0p1;2001;0;992;j
QX-MER;aptincj992;p0p1;2002;0;992;j
QX-MER;aptincj992;p0p1;2003;0;992;j
QX-MER;aptincj992;p0p1;2004;0;992;j
QX-MER;aptincj992;p0p1;2005;0;992;j
QX-MER;aptincj992;p0p1;2006;0;992;j
QX-MER;aptincj992;p0p1;2007;0;992;j
QX-MER;aptincj992;p0p1;2008;0;992;j
QX-MER;aptincj992;p0p1;2009;0;992;j
QX-MER;aptincj992;p0p1;2010;0;992;j
QX-MER;aptincj992;p0p1;2011;0;992;j
QX-MER;aptincj992;p0p1;2012;0;992;j
QX-MER;aptincj992;p0p1;2013;0;992;j
QX-MER;aptincj992;p0p1;2014;0;992;j
QX-MER;aptincj992;p0p1;2015;0;992;j
QX-MER;aptincj992;p0p1;2016;0;992;j
QX-MER;aptincj992;p0p1;2017;0;992;j
QX-MER;aptincj992;p0p1;2018;0;992;j
QX-MER;aptincj992;p0p1;2019;0;992;j
QX-MER;aptincj992;p0p1;2020;0;992;j
QX-MER;aptincj992;p0p1;2021;0;992;j
QX-MER;aptincj992;p0p100;1980;26390.8;992;j
QX-MER;aptincj992;p0p100;1981;26300.7;992;j
QX-MER;aptincj992;p0p100;1982;26183.6;992;j
QX-MER;aptincj992;p0p100;1983;26366.3;992;j
QX-MER;aptincj992;p0p100;1984;26873.9;992;j
QX-MER;aptincj992;p0p100;1985;27311.1;992;j
QX-MER;aptincj992;p0p100;1986;27887.7;992;j
QX-MER;aptincj992;p0p100;1987;28326.6;992;j
QX-MER;aptincj992;p0p100;1988;29226.2;992;j
QX-MER;aptincj992;p0p100;1989;30097.7;992;j
QX-MER;aptincj992;p0p100;1990;30430.9;992;j
QX-MER;aptincj992;p0p100;1991;30228.9;992;j
QX-MER;aptincj992;p0p100;1992;30218.7;992;j
QX-MER;aptincj992;p0p100;1993;29850.7;992;j
QX-MER;aptincj992;p0p100;1994;30465.5;992;j
QX-MER;aptincj992;p0p100;1995;31198.3;992;j
QX-MER;aptincj992;p0p100;1996;31509.3;992;j
QX-MER;aptincj992;p0p100;1997;32403.6;992;j
QX-MER;aptincj992;p0p100;1998;33294.6;992;j
QX-MER;aptincj992;p0p100;1999;34391.2;992;j
QX-MER;aptincj992;p0p100;2000;35326;992;j
QX-MER;aptincj992;p0p100;2001;35719.5;992;j
QX-MER;aptincj992;p0p100;2002;35676.4;992;j
QX-MER;aptincj992;p0p100;2003;35964.5;992;j
QX-MER;aptincj992;p0p100;2004;36687.5;992;j
QX-MER;aptincj992;p0p100;2005;37167.7;992;j
QX-MER;aptincj992;p0p100;2006;38264.6;992;j
QX-MER;aptincj992;p0p100;2007;38853.9;992;j
QX-MER;aptincj992;p0p100;2008;38605.2;992;j
QX-MER;aptincj992;p0p100;2009;36911;992;j
QX-MER;aptincj992;p0p100;2010;37188.2;992;j
QX-MER;aptincj992;p0p100;2011;37447;992;j
QX-MER;aptincj992;p0p100;2012;36888.6;992;j
QX-MER;aptincj992;p0p100;2013;36914.6;992;j
QX-MER;aptincj992;p0p100;2014;37317.8;992;j
QX-MER;aptincj992;p0p100;2015;37859.1;992;j
QX-MER;aptincj992;p0p100;2016;38298.6;992;j
QX-MER;aptincj992;p0p100;2017;39253;992;j
QX-MER;aptincj992;p0p100;2018;39747.1;992;j
QX-MER;aptincj992;p0p100;2019;39543.6;992;j
QX-MER;aptincj992;p0p100;2020;36714.3;992;j
QX-MER;aptincj992;p0p100;2021;38683.1;992;j
QX-MER;aptincj992;p0p50;1980;11054.1;992;j
QX-MER;aptincj992;p0p50;1981;11069.9;992;j
