country;variable;percentile;year;value;age;pop
QX;aptincj992;p0p1;1980;0;992;j
QX;aptincj992;p0p1;1981;0;992;j
QX;aptincj992;p0p1;1982;0;992;j
QX;aptincj992;p0p1;1983;0;992;j
QX;aptincj992;p0p1;1984;0;992;j
QX;aptincj992;p0p1;1985;0;992;j
QX;aptincj992;p0p1;1986;0;992;j
QX;aptincj992;p0p1;1987;0;992;j
QX;aptincj992;p0p1;1988;0;992;j
QX;aptincj992;p0p1;1989;0;992;j
QX;aptincj992;p0p1;1990;0;992;j
QX;aptincj992;p0p1;1991;0;992;j
QX;aptincj992;p0p1;1992;0;992;j
QX;aptincj992;p0p1;1993;0;992;j
QX;aptincj992;p0p1;1994;0;992;j
QX;aptincj992;p0p1;1995;0;992;j
QX;aptincj992;p0p1;1996;0;992;j
QX;aptincj992;p0p1;1997;0;992;j
QX;aptincj992;p0p1;1998;0;992;j
QX;aptincj992;p0p1;1999;0;992;j
QX;aptincj992;p0p1;2000;0;992;j
QX;aptincj992;p0p1;2001;0;992;j
QX;aptincj992;p0p1;2002;0;992;j
QX;aptincj992;p0p1;2003;0;992;j
QX;aptincj992;p0p1;2004;0;992;j
QX;aptincj992;p0p1;2005;0;992;j
QX;aptincj992;p0p1;2006;0;992;j
QX;aptincj992;p0p1;2007;0;992;j
QX;aptincj992;p0p1;2008;0;992;j
QX;aptincj992;p0p1;2009;0;992;j
QX;aptincj992;p0p1;2010;0;992;j
QX;aptincj992;p0p1;2011;0;992;j
QX;aptincj992;p0p1;2012;0;992;j
QX;aptincj992;p0p1;2013;0;992;j
QX;aptincj992;p0p1;2014;0;992;j
QX;aptincj992;p0p1;2015;0;992;j
QX;aptincj992;p0p1;2016;0;992;j
QX;aptincj992;p0p1;2017;0;992;j
QX;aptincj992;p0p1;2018;0;992;j
QX;aptincj992;p0p1;2019;0;992;j
QX;aptincj992;p0p1;2020;0;992;j
QX;aptincj992;p0p1;2021;0;992;j
QX;aptincj992;p0p100;1980;25339.7;992;j
QX;aptincj992;p0p100;1981;25212.7;992;j
QX;aptincj992;p0p100;1982;25111.1;992;j
QX;aptincj992;p0p100;1983;25264.1;992;j
QX;aptincj992;p0p100;1984;25727.4;992;j
QX;aptincj992;p0p100;1985;26139.9;992;j
QX;aptincj992;p0p100;1986;26702.5;992;j
QX;aptincj992;p0p100;1987;27144.7;992;j
QX;aptincj992;p0p100;1988;28024.9;992;j
QX;aptincj992;p0p100;1989;28886.1;992;j
QX;aptincj992;p0p100;1990;29191.6;992;j
QX;aptincj992;p0p100;1991;29043.1;992;j
QX;aptincj992;p0p100;1992;29068.2;992;j
QX;aptincj992;p0p100;1993;28678.9;992;j
QX;aptincj992;p0p100;1994;29254.5;992;j
QX;aptincj992;p0p100;1995;29955.2;992;j
QX;aptincj992;p0p100;1996;30260.5;992;j
QX;aptincj992;p0p100;1997;31072.4;992;j
QX;aptincj992;p0p100;1998;31914.3;992;j
QX;aptincj992;p0p100;1999;32961.4;992;j
QX;aptincj992;p0p100;2000;33861.7;992;j
QX;aptincj992;p0p100;2001;34263;992;j
QX;aptincj992;p0p100;2002;34253.7;992;j
QX;aptincj992;p0p100;2003;34465.1;992;j
QX;aptincj992;p0p100;2004;35184.8;992;j
QX;aptincj992;p0p100;2005;35598.7;992;j
QX;aptincj992;p0p100;2006;36627.6;992;j
QX;aptincj992;p0p100;2007;37170.1;992;j
QX;aptincj992;p0p100;2008;36850.6;992;j
QX;aptincj992;p0p100;2009;35237.4;992;j
QX;aptincj992;p0p100;2010;35444.8;992;j
QX;aptincj992;p0p100;2011;35595.9;992;j
QX;aptincj992;p0p100;2012;35046.5;992;j
QX;aptincj992;p0p100;2013;34968.2;992;j
QX;aptincj992;p0p100;2014;35337.3;992;j
QX;aptincj992;p0p100;2015;35862;992;j
QX;aptincj992;p0p100;2016;36373.1;992;j
QX;aptincj992;p0p100;2017;37161.7;992;j
QX;aptincj992;p0p100;2018;37675.1;992;j
QX;aptincj992;p0p100;2019;37494.4;992;j
QX;aptincj992;p0p100;2020;34747.8;992;j
QX;aptincj992;p0p100;2021;36620.3;992;j
QX;aptincj992;p0p50;1980;10865.3;992;j
QX;aptincj992;p0p50;1981;10906.5;992;j
QX;aptincj992;p0p50;1982;10844.8;992;j
QX;aptincj992;p0p50;1983;10860.3;992;j
