country;variable;percentile;year;value;age;pop
QY;aptincj992;p0p100;1980;23021.1;992;j
QY;aptincj992;p0p100;1981;22642.4;992;j
QY;aptincj992;p0p100;1982;22484.2;992;j
QY;aptincj992;p0p100;1983;22644.7;992;j
QY;aptincj992;p0p100;1984;23051.7;992;j
QY;aptincj992;p0p100;1985;23405.3;992;j
QY;aptincj992;p0p100;1986;23894.1;992;j
QY;aptincj992;p0p100;1987;24298.5;992;j
QY;aptincj992;p0p100;1988;25118.4;992;j
QY;aptincj992;p0p100;1989;25724;992;j
QY;aptincj992;p0p100;1990;25885;992;j
QY;aptincj992;p0p100;1991;25434.6;992;j
QY;aptincj992;p0p100;1992;25236.6;992;j
QY;aptincj992;p0p100;1993;24794.8;992;j
QY;aptincj992;p0p100;1994;25303.8;992;j
QY;aptincj992;p0p100;1995;25891.8;992;j
QY;aptincj992;p0p100;1996;26236.9;992;j
QY;aptincj992;p0p100;1997;26848.3;992;j
QY;aptincj992;p0p100;1998;27499;992;j
QY;aptincj992;p0p100;1999;28195;992;j
QY;aptincj992;p0p100;2000;29026;992;j
QY;aptincj992;p0p100;2001;29365.1;992;j
QY;aptincj992;p0p100;2002;29439.9;992;j
QY;aptincj992;p0p100;2003;29619.6;992;j
QY;aptincj992;p0p100;2004;30307.2;992;j
QY;aptincj992;p0p100;2005;30792.4;992;j
QY;aptincj992;p0p100;2006;31863.2;992;j
QY;aptincj992;p0p100;2007;32561.2;992;j
QY;aptincj992;p0p100;2008;32398.4;992;j
QY;aptincj992;p0p100;2009;30735.3;992;j
QY;aptincj992;p0p100;2010;31275;992;j
QY;aptincj992;p0p100;2011;31498.2;992;j
QY;aptincj992;p0p100;2012;31145.9;992;j
QY;aptincj992;p0p100;2013;31084;992;j
QY;aptincj992;p0p100;2014;31526;992;j
QY;aptincj992;p0p100;2015;32075.7;992;j
QY;aptincj992;p0p100;2016;32680;992;j
QY;aptincj992;p0p100;2017;33638.1;992;j
QY;aptincj992;p0p100;2018;34329.9;992;j
QY;aptincj992;p0p100;2019;34561.3;992;j
QY;aptincj992;p0p100;2020;32297.8;992;j
QY;aptincj992;p0p100;2021;34001.7;992;j
QY;aptincj992;p0p50;1980;9578;992;j
QY;aptincj992;p0p50;1981;9387.4;992;j
QY;aptincj992;p0p50;1982;9304.7;992;j
QY;aptincj992;p0p50;1983;9410.4;992;j
QY;aptincj992;p0p50;1984;9559.6;992;j
QY;aptincj992;p0p50;1985;9624.5;992;j
QY;aptincj992;p0p50;1986;9762.7;992;j
QY;aptincj992;p0p50;1987;9912.6;992;j
QY;aptincj992;p0p50;1988;10140.4;992;j
QY;aptincj992;p0p50;1989;10175.7;992;j
QY;aptincj992;p0p50;1990;9737.3;992;j
QY;aptincj992;p0p50;1991;9394.3;992;j
QY;aptincj992;p0p50;1992;9112;992;j
QY;aptincj992;p0p50;1993;8849;992;j
QY;aptincj992;p0p50;1994;8976.6;992;j
QY;aptincj992;p0p50;1995;9076;992;j
QY;aptincj992;p0p50;1996;9243.5;992;j
QY;aptincj992;p0p50;1997;9439.5;992;j
QY;aptincj992;p0p50;1998;9578.5;992;j
QY;aptincj992;p0p50;1999;9765.8;992;j
QY;aptincj992;p0p50;2000;10099.8;992;j
QY;aptincj992;p0p50;2001;10240.1;992;j
QY;aptincj992;p0p50;2002;10347;992;j
QY;aptincj992;p0p50;2003;10437.9;992;j
QY;aptincj992;p0p50;2004;10699.6;992;j
QY;aptincj992;p0p50;2005;10869.4;992;j
QY;aptincj992;p0p50;2006;11241.2;992;j
QY;aptincj992;p0p50;2007;11471.1;992;j
QY;aptincj992;p0p50;2008;11671.4;992;j
QY;aptincj992;p0p50;2009;11121.3;992;j
QY;aptincj992;p0p50;2010;11447.1;992;j
QY;aptincj992;p0p50;2011;11489.9;992;j
QY;aptincj992;p0p50;2012;11342.8;992;j
QY;aptincj992;p0p50;2013;11217.4;992;j
QY;aptincj992;p0p50;2014;11439.4;992;j
QY;aptincj992;p0p50;2015;11808.8;992;j
QY;aptincj992;p0p50;2016;12175;992;j
QY;aptincj992;p0p50;2017;12637.2;992;j
QY;aptincj992;p0p50;2018;12955.4;992;j
QY;aptincj992;p0p50;2019;13145.6;992;j
QY;aptincj992;p0p50;2020;12330.6;992;j
QY;aptincj992;p0p50;2021;12977;992;j
QY;aptincj992;p10p100;1980;25491.2;992;j
QY;aptincj992;p10p100;1981;25071.5;992;j
QY;aptincj992;p10p100;1982;24898;992;j
QY;aptincj992;p10p100;1983;25075.2;992;j
QY;aptincj992;p10p100;1984;25529.5;992;j
QY;aptincj992;p10p100;1985;25922.9;992;j
QY;aptincj992;p10p100;1986;26462.4;992;j
QY;aptincj992;p10p100;1987;26918.7;992;j
QY;aptincj992;p10p100;1988;27831.6;992;j
QY;aptincj992;p10p100;1989;28496.5;992;j
QY;aptincj992;p10p100;1990;28688.4;992;j
QY;aptincj992;p10p100;1991;28185;992;j
QY;aptincj992;p10p100;1992;27971.2;992;j
QY;aptincj992;p10p100;1993;27487.7;992;j
QY;aptincj992;p10p100;1994;28054.7;992;j
QY;aptincj992;p10p100;1995;28709.6;992;j
QY;aptincj992;p10p100;1996;29092.4;992;j
QY;aptincj992;p10p100;1997;29771.6;992;j
QY;aptincj992;p10p100;1998;30494.9;992;j
QY;aptincj992;p10p100;1999;31265.2;992;j
QY;aptincj992;p10p100;2000;32186.4;992;j
QY;aptincj992;p10p100;2001;32563.4;992;j
QY;aptincj992;p10p100;2002;32643.4;992;j
QY;aptincj992;p10p100;2003;32843.5;992;j
QY;aptincj992;p10p100;2004;33604.7;992;j
QY;aptincj992;p10p100;2005;34145.5;992;j
QY;aptincj992;p10p100;2006;35329.7;992;j
QY;aptincj992;p10p100;2007;36098.8;992;j
QY;aptincj992;p10p100;2008;35917.2;992;j
QY;aptincj992;p10p100;2009;34074.6;992;j
QY;aptincj992;p10p100;2010;34675.5;992;j
QY;aptincj992;p10p100;2011;34927.7;992;j
QY;aptincj992;p10p100;2012;34536.2;992;j
QY;aptincj992;p10p100;2013;34467.9;992;j
QY;aptincj992;p10p100;2014;34962.7;992;j
QY;aptincj992;p10p100;2015;35569.8;992;j
QY;aptincj992;p10p100;2016;36232.5;992;j
QY;aptincj992;p10p100;2017;37290.1;992;j
QY;aptincj992;p10p100;2018;38058;992;j
QY;aptincj992;p10p100;2019;38319.3;992;j
QY;aptincj992;p10p100;2020;35808.2;992;j
QY;aptincj992;p10p100;2021;37697.2;992;j
QY;aptincj992;p10p11;1980;3522.8;992;j
QY;aptincj992;p10p11;1981;3479.4;992;j
QY;aptincj992;p10p11;1982;3441.9;992;j
QY;aptincj992;p10p11;1983;3465.7;992;j
QY;aptincj992;p10p11;1984;3458.7;992;j
QY;aptincj992;p10p11;1985;3483.5;992;j
QY;aptincj992;p10p11;1986;3521.4;992;j
QY;aptincj992;p10p11;1987;3440.6;992;j
QY;aptincj992;p10p11;1988;3434.2;992;j
QY;aptincj992;p10p11;1989;3563.9;992;j
QY;aptincj992;p10p11;1990;3223;992;j
QY;aptincj992;p10p11;1991;3225.9;992;j
QY;aptincj992;p10p11;1992;3034;992;j
QY;aptincj992;p10p11;1993;2829.6;992;j
QY;aptincj992;p10p11;1994;2806.1;992;j
QY;aptincj992;p10p11;1995;2730.4;992;j
QY;aptincj992;p10p11;1996;2833.9;992;j
QY;aptincj992;p10p11;1997;2843.7;992;j
QY;aptincj992;p10p11;1998;2901.8;992;j
QY;aptincj992;p10p11;1999;2963.4;992;j
QY;aptincj992;p10p11;2000;3086.6;992;j
QY;aptincj992;p10p11;2001;3099.5;992;j
QY;aptincj992;p10p11;2002;3199;992;j
QY;aptincj992;p10p11;2003;3183.5;992;j
QY;aptincj992;p10p11;2004;3262.6;992;j
QY;aptincj992;p10p11;2005;3251.5;992;j
QY;aptincj992;p10p11;2006;3462.1;992;j
QY;aptincj992;p10p11;2007;3587.6;992;j
QY;aptincj992;p10p11;2008;3685.3;992;j
QY;aptincj992;p10p11;2009;3449.6;992;j
QY;aptincj992;p10p11;2010;3498.9;992;j
QY;aptincj992;p10p11;2011;3435.6;992;j
QY;aptincj992;p10p11;2012;3402.9;992;j
QY;aptincj992;p10p11;2013;3323.6;992;j
QY;aptincj992;p10p11;2014;3377.3;992;j
QY;aptincj992;p10p11;2015;3534.2;992;j
