country;variable;percentile;year;value;age;pop
SB;mhweali999;p0p100;1995;9422453897;999;i
SB;mhweali999;p0p100;1996;9804316690;999;i
SB;mhweali999;p0p100;1997;9768591078;999;i
SB;mhweali999;p0p100;1998;9879363848;999;i
SB;mhweali999;p0p100;1999;9853439549;999;i
SB;mhweali999;p0p100;2000;8844822507;999;i
SB;mhweali999;p0p100;2001;8219263657;999;i
SB;mhweali999;p0p100;2002;8082786077;999;i
SB;mhweali999;p0p100;2003;9438270394;999;i
SB;mhweali999;p0p100;2004;10675865384;999;i
SB;mhweali999;p0p100;2005;11398449711;999;i
SB;mhweali999;p0p100;2006;11856325520;999;i
SB;mhweali999;p0p100;2007;12417585042;999;i
SB;mhweali999;p0p100;2008;12606229736;999;i
SB;mhweali999;p0p100;2009;12793493340;999;i
SB;mhweali999;p0p100;2010;14373104111;999;i
SB;mhweali999;p0p100;2011;15070918231;999;i
SB;mhweali999;p0p100;2012;16208185835;999;i
SB;mhweali999;p0p100;2013;18698435863;999;i
SB;mhweali999;p0p100;2014;18890986413;999;i
SB;mhweali999;p0p100;2015;19611685623;999;i
SB;mhweali999;p0p100;2016;21161806669;999;i
SB;mhweali999;p0p100;2017;22956870266;999;i
SB;mhweali999;p0p100;2018;24971150861;999;i
SB;mhweali999;p0p100;2019;26117060697;999;i
SB;mhweali999;p0p100;2020;25758218400;999;i
SB;mhweali999;p0p100;2021;27071019352;999;i
SB;acomnxi992;p0p100;1975;0;992;i
SB;acomnxi992;p0p100;1976;0;992;i
SB;acomnxi992;p0p100;1977;0;992;i
SB;acomnxi992;p0p100;1978;0;992;i
SB;acomnxi992;p0p100;1979;0;992;i
SB;acomnxi992;p0p100;1980;0;992;i
SB;acomnxi992;p0p100;1981;0;992;i
SB;acomnxi992;p0p100;1982;0;992;i
SB;acomnxi992;p0p100;1983;0;992;i
SB;acomnxi992;p0p100;1984;0;992;i
SB;acomnxi992;p0p100;1985;0;992;i
SB;acomnxi992;p0p100;1986;-445.7;992;i
SB;acomnxi992;p0p100;1987;-419.6;992;i
SB;acomnxi992;p0p100;1988;-601.8;992;i
SB;acomnxi992;p0p100;1989;-525.8;992;i
SB;acomnxi992;p0p100;1990;-213.3;992;i
SB;acomnxi992;p0p100;1991;-284.7;992;i
SB;acomnxi992;p0p100;1992;-303;992;i
