country;variable;percentile;year;value;age;pop
SC;egfcari999;p0p100;1990;0.146909241972977;999;i
SC;egfcari999;p0p100;1991;0.145948152743159;999;i
SC;egfcari999;p0p100;1992;0.146679729985731;999;i
SC;egfcari999;p0p100;1993;0.146990871424664;999;i
SC;egfcari999;p0p100;1994;0.153268450247863;999;i
SC;egfcari999;p0p100;1995;0.150511288048078;999;i
SC;egfcari999;p0p100;1996;0.159284185624372;999;i
SC;egfcari999;p0p100;1997;0.170992871415416;999;i
SC;egfcari999;p0p100;1998;0.189187301377001;999;i
SC;egfcari999;p0p100;1999;0.190183495053771;999;i
SC;egfcari999;p0p100;2000;0.18156338897937;999;i
SC;egfcari999;p0p100;2001;0.19162476303924;999;i
SC;egfcari999;p0p100;2002;0.197950265299711;999;i
SC;egfcari999;p0p100;2003;0.219690486189102;999;i
SC;egfcari999;p0p100;2004;0.212564595118627;999;i
SC;egfcari999;p0p100;2005;0.208920717060642;999;i
SC;egfcari999;p0p100;2006;0.197656617069761;999;i
SC;egfcari999;p0p100;2007;0.190015402692805;999;i
SC;egfcari999;p0p100;2008;0.176625838226749;999;i
SC;egfcari999;p0p100;2009;0.178250396772261;999;i
SC;egfcari999;p0p100;2010;0.170969814623269;999;i
SC;egfcari999;p0p100;2011;0.165188462595722;999;i
SC;egfcari999;p0p100;2012;0.172669408515011;999;i
SC;egfcari999;p0p100;2013;0.175081399835667;999;i
SC;egfcari999;p0p100;2014;0.180688264708846;999;i
SC;egfcari999;p0p100;2015;0.180753883732065;999;i
SC;egfcari999;p0p100;2016;0.183556891112652;999;i
SC;egfcari999;p0p100;2017;0.18635989849324;999;i
SC;egfcari999;p0p100;2018;0.189162905873827;999;i
SC;egfcari999;p0p100;2019;0.191965913254414;999;i
SC;egfcari999;p0p100;2020;0.187166765423054;999;i
SC;egfghgi999;p0p100;1980;0.159758417483702;999;i
SC;egfghgi999;p0p100;1981;0.165961170051984;999;i
SC;egfghgi999;p0p100;1982;0.172988789686915;999;i
SC;egfghgi999;p0p100;1983;0.179602088497448;999;i
SC;egfghgi999;p0p100;1984;0.185600924337681;999;i
SC;egfghgi999;p0p100;1985;0.200272045765312;999;i
SC;egfghgi999;p0p100;1986;0.205623283567881;999;i
SC;egfghgi999;p0p100;1987;0.194801882632288;999;i
SC;egfghgi999;p0p100;1988;0.1950520137345;999;i
SC;egfghgi999;p0p100;1989;0.197441106722778;999;i
SC;egfghgi999;p0p100;1990;0.194881703291834;999;i
SC;egfghgi999;p0p100;1991;0.193676416786794;999;i
SC;egfghgi999;p0p100;1992;0.194273968177188;999;i
SC;egfghgi999;p0p100;1993;0.194595388241855;999;i
SC;egfghgi999;p0p100;1994;0.201198374232098;999;i
SC;egfghgi999;p0p100;1995;0.198129183988096;999;i
SC;egfghgi999;p0p100;1996;0.208494295275365;999;i
SC;egfghgi999;p0p100;1997;0.221811904481085;999;i
SC;egfghgi999;p0p100;1998;0.243405354667809;999;i
