country;variable;percentile;year;value;age;pop
SD;egfcari999;p0p100;1990;0.342070023656469;999;i
SD;egfcari999;p0p100;1991;0.352827121265148;999;i
SD;egfcari999;p0p100;1992;0.368511852258519;999;i
SD;egfcari999;p0p100;1993;0.383746631925773;999;i
SD;egfcari999;p0p100;1994;0.398479444462936;999;i
SD;egfcari999;p0p100;1995;0.413181657278703;999;i
SD;egfcari999;p0p100;1996;0.431340183449992;999;i
SD;egfcari999;p0p100;1997;0.439745219008845;999;i
SD;egfcari999;p0p100;1998;0.438399692509143;999;i
SD;egfcari999;p0p100;1999;0.449055885285221;999;i
SD;egfcari999;p0p100;2000;0.460123599869271;999;i
SD;egfcari999;p0p100;2001;0.465210353875893;999;i
SD;egfcari999;p0p100;2002;0.476309099004194;999;i
SD;egfcari999;p0p100;2003;0.486269827737975;999;i
SD;egfcari999;p0p100;2004;0.498004864984398;999;i
SD;egfcari999;p0p100;2005;0.509809073246911;999;i
SD;egfcari999;p0p100;2006;0.527528237700373;999;i
SD;egfcari999;p0p100;2007;0.538320209105499;999;i
SD;egfcari999;p0p100;2008;0.365259379222833;999;i
SD;egfcari999;p0p100;2009;0.32286911217312;999;i
SD;egfcari999;p0p100;2010;0.275024094016992;999;i
SD;egfcari999;p0p100;2011;0.279900079995558;999;i
SD;egfcari999;p0p100;2012;0.280681381210527;999;i
SD;egfcari999;p0p100;2013;0.284633726714387;999;i
SD;egfcari999;p0p100;2014;0.279456023510985;999;i
SD;egfcari999;p0p100;2015;0.275163620973329;999;i
SD;egfcari999;p0p100;2016;0.281844058438482;999;i
SD;egfcari999;p0p100;2017;0.288676340746028;999;i
SD;egfcari999;p0p100;2018;0.295665503927632;999;i
SD;egfcari999;p0p100;2019;0.302821393708122;999;i
SD;egfcari999;p0p100;2020;0.295250858865419;999;i
SD;egfghgi999;p0p100;1980;2.17278409779932;999;i
SD;egfghgi999;p0p100;1981;2.2496600661607;999;i
SD;egfghgi999;p0p100;1982;2.33159584827192;999;i
SD;egfghgi999;p0p100;1983;2.41480550423241;999;i
SD;egfghgi999;p0p100;1984;2.49996885768953;999;i
SD;egfghgi999;p0p100;1985;2.58306849948947;999;i
SD;egfghgi999;p0p100;1986;2.66384521429088;999;i
SD;egfghgi999;p0p100;1987;2.74783085842907;999;i
SD;egfghgi999;p0p100;1988;2.83278697036128;999;i
SD;egfghgi999;p0p100;1989;2.9177697229289;999;i
SD;egfghgi999;p0p100;1990;3.0282706522328;999;i
SD;egfghgi999;p0p100;1991;3.1258977360814;999;i
SD;egfghgi999;p0p100;1992;3.26431226633255;999;i
SD;egfghgi999;p0p100;1993;3.39822616333274;999;i
SD;egfghgi999;p0p100;1994;3.51940176977531;999;i
SD;egfghgi999;p0p100;1995;3.6460768604771;999;i
SD;egfghgi999;p0p100;1996;3.78974557242211;999;i
SD;egfghgi999;p0p100;1997;3.85762289786226;999;i
SD;egfghgi999;p0p100;1998;3.87633637192715;999;i
SD;egfghgi999;p0p100;1999;3.96883081509166;999;i
SD;egfghgi999;p0p100;2000;4.06571908426186;999;i
SD;egfghgi999;p0p100;2001;4.13346822141038;999;i
SD;egfghgi999;p0p100;2002;4.23714750027349;999;i
SD;egfghgi999;p0p100;2003;4.32912134216059;999;i
SD;egfghgi999;p0p100;2004;4.43312420119387;999;i
SD;egfghgi999;p0p100;2005;4.53350399636591;999;i
SD;egfghgi999;p0p100;2006;4.67963654819809;999;i
SD;egfghgi999;p0p100;2007;4.77763705813164;999;i
SD;egfghgi999;p0p100;2008;3.25627893789462;999;i
SD;egfghgi999;p0p100;2009;2.86993416514552;999;i
SD;egfghgi999;p0p100;2010;2.45365567977609;999;i
SD;egfghgi999;p0p100;2011;2.48991907617984;999;i
SD;egfghgi999;p0p100;2012;2.50428439465898;999;i
SD;egfghgi999;p0p100;2013;2.52669981251486;999;i
SD;egfghgi999;p0p100;2014;2.48152239956867;999;i
SD;egfghgi999;p0p100;2015;2.44176082458973;999;i
SD;egfghgi999;p0p100;2016;2.50104202766386;999;i
SD;egfghgi999;p0p100;2017;2.56167067916253;999;i
SD;egfghgi999;p0p100;2018;2.62369146807765;999;i
SD;egfghgi999;p0p100;2019;2.687191763899;999;i
SD;egfghgi999;p0p100;2020;2.62001196980153;999;i
SD;egfghoi999;p0p100;1990;2.68620062857633;999;i
SD;egfghoi999;p0p100;1991;2.77307061481625;999;i
SD;egfghoi999;p0p100;1992;2.89580041407403;999;i
SD;egfghoi999;p0p100;1993;3.01447953140696;999;i
SD;egfghoi999;p0p100;1994;3.12092232531238;999;i
SD;egfghoi999;p0p100;1995;3.23289520319839;999;i
SD;egfghoi999;p0p100;1996;3.35840538897211;999;i
SD;egfghoi999;p0p100;1997;3.41787767885341;999;i
SD;egfghoi999;p0p100;1998;3.437936679418;999;i
SD;egfghoi999;p0p100;1999;3.51977492980644;999;i
SD;egfghoi999;p0p100;2000;3.60559548439259;999;i
SD;egfghoi999;p0p100;2001;3.66825786753449;999;i
SD;egfghoi999;p0p100;2002;3.7608384012693;999;i
SD;egfghoi999;p0p100;2003;3.84285151442261;999;i
SD;egfghoi999;p0p100;2004;3.93511933620947;999;i
SD;egfghoi999;p0p100;2005;4.023694923119;999;i
SD;egfghoi999;p0p100;2006;4.15210831049772;999;i
SD;egfghoi999;p0p100;2007;4.23931684902614;999;i
SD;egfghoi999;p0p100;2008;2.89101955867179;999;i
SD;egfghoi999;p0p100;2009;2.5470650529724;999;i
SD;egfghoi999;p0p100;2010;2.1786315857591;999;i
SD;egfghoi999;p0p100;2011;2.21001899618428;999;i
SD;egfghoi999;p0p100;2012;2.22360301344846;999;i
SD;egfghoi999;p0p100;2013;2.24206608580048;999;i
SD;egfghoi999;p0p100;2014;2.20206637605768;999;i
SD;egfghoi999;p0p100;2015;2.1665972036164;999;i
SD;egfghoi999;p0p100;2016;2.21919796922538;999;i
SD;egfghoi999;p0p100;2017;2.2729943384165;999;i
SD;egfghoi999;p0p100;2018;2.32802596415001;999;i
SD;egfghoi999;p0p100;2019;2.38437037019088;999;i
SD;egfghoi999;p0p100;2020;2.32476111093611;999;i
SD;ehfghgi999;p0p100;1980;2.17511287812943;999;i
SD;ehfghgi999;p0p100;1981;2.25455997310092;999;i
SD;ehfghgi999;p0p100;1982;2.33605250117808;999;i
SD;ehfghgi999;p0p100;1983;2.41881994223994;999;i
SD;ehfghgi999;p0p100;1984;2.50610504549614;999;i
SD;ehfghgi999;p0p100;1985;2.59000642566907;999;i
SD;ehfghgi999;p0p100;1986;2.67035632991598;999;i
SD;ehfghgi999;p0p100;1987;2.75016251082848;999;i
SD;ehfghgi999;p0p100;1988;2.8359722783333;999;i
SD;ehfghgi999;p0p100;1989;2.92517170870351;999;i
SD;ehfghgi999;p0p100;1990;3.01647992440307;999;i
SD;ehfghgi999;p0p100;1991;3.12480900139221;999;i
SD;ehfghgi999;p0p100;1992;3.25617906062176;999;i
SD;ehfghgi999;p0p100;1993;3.3662953428504;999;i
SD;ehfghgi999;p0p100;1994;3.48578654393738;999;i
SD;ehfghgi999;p0p100;1995;3.59935521621751;999;i
SD;ehfghgi999;p0p100;1996;3.71201831125153;999;i
SD;ehfghgi999;p0p100;1997;3.8175922115018;999;i
SD;ehfghgi999;p0p100;1998;3.8589380228477;999;i
SD;ehfghgi999;p0p100;1999;3.95191937132713;999;i
SD;ehfghgi999;p0p100;2000;4.04389298847052;999;i
SD;ehfghgi999;p0p100;2001;4.10311061164076;999;i
SD;ehfghgi999;p0p100;2002;4.1966404255573;999;i
SD;ehfghgi999;p0p100;2003;4.31057974541336;999;i
SD;ehfghgi999;p0p100;2004;4.43537782256072;999;i
SD;ehfghgi999;p0p100;2005;4.54975864046019;999;i
SD;ehfghgi999;p0p100;2006;4.7090091482459;999;i
SD;ehfghgi999;p0p100;2007;4.82010045154455;999;i
SD;ehfghgi999;p0p100;2008;16.1719584358011;999;i
SD;ehfghgi999;p0p100;2009;17.1202942060162;999;i
SD;ehfghgi999;p0p100;2010;17.5349075915386;999;i
SD;ehfghgi999;p0p100;2011;18.0857168338454;999;i
SD;ehfghgi999;p0p100;2012;18.5324367486256;999;i
SD;ehfghgi999;p0p100;2013;18.9299151718867;999;i
SD;ehfghgi999;p0p100;2014;19.4799106170738;999;i
SD;ehfghgi999;p0p100;2015;19.6272363943666;999;i
SD;ehfghgi999;p0p100;2016;20.1037475148503;999;i
SD;ehfghgi999;p0p100;2017;20.5910896260237;999;i
SD;ehfghgi999;p0p100;2018;21.0896219446453;999;i
SD;ehfghgi999;p0p100;2019;21.6000467596586;999;i
SD;ehfghgi999;p0p100;2020;21.0600455906671;999;i
SD;ehfghoi999;p0p100;1990;2.67568325855308;999;i
SD;ehfghoi999;p0p100;1991;2.77192618405427;999;i
SD;ehfghoi999;p0p100;1992;2.88839060682535;999;i
SD;ehfghoi999;p0p100;1993;2.98587207882923;999;i
SD;ehfghoi999;p0p100;1994;3.09163723585845;999;i
SD;ehfghoi999;p0p100;1995;3.19226358508895;999;i
SD;ehfghoi999;p0p100;1996;3.29154863564654;999;i
SD;ehfghoi999;p0p100;1997;3.38365825718609;999;i
SD;ehfghoi999;p0p100;1998;3.42336691681336;999;i
SD;ehfghoi999;p0p100;1999;3.50572160350413;999;i
SD;ehfghoi999;p0p100;2000;3.58774564359995;999;i
SD;ehfghoi999;p0p100;2001;3.64312007953787;999;i
SD;ehfghoi999;p0p100;2002;3.72764115753626;999;i
SD;ehfghoi999;p0p100;2003;3.82716991744818;999;i
SD;ehfghoi999;p0p100;2004;3.9368005495559;999;i
SD;ehfghoi999;p0p100;2005;4.0387700983712;999;i
SD;ehfghoi999;p0p100;2006;4.17699075973307;999;i
SD;ehfghoi999;p0p100;2007;4.27567864529371;999;i
SD;ehfghoi999;p0p100;2008;14.3525632665884;999;i
SD;ehfghoi999;p0p100;2009;15.1908539375237;999;i
SD;ehfghoi999;p0p100;2010;15.5583004104713;999;i
SD;ehfghoi999;p0p100;2011;16.0448938029675;999;i
SD;ehfghoi999;p0p100;2012;16.442398737182;999;i
SD;ehfghoi999;p0p100;2013;16.7921689586502;999;i
SD;ehfghoi999;p0p100;2014;17.2747974588454;999;i
SD;ehfghoi999;p0p100;2015;17.4036184265503;999;i
SD;ehfghoi999;p0p100;2016;17.8261444281878;999;i
SD;ehfghoi999;p0p100;2017;18.2582743508949;999;i
SD;ehfghoi999;p0p100;2018;18.7003267148784;999;i
SD;ehfghoi999;p0p100;2019;19.1529242450373;999;i
SD;ehfghoi999;p0p100;2020;18.6741011389114;999;i
SD;eifcari999;p0p100;1990;1.00981565556006;999;i
SD;eifcari999;p0p100;1991;1.04996239868648;999;i
SD;eifcari999;p0p100;1992;1.08569457352616;999;i
SD;eifcari999;p0p100;1993;1.12912184020863;999;i
SD;eifcari999;p0p100;1994;1.16875313149847;999;i
SD;eifcari999;p0p100;1995;1.20449736927005;999;i
SD;eifcari999;p0p100;1996;1.2289852669601;999;i
SD;eifcari999;p0p100;1997;1.25739165810309;999;i
SD;eifcari999;p0p100;1998;1.31618225786931;999;i
SD;eifcari999;p0p100;1999;1.34594044845606;999;i
SD;eifcari999;p0p100;2000;1.38042572589773;999;i
SD;eifcari999;p0p100;2001;1.437905942924;999;i
SD;eifcari999;p0p100;2002;1.48284103514295;999;i
SD;eifcari999;p0p100;2003;1.52033557961148;999;i
SD;eifcari999;p0p100;2004;1.55433312204844;999;i
SD;eifcari999;p0p100;2005;1.59192199744746;999;i
SD;eifcari999;p0p100;2006;1.60403577679952;999;i
SD;eifcari999;p0p100;2007;1.63896585197882;999;i
SD;eifcari999;p0p100;2008;0.993363230905953;999;i
SD;eifcari999;p0p100;2009;0.994760954742644;999;i
SD;eifcari999;p0p100;2010;1.06683179811902;999;i
SD;eifcari999;p0p100;2011;1.08059119539939;999;i
SD;eifcari999;p0p100;2012;1.09475603972741;999;i
SD;eifcari999;p0p100;2013;1.11333306898285;999;i
SD;eifcari999;p0p100;2014;1.15476607998389;999;i
SD;eifcari999;p0p100;2015;1.2315646718169;999;i
SD;eifcari999;p0p100;2016;1.26146466639199;999;i
SD;eifcari999;p0p100;2017;1.29204428112482;999;i
SD;eifcari999;p0p100;2018;1.32332605605415;999;i
SD;eifcari999;p0p100;2019;1.35535405822207;999;i
SD;eifcari999;p0p100;2020;1.32147020676651;999;i
SD;eifghgi999;p0p100;1980;6.43142305051839;999;i
SD;eifghgi999;p0p100;1981;6.65979042261971;999;i
SD;eifghgi999;p0p100;1982;6.89248548785217;999;i
SD;eifghgi999;p0p100;1983;7.13084153038308;999;i
SD;eifghgi999;p0p100;1984;7.3625332956756;999;i
SD;eifghgi999;p0p100;1985;7.6047442143237;999;i
SD;eifghgi999;p0p100;1986;7.85198248431484;999;i
SD;eifghgi999;p0p100;1987;8.09588212537824;999;i
SD;eifghgi999;p0p100;1988;8.34304309938661;999;i
SD;eifghgi999;p0p100;1989;8.62354620470477;999;i
SD;eifghgi999;p0p100;1990;8.92954496524305;999;i
SD;eifghgi999;p0p100;1991;9.27948003022129;999;i
SD;eifghgi999;p0p100;1992;9.5969745131623;999;i
SD;eifghgi999;p0p100;1993;9.98539572208155;999;i
SD;eifghgi999;p0p100;1994;10.3490891674718;999;i
SD;eifghgi999;p0p100;1995;10.6705999660427;999;i
SD;eifghgi999;p0p100;1996;10.9156291174541;999;i
SD;eifghgi999;p0p100;1997;11.2005300199749;999;i
SD;eifghgi999;p0p100;1998;11.6363267663974;999;i
SD;eifghgi999;p0p100;1999;11.9034616206464;999;i
SD;eifghgi999;p0p100;2000;12.2017001368008;999;i
SD;eifghgi999;p0p100;2001;12.6370673689499;999;i
SD;eifghgi999;p0p100;2002;13.0014817583308;999;i
SD;eifghgi999;p0p100;2003;13.3564685320687;999;i
SD;eifghgi999;p0p100;2004;13.6758603691215;999;i
SD;eifghgi999;p0p100;2005;14.0033259556136;999;i
SD;eifghgi999;p0p100;2006;14.1747472856362;999;i
SD;eifghgi999;p0p100;2007;14.4785535362077;999;i
SD;eifghgi999;p0p100;2008;8.71862760484874;999;i
SD;eifghgi999;p0p100;2009;8.75339252137689;999;i
SD;eifghgi999;p0p100;2010;9.38615757829546;999;i
SD;eifghgi999;p0p100;2011;9.5287824226924;999;i
SD;eifghgi999;p0p100;2012;9.64370721271246;999;i
SD;eifghgi999;p0p100;2013;9.83387622801706;999;i
SD;eifghgi999;p0p100;2014;10.2250065385798;999;i
SD;eifghgi999;p0p100;2015;10.9154487577891;999;i
SD;eifghgi999;p0p100;2016;11.1804546207464;999;i
SD;eifghgi999;p0p100;2017;11.4514840074181;999;i
SD;eifghgi999;p0p100;2018;11.7287366918346;999;i
SD;eifghgi999;p0p100;2019;12.0126032434486;999;i
SD;eifghgi999;p0p100;2020;11.7122881623624;999;i
SD;eifghoi999;p0p100;1990;7.91972930968299;999;i
SD;eifghoi999;p0p100;1991;8.22951763153481;999;i
SD;eifghoi999;p0p100;1992;8.51127993963613;999;i
SD;eifghoi999;p0p100;1993;8.85627388187292;999;i
SD;eifghoi999;p0p100;1994;9.18033603597332;999;i
SD;eifghoi999;p0p100;1995;9.46610259677268;999;i
SD;eifghoi999;p0p100;1996;9.68664385049397;999;i
SD;eifghoi999;p0p100;1997;9.94313836187185;999;i
SD;eifghoi999;p0p100;1998;10.3201445085281;999;i
SD;eifghoi999;p0p100;1999;10.5575211721904;999;i
SD;eifghoi999;p0p100;2000;10.8212744109031;999;i
SD;eifghoi999;p0p100;2001;11.1991614260259;999;i
SD;eifghoi999;p0p100;2002;11.5186407231878;999;i
SD;eifghoi999;p0p100;2003;11.8361329524572;999;i
SD;eifghoi999;p0p100;2004;12.1215272470731;999;i
SD;eifghoi999;p0p100;2005;12.4114039581662;999;i
SD;eifghoi999;p0p100;2006;12.5707115088367;999;i
SD;eifghoi999;p0p100;2007;12.8395876842289;999;i
SD;eifghoi999;p0p100;2008;7.72526437394279;999;i
SD;eifghoi999;p0p100;2009;7.75863156663425;999;i
SD;eifghoi999;p0p100;2010;8.31932578017645;999;i
SD;eifghoi999;p0p100;2011;8.44819122729301;999;i
SD;eifghoi999;p0p100;2012;8.54895117298505;999;i
SD;eifghoi999;p0p100;2013;8.7205431590342;999;i
SD;eifghoi999;p0p100;2014;9.07024045859589;999;i
SD;eifghoi999;p0p100;2015;9.6838840859722;999;i
SD;eifghoi999;p0p100;2016;9.91898995435441;999;i
SD;eifghoi999;p0p100;2017;10.1594397262933;999;i
SD;eifghoi999;p0p100;2018;10.4054106357805;999;i
SD;eifghoi999;p0p100;2019;10.6572491852266;999;i
SD;eifghoi999;p0p100;2020;10.3908179555959;999;i
SD;enfcari999;p0p100;1990;2.0334790109165;999;i
SD;enfcari999;p0p100;1991;2.1085551546275;999;i
SD;enfcari999;p0p100;1992;2.18978333337749;999;i
SD;enfcari999;p0p100;1993;2.27371500017675;999;i
SD;enfcari999;p0p100;1994;2.35553119211927;999;i
SD;enfcari999;p0p100;1995;2.43186228880587;999;i
SD;enfcari999;p0p100;1996;2.50126480162009;999;i
SD;enfcari999;p0p100;1997;2.56500478574336;999;i
SD;enfcari999;p0p100;1998;2.62572416244714;999;i
SD;enfcari999;p0p100;1999;2.68739186938728;999;i
SD;enfcari999;p0p100;2000;2.75284401550814;999;i
SD;enfcari999;p0p100;2001;2.82309736100567;999;i
SD;enfcari999;p0p100;2002;2.89714867018922;999;i
SD;enfcari999;p0p100;2003;2.97342506327981;999;i
SD;enfcari999;p0p100;2004;3.04949253304247;999;i
SD;enfcari999;p0p100;2005;3.12370815487234;999;i
