country;variable;percentile;year;value;age;pop
SH;npopuli999;p0p100;1950;5246;999;i
SH;npopuli999;p0p100;1951;5293;999;i
SH;npopuli999;p0p100;1952;5316;999;i
SH;npopuli999;p0p100;1953;5336;999;i
SH;npopuli999;p0p100;1954;5342;999;i
SH;npopuli999;p0p100;1955;5345;999;i
SH;npopuli999;p0p100;1956;5354;999;i
SH;npopuli999;p0p100;1957;5358;999;i
SH;npopuli999;p0p100;1958;5374;999;i
SH;npopuli999;p0p100;1959;5378;999;i
SH;npopuli999;p0p100;1960;5364;999;i
SH;npopuli999;p0p100;1961;5352;999;i
SH;npopuli999;p0p100;1962;5330;999;i
SH;npopuli999;p0p100;1963;5317;999;i
SH;npopuli999;p0p100;1964;5311;999;i
SH;npopuli999;p0p100;1965;5328;999;i
SH;npopuli999;p0p100;1966;5369;999;i
SH;npopuli999;p0p100;1967;5426;999;i
SH;npopuli999;p0p100;1968;5504;999;i
SH;npopuli999;p0p100;1969;5601;999;i
SH;npopuli999;p0p100;1970;5692;999;i
SH;npopuli999;p0p100;1971;5799;999;i
SH;npopuli999;p0p100;1972;5919;999;i
SH;npopuli999;p0p100;1973;6028;999;i
SH;npopuli999;p0p100;1974;6137;999;i
SH;npopuli999;p0p100;1975;6235;999;i
SH;npopuli999;p0p100;1976;6327;999;i
SH;npopuli999;p0p100;1977;6400;999;i
SH;npopuli999;p0p100;1978;6464;999;i
SH;npopuli999;p0p100;1979;6519;999;i
SH;npopuli999;p0p100;1980;6582;999;i
SH;npopuli999;p0p100;1981;6656;999;i
SH;npopuli999;p0p100;1982;6709;999;i
SH;npopuli999;p0p100;1983;6761;999;i
SH;npopuli999;p0p100;1984;6798;999;i
SH;npopuli999;p0p100;1985;6817;999;i
SH;npopuli999;p0p100;1986;6822;999;i
SH;npopuli999;p0p100;1987;6799;999;i
SH;npopuli999;p0p100;1988;6766;999;i
SH;npopuli999;p0p100;1989;6717;999;i
SH;npopuli999;p0p100;1990;6647;999;i
SH;npopuli999;p0p100;1991;6572;999;i
SH;npopuli999;p0p100;1992;6486;999;i
SH;npopuli999;p0p100;1993;6395;999;i
SH;npopuli999;p0p100;1994;6314;999;i
SH;npopuli999;p0p100;1995;6247;999;i
SH;npopuli999;p0p100;1996;6206;999;i
SH;npopuli999;p0p100;1997;6179;999;i
SH;npopuli999;p0p100;1998;6157;999;i
SH;npopuli999;p0p100;1999;6125;999;i
SH;npopuli999;p0p100;2000;6049;999;i
SH;npopuli999;p0p100;2001;5939;999;i
SH;npopuli999;p0p100;2002;5801;999;i
SH;npopuli999;p0p100;2003;5644;999;i
SH;npopuli999;p0p100;2004;5490;999;i
SH;npopuli999;p0p100;2005;5364;999;i
SH;npopuli999;p0p100;2006;5263;999;i
SH;npopuli999;p0p100;2007;5186;999;i
SH;npopuli999;p0p100;2008;5143;999;i
SH;npopuli999;p0p100;2009;5142;999;i
SH;npopuli999;p0p100;2010;5183;999;i
SH;npopuli999;p0p100;2011;5280;999;i
SH;npopuli999;p0p100;2012;5414;999;i
SH;npopuli999;p0p100;2013;5584;999;i
SH;npopuli999;p0p100;2014;5739;999;i
SH;npopuli999;p0p100;2015;5865;999;i
SH;npopuli999;p0p100;2016;5956;999;i
SH;npopuli999;p0p100;2017;6008;999;i
SH;npopuli999;p0p100;2018;6035;999;i
SH;npopuli999;p0p100;2019;6059;999;i
SH;npopuli999;p0p100;2020;6077;999;i
SH;npopuli999;p0p100;2021;6096;999;i
