country;variable;percentile;year;value;age;pop
SL;egfcari999;p0p100;1990;0.0655015098102068;999;i
SL;egfcari999;p0p100;1991;0.0724097557191175;999;i
SL;egfcari999;p0p100;1992;0.0600063282880768;999;i
SL;egfcari999;p0p100;1993;0.059107315044586;999;i
SL;egfcari999;p0p100;1994;0.0659361455100466;999;i
SL;egfcari999;p0p100;1995;0.0562970202236071;999;i
SL;egfcari999;p0p100;1996;0.0607823657981724;999;i
SL;egfcari999;p0p100;1997;0.0403145226632438;999;i
SL;egfcari999;p0p100;1998;0.037213206084343;999;i
SL;egfcari999;p0p100;1999;0.037602447855312;999;i
SL;egfcari999;p0p100;2000;0.047215040411626;999;i
SL;egfcari999;p0p100;2001;0.0591958966544237;999;i
SL;egfcari999;p0p100;2002;0.0686485978989127;999;i
SL;egfcari999;p0p100;2003;0.0759169079098395;999;i
SL;egfcari999;p0p100;2004;0.0742207734921463;999;i
SL;egfcari999;p0p100;2005;0.0702830976743963;999;i
SL;egfcari999;p0p100;2006;0.0897977195089832;999;i
SL;egfcari999;p0p100;2007;0.0818435422517037;999;i
SL;egfcari999;p0p100;2008;0.0885366447186741;999;i
SL;egfcari999;p0p100;2009;0.0928002654247302;999;i
SL;egfcari999;p0p100;2010;0.109804533074881;999;i
SL;egfcari999;p0p100;2011;0.152381221908741;999;i
SL;egfcari999;p0p100;2012;0.171778687635371;999;i
SL;egfcari999;p0p100;2013;0.202279860891535;999;i
SL;egfcari999;p0p100;2014;0.20795828489256;999;i
SL;egfcari999;p0p100;2015;0.184510291331837;999;i
SL;egfcari999;p0p100;2016;0.198703390665055;999;i
SL;egfcari999;p0p100;2017;0.216050512072322;999;i
SL;egfcari999;p0p100;2018;0.223935567257444;999;i
SL;egfcari999;p0p100;2019;0.238918425344983;999;i
SL;egfcari999;p0p100;2020;0.232945464711358;999;i
SL;egfghgi999;p0p100;1980;0.541728942871094;999;i
SL;egfghgi999;p0p100;1981;0.389621551513672;999;i
SL;egfghgi999;p0p100;1982;0.350112487792969;999;i
SL;egfghgi999;p0p100;1983;0.317762603759766;999;i
SL;egfghgi999;p0p100;1984;0.281140716552734;999;i
SL;egfghgi999;p0p100;1985;0.285920654296875;999;i
SL;egfghgi999;p0p100;1986;0.273996584280774;999;i
SL;egfghgi999;p0p100;1987;0.252904935546932;999;i
SL;egfghgi999;p0p100;1988;0.268727234207343;999;i
SL;egfghgi999;p0p100;1989;0.269602475823776;999;i
SL;egfghgi999;p0p100;1990;0.290797874245335;999;i
SL;egfghgi999;p0p100;1991;0.304129828694484;999;i
SL;egfghgi999;p0p100;1992;0.294343461433364;999;i
