country;variable;percentile;year;value;age;pop
SM;egfcari999;p0p100;1990;0.0521612698008244;999;i
SM;egfcari999;p0p100;1991;0.0503593464802036;999;i
SM;egfcari999;p0p100;1992;0.0463757838063963;999;i
SM;egfcari999;p0p100;1993;0.0483962038836989;999;i
SM;egfcari999;p0p100;1994;0.0475143867283133;999;i
SM;egfcari999;p0p100;1995;0.0416905376134199;999;i
SM;egfcari999;p0p100;1996;0.0463336026466348;999;i
SM;egfcari999;p0p100;1997;0.0471380041918201;999;i
SM;egfcari999;p0p100;1998;0.0443525841643927;999;i
SM;egfcari999;p0p100;1999;0.045514721236996;999;i
SM;egfcari999;p0p100;2000;0.0444996119826589;999;i
SM;egfcari999;p0p100;2001;0.0434569080179139;999;i
SM;egfcari999;p0p100;2002;0.0461450706011089;999;i
SM;egfcari999;p0p100;2003;0.0550721760715413;999;i
SM;egfcari999;p0p100;2004;0.0573952651548687;999;i
SM;egfcari999;p0p100;2005;0.0580884756512905;999;i
SM;egfcari999;p0p100;2006;0.0605193343104128;999;i
SM;egfcari999;p0p100;2007;0.0597694983407226;999;i
SM;egfcari999;p0p100;2008;0.0636136875401556;999;i
SM;egfcari999;p0p100;2009;0.0679092337936939;999;i
SM;egfcari999;p0p100;2010;0.0679260811294767;999;i
SM;egfcari999;p0p100;2011;0.0653192802828067;999;i
SM;egfcari999;p0p100;2012;0.0697927393125186;999;i
SM;egfcari999;p0p100;2013;0.0719774483354261;999;i
SM;egfcari999;p0p100;2014;0.0718252644908078;999;i
SM;egfcari999;p0p100;2015;0.0722321487368906;999;i
SM;egfcari999;p0p100;2016;0.0733153721897334;999;i
SM;egfcari999;p0p100;2017;0.0743985956425763;999;i
SM;egfcari999;p0p100;2018;0.0754818190954191;999;i
SM;egfcari999;p0p100;2019;0.0765650425482619;999;i
SM;egfcari999;p0p100;2020;0.0689085382934358;999;i
SM;egfghgi999;p0p100;1980;0.0605562372993493;999;i
SM;egfghgi999;p0p100;1981;0.0625250613525584;999;i
SM;egfghgi999;p0p100;1982;0.0656265758911929;999;i
SM;egfghgi999;p0p100;1983;0.0663556553925536;999;i
SM;egfghgi999;p0p100;1984;0.068737277154098;999;i
SM;egfghgi999;p0p100;1985;0.0699760379011053;999;i
SM;egfghgi999;p0p100;1986;0.0736636816757346;999;i
SM;egfghgi999;p0p100;1987;0.0756612310470451;999;i
SM;egfghgi999;p0p100;1988;0.0781628060126019;999;i
SM;egfghgi999;p0p100;1989;0.0790640296815348;999;i
SM;egfghgi999;p0p100;1990;0.0809084315612427;999;i
SM;egfghgi999;p0p100;1991;0.0780715619132487;999;i
SM;egfghgi999;p0p100;1992;0.0716072805030219;999;i
SM;egfghgi999;p0p100;1993;0.0749796318167643;999;i
SM;egfghgi999;p0p100;1994;0.0745599774441906;999;i
SM;egfghgi999;p0p100;1995;0.0664978176030938;999;i
SM;egfghgi999;p0p100;1996;0.073531059948626;999;i
SM;egfghgi999;p0p100;1997;0.0752494469260452;999;i
SM;egfghgi999;p0p100;1998;0.0719408618119219;999;i
SM;egfghgi999;p0p100;1999;0.0738191211084195;999;i
SM;egfghgi999;p0p100;2000;0.0722891462922709;999;i
SM;egfghgi999;p0p100;2001;0.071892307505878;999;i
SM;egfghgi999;p0p100;2002;0.0757901953550645;999;i
SM;egfghgi999;p0p100;2003;0.0883270158306185;999;i
SM;egfghgi999;p0p100;2004;0.0916292260809767;999;i
SM;egfghgi999;p0p100;2005;0.0925117033615226;999;i
SM;egfghgi999;p0p100;2006;0.0960037727101405;999;i
SM;egfghgi999;p0p100;2007;0.0952362309412783;999;i
SM;egfghgi999;p0p100;2008;0.100886507170669;999;i
SM;egfghgi999;p0p100;2009;0.108047728758073;999;i
SM;egfghgi999;p0p100;2010;0.108195860488748;999;i
SM;egfghgi999;p0p100;2011;0.104097531254263;999;i
SM;egfghgi999;p0p100;2012;0.111227711293223;999;i
SM;egfghgi999;p0p100;2013;0.114421049679069;999;i
SM;egfghgi999;p0p100;2014;0.11417149590676;999;i
SM;egfghgi999;p0p100;2015;0.115232508806396;999;i
SM;egfghgi999;p0p100;2016;0.1169605836076;999;i
SM;egfghgi999;p0p100;2017;0.118688658408803;999;i
SM;egfghgi999;p0p100;2018;0.120416733210007;999;i
SM;egfghgi999;p0p100;2019;0.12214480801121;999;i
SM;egfghgi999;p0p100;2020;0.109930327210089;999;i
SM;egfghoi999;p0p100;1990;0.0287471617604182;999;i
SM;egfghoi999;p0p100;1991;0.0277122154330452;999;i
SM;egfghoi999;p0p100;1992;0.0252314966966255;999;i
SM;egfghoi999;p0p100;1993;0.0265834279330654;999;i
SM;egfghoi999;p0p100;1994;0.0270455907158773;999;i
SM;egfghoi999;p0p100;1995;0.0248072799896739;999;i
SM;egfghoi999;p0p100;1996;0.0271974573019911;999;i
SM;egfghoi999;p0p100;1997;0.0281114427342251;999;i
SM;egfghoi999;p0p100;1998;0.0275882776475292;999;i
SM;egfghoi999;p0p100;1999;0.0283043998714235;999;i
SM;egfghoi999;p0p100;2000;0.027789534309612;999;i
SM;egfghoi999;p0p100;2001;0.0284353994879641;999;i
SM;egfghoi999;p0p100;2002;0.0296451247539556;999;i
SM;egfghoi999;p0p100;2003;0.0332548397590772;999;i
SM;egfghoi999;p0p100;2004;0.034233960926108;999;i
SM;egfghoi999;p0p100;2005;0.0344232277102321;999;i
SM;egfghoi999;p0p100;2006;0.0354844383997277;999;i
SM;egfghoi999;p0p100;2007;0.0354667326005557;999;i
SM;egfghoi999;p0p100;2008;0.037272819630513;999;i
SM;egfghoi999;p0p100;2009;0.0401384949643787;999;i
SM;egfghoi999;p0p100;2010;0.0402697793592714;999;i
SM;egfghoi999;p0p100;2011;0.0387782509714559;999;i
SM;egfghoi999;p0p100;2012;0.0414349719807047;999;i
SM;egfghoi999;p0p100;2013;0.0424436013436432;999;i
SM;egfghoi999;p0p100;2014;0.0423462314159519;999;i
SM;egfghoi999;p0p100;2015;0.0430003600695054;999;i
SM;egfghoi999;p0p100;2016;0.0436452114178661;999;i
SM;egfghoi999;p0p100;2017;0.0442900627662268;999;i
SM;egfghoi999;p0p100;2018;0.0449349141145875;999;i
SM;egfghoi999;p0p100;2019;0.0455797654629482;999;i
SM;egfghoi999;p0p100;2020;0.0410217889166534;999;i
SM;ehfghgi999;p0p100;1980;0.228388343534634;999;i
SM;ehfghgi999;p0p100;1981;0.231890621776154;999;i
SM;ehfghgi999;p0p100;1982;0.237456276624646;999;i
SM;ehfghgi999;p0p100;1983;0.246594148467281;999;i
SM;ehfghgi999;p0p100;1984;0.249419541815372;999;i
SM;ehfghgi999;p0p100;1985;0.262034430051934;999;i
SM;ehfghgi999;p0p100;1986;0.267212539920065;999;i
SM;ehfghgi999;p0p100;1987;0.280492540683232;999;i
SM;ehfghgi999;p0p100;1988;0.285508447376469;999;i
SM;ehfghgi999;p0p100;1989;0.299058890054167;999;i
SM;ehfghgi999;p0p100;1990;0.318545517691402;999;i
SM;ehfghgi999;p0p100;1991;0.330276146158862;999;i
SM;ehfghgi999;p0p100;1992;0.349953874422848;999;i
SM;ehfghgi999;p0p100;1993;0.352141880611911;999;i
SM;ehfghgi999;p0p100;1994;0.355618284939349;999;i
SM;ehfghgi999;p0p100;1995;0.397684431376077;999;i
SM;ehfghgi999;p0p100;1996;0.395338496395587;999;i
SM;ehfghgi999;p0p100;1997;0.380869906282779;999;i
SM;ehfghgi999;p0p100;1998;0.395607104091318;999;i
SM;ehfghgi999;p0p100;1999;0.398206549197412;999;i
SM;ehfghgi999;p0p100;2000;0.405634684811127;999;i
SM;ehfghgi999;p0p100;2001;0.434318336072492;999;i
SM;ehfghgi999;p0p100;2002;0.433068047084941;999;i
SM;ehfghgi999;p0p100;2003;0.427949942791186;999;i
SM;ehfghgi999;p0p100;2004;0.437493153301743;999;i
SM;ehfghgi999;p0p100;2005;0.451434326386102;999;i
SM;ehfghgi999;p0p100;2006;0.454129010144491;999;i
SM;ehfghgi999;p0p100;2007;0.477068095748213;999;i
SM;ehfghgi999;p0p100;2008;0.479537638905352;999;i
SM;ehfghgi999;p0p100;2009;0.481022109404922;999;i
SM;ehfghgi999;p0p100;2010;0.454221457006908;999;i
SM;ehfghgi999;p0p100;2011;0.417130177145261;999;i
SM;ehfghgi999;p0p100;2012;0.421572858948933;999;i
SM;ehfghgi999;p0p100;2013;0.423139804730328;999;i
SM;ehfghgi999;p0p100;2014;0.430129373617349;999;i
SM;ehfghgi999;p0p100;2015;0.453405791066108;999;i
SM;ehfghgi999;p0p100;2016;0.460205253564816;999;i
SM;ehfghgi999;p0p100;2017;0.467004716063523;999;i
SM;ehfghgi999;p0p100;2018;0.473804178562231;999;i
SM;ehfghgi999;p0p100;2019;0.480603641060939;999;i
SM;ehfghgi999;p0p100;2020;0.432543276954845;999;i
SM;ehfghoi999;p0p100;1990;0.110851013886389;999;i
SM;ehfghoi999;p0p100;1991;0.115224323568226;999;i
SM;ehfghoi999;p0p100;1992;0.122780194893234;999;i
SM;ehfghoi999;p0p100;1993;0.122018021831555;999;i
SM;ehfghoi999;p0p100;1994;0.117852104293074;999;i
SM;ehfghoi999;p0p100;1995;0.130096684770575;999;i
SM;ehfghoi999;p0p100;1996;0.129674384266011;999;i
SM;ehfghoi999;p0p100;1997;0.121225690101573;999;i
SM;ehfghoi999;p0p100;1998;0.120415509710812;999;i
SM;ehfghoi999;p0p100;1999;0.120312611072856;999;i
SM;ehfghoi999;p0p100;2000;0.12226403075818;999;i
SM;ehfghoi999;p0p100;2001;0.12734667261155;999;i
SM;ehfghoi999;p0p100;2002;0.126674252860442;999;i
SM;ehfghoi999;p0p100;2003;0.12978492894834;999;i
SM;ehfghoi999;p0p100;2004;0.134934610993572;999;i
SM;ehfghoi999;p0p100;2005;0.142156949639732;999;i
SM;ehfghoi999;p0p100;2006;0.144409776980712;999;i
