country;variable;percentile;year;value;age;pop
SO;egfcari999;p0p100;1990;0.145694344901619;999;i
SO;egfcari999;p0p100;1991;0.121988591007787;999;i
SO;egfcari999;p0p100;1992;0.109093739159296;999;i
SO;egfcari999;p0p100;1993;0.091682544122684;999;i
SO;egfcari999;p0p100;1994;0.0818414802386114;999;i
SO;egfcari999;p0p100;1995;0.0732242958858579;999;i
SO;egfcari999;p0p100;1996;0.0667956821365749;999;i
SO;egfcari999;p0p100;1997;0.0558870747869446;999;i
SO;egfcari999;p0p100;1998;0.0488907569972754;999;i
SO;egfcari999;p0p100;1999;0.0475728156089139;999;i
SO;egfcari999;p0p100;2000;0.0465662673789449;999;i
SO;egfcari999;p0p100;2001;0.0531697088943923;999;i
SO;egfcari999;p0p100;2002;0.0618456277424546;999;i
SO;egfcari999;p0p100;2003;0.0648955027788356;999;i
SO;egfcari999;p0p100;2004;0.0653067205277381;999;i
SO;egfcari999;p0p100;2005;0.0660974500626693;999;i
SO;egfcari999;p0p100;2006;0.0683104730842325;999;i
SO;egfcari999;p0p100;2007;0.0707631257869215;999;i
SO;egfcari999;p0p100;2008;0.0716361114930152;999;i
SO;egfcari999;p0p100;2009;0.0749077841582838;999;i
SO;egfcari999;p0p100;2010;0.0785203066253631;999;i
SO;egfcari999;p0p100;2011;0.0862690769766635;999;i
SO;egfcari999;p0p100;2012;0.0829644934007894;999;i
SO;egfcari999;p0p100;2013;0.087709889137807;999;i
SO;egfcari999;p0p100;2014;0.0825848657727581;999;i
SO;egfcari999;p0p100;2015;0.0812630711499832;999;i
SO;egfcari999;p0p100;2016;0.0815063737582166;999;i
SO;egfcari999;p0p100;2017;0.0871023337475867;999;i
SO;egfcari999;p0p100;2018;0.0913601293916727;999;i
SO;egfcari999;p0p100;2019;0.0950307787016064;999;i
SO;egfcari999;p0p100;2020;0.0926550092340662;999;i
SO;egfghgi999;p0p100;1980;3.09915209960938;999;i
SO;egfghgi999;p0p100;1981;2.85095458984375;999;i
SO;egfghgi999;p0p100;1982;3.16026171875;999;i
SO;egfghgi999;p0p100;1983;3.120537109375;999;i
SO;egfghgi999;p0p100;1984;2.7286240234375;999;i
SO;egfghgi999;p0p100;1985;3.03392626953125;999;i
SO;egfghgi999;p0p100;1986;3.08179518537577;999;i
SO;egfghgi999;p0p100;1987;3.45446878719924;999;i
SO;egfghgi999;p0p100;1988;3.45387788865167;999;i
SO;egfghgi999;p0p100;1989;3.28562158651491;999;i
SO;egfghgi999;p0p100;1990;2.97487157160802;999;i
SO;egfghgi999;p0p100;1991;2.56664558919749;999;i
SO;egfghgi999;p0p100;1992;2.27122693663535;999;i
SO;egfghgi999;p0p100;1993;2.23439137721174;999;i
SO;egfghgi999;p0p100;1994;2.24338784168177;999;i
SO;egfghgi999;p0p100;1995;2.20473528673367;999;i
SO;egfghgi999;p0p100;1996;2.10698095373708;999;i
SO;egfghgi999;p0p100;1997;1.90430626448526;999;i
SO;egfghgi999;p0p100;1998;1.7260340507459;999;i
SO;egfghgi999;p0p100;1999;1.74966889133634;999;i
SO;egfghgi999;p0p100;2000;1.78435039944665;999;i
SO;egfghgi999;p0p100;2001;2.01134320089559;999;i
SO;egfghgi999;p0p100;2002;2.11917332950355;999;i
SO;egfghgi999;p0p100;2003;2.18261024225403;999;i
SO;egfghgi999;p0p100;2004;2.20166025120135;999;i
SO;egfghgi999;p0p100;2005;2.23546964796139;999;i
SO;egfghgi999;p0p100;2006;2.20296365188816;999;i
SO;egfghgi999;p0p100;2007;2.16398695767941;999;i
SO;egfghgi999;p0p100;2008;2.22341436468924;999;i
SO;egfghgi999;p0p100;2009;2.38878444218492;999;i
SO;egfghgi999;p0p100;2010;2.5582478534872;999;i
SO;egfghgi999;p0p100;2011;2.69362337026662;999;i
SO;egfghgi999;p0p100;2012;2.64804019060878;999;i
SO;egfghgi999;p0p100;2013;2.75410550724187;999;i
SO;egfghgi999;p0p100;2014;2.61328187322314;999;i
SO;egfghgi999;p0p100;2015;2.50626319304802;999;i
SO;egfghgi999;p0p100;2016;2.50626319304802;999;i
SO;egfghgi999;p0p100;2017;2.49765060475576;999;i
SO;egfghgi999;p0p100;2018;2.51487578134028;999;i
SO;egfghgi999;p0p100;2019;2.6159179658557;999;i
SO;egfghgi999;p0p100;2020;2.55052001670931;999;i
SO;egfghoi999;p0p100;1990;2.8291772267064;999;i
SO;egfghoi999;p0p100;1991;2.4446569981897;999;i
SO;egfghoi999;p0p100;1992;2.16213319747605;999;i
SO;egfghoi999;p0p100;1993;2.14270883308906;999;i
SO;egfghoi999;p0p100;1994;2.16154636144315;999;i
SO;egfghoi999;p0p100;1995;2.13151099084781;999;i
SO;egfghoi999;p0p100;1996;2.04018527160051;999;i
SO;egfghoi999;p0p100;1997;1.84841918969831;999;i
SO;egfghoi999;p0p100;1998;1.67714329374863;999;i
SO;egfghoi999;p0p100;1999;1.70209607572742;999;i
SO;egfghoi999;p0p100;2000;1.7377841320677;999;i
SO;egfghoi999;p0p100;2001;1.95817349200119;999;i
SO;egfghoi999;p0p100;2002;2.0573277017611;999;i
SO;egfghoi999;p0p100;2003;2.1177147394752;999;i
SO;egfghoi999;p0p100;2004;2.13635353067362;999;i
SO;egfghoi999;p0p100;2005;2.16937219789872;999;i
SO;egfghoi999;p0p100;2006;2.13465317880393;999;i
SO;egfghoi999;p0p100;2007;2.09322383189249;999;i
SO;egfghoi999;p0p100;2008;2.15177825319622;999;i
SO;egfghoi999;p0p100;2009;2.31387665802663;999;i
SO;egfghoi999;p0p100;2010;2.47972754686184;999;i
SO;egfghoi999;p0p100;2011;2.60735429328996;999;i
SO;egfghoi999;p0p100;2012;2.56507569720799;999;i
SO;egfghoi999;p0p100;2013;2.66639561810406;999;i
SO;egfghoi999;p0p100;2014;2.53069700745038;999;i
SO;egfghoi999;p0p100;2015;2.42500012189804;999;i
SO;egfghoi999;p0p100;2016;2.42475681928981;999;i
SO;egfghoi999;p0p100;2017;2.41054827100817;999;i
SO;egfghoi999;p0p100;2018;2.42351565194861;999;i
SO;egfghoi999;p0p100;2019;2.52088718715409;999;i
SO;egfghoi999;p0p100;2020;2.45786500747524;999;i
SO;ehfghgi999;p0p100;1980;15.036685546875;999;i
SO;ehfghgi999;p0p100;1981;15.72578515625;999;i
SO;ehfghgi999;p0p100;1982;15.8643564453125;999;i
SO;ehfghgi999;p0p100;1983;15.2142138671875;999;i
SO;ehfghgi999;p0p100;1984;16.1028369140625;999;i
SO;ehfghgi999;p0p100;1985;16.138931640625;999;i
SO;ehfghgi999;p0p100;1986;16.1252691666672;999;i
SO;ehfghgi999;p0p100;1987;16.4737796163893;999;i
SO;ehfghgi999;p0p100;1988;17.2182463278196;999;i
SO;ehfghgi999;p0p100;1989;16.7221077060013;999;i
SO;ehfghgi999;p0p100;1990;14.9452346461637;999;i
SO;ehfghgi999;p0p100;1991;12.6341186587508;999;i
SO;ehfghgi999;p0p100;1992;11.5662511003205;999;i
SO;ehfghgi999;p0p100;1993;13.5006086928735;999;i
SO;ehfghgi999;p0p100;1994;15.0676008861529;999;i
SO;ehfghgi999;p0p100;1995;15.4618670857537;999;i
SO;ehfghgi999;p0p100;1996;16.0769460599283;999;i
