country;variable;percentile;year;value;age;pop
SS;egfcari999;p0p100;1990;0.0974864144440344;999;i
SS;egfcari999;p0p100;1991;0.0945325196072929;999;i
SS;egfcari999;p0p100;1992;0.0943800841361316;999;i
SS;egfcari999;p0p100;1993;0.0923898242556832;999;i
SS;egfcari999;p0p100;1994;0.0902003219682489;999;i
SS;egfcari999;p0p100;1995;0.089272164163986;999;i
SS;egfcari999;p0p100;1996;0.0907161803959187;999;i
SS;egfcari999;p0p100;1997;0.09175194927287;999;i
SS;egfcari999;p0p100;1998;0.0946883477501729;999;i
SS;egfcari999;p0p100;1999;0.0992798247173899;999;i
SS;egfcari999;p0p100;2000;0.103650755846642;999;i
SS;egfcari999;p0p100;2001;0.10918321028581;999;i
SS;egfcari999;p0p100;2002;0.113428309044024;999;i
SS;egfcari999;p0p100;2003;0.119822823567044;999;i
SS;egfcari999;p0p100;2004;0.123795933978203;999;i
SS;egfcari999;p0p100;2005;0.132980099457372;999;i
SS;egfcari999;p0p100;2006;0.13092784598262;999;i
SS;egfcari999;p0p100;2007;0.135089592122915;999;i
SS;egfcari999;p0p100;2008;0.120507954323375;999;i
SS;egfcari999;p0p100;2009;0.128648470736959;999;i
SS;egfcari999;p0p100;2010;0.14043452139049;999;i
SS;egfcari999;p0p100;2011;0.145981110102968;999;i
SS;egfcari999;p0p100;2012;0.151519968489468;999;i
SS;egfcari999;p0p100;2013;0.156990719139838;999;i
SS;egfcari999;p0p100;2014;0.156084522889326;999;i
SS;egfcari999;p0p100;2015;0.156650276618736;999;i
SS;egfcari999;p0p100;2016;0.158358631936316;999;i
SS;egfcari999;p0p100;2017;0.159502481515505;999;i
SS;egfcari999;p0p100;2018;0.160455102308888;999;i
SS;egfcari999;p0p100;2019;0.161715039938538;999;i
SS;egfcari999;p0p100;2020;0.157672163940075;999;i
SS;egfghgi999;p0p100;1980;0.670655928319737;999;i
SS;egfghgi999;p0p100;1981;0.692344547471461;999;i
SS;egfghgi999;p0p100;1982;0.717351829740214;999;i
SS;egfghgi999;p0p100;1983;0.742949459177373;999;i
SS;egfghgi999;p0p100;1984;0.766199161294864;999;i
SS;egfghgi999;p0p100;1985;0.787885545038589;999;i
SS;egfghgi999;p0p100;1986;0.808407025564325;999;i
SS;egfghgi999;p0p100;1987;0.825578911667582;999;i
SS;egfghgi999;p0p100;1988;0.836178602018768;999;i
SS;egfghgi999;p0p100;1989;0.841341196789341;999;i
SS;egfghgi999;p0p100;1990;0.866260061475415;999;i
SS;egfghgi999;p0p100;1991;0.843130251148126;999;i
SS;egfghgi999;p0p100;1992;0.841311666701314;999;i
SS;egfghgi999;p0p100;1993;0.82099756693324;999;i
SS;egfghgi999;p0p100;1994;0.794975903089136;999;i
SS;egfghgi999;p0p100;1995;0.786520563186681;999;i
SS;egfghgi999;p0p100;1996;0.797653396192518;999;i
SS;egfghgi999;p0p100;1997;0.809656392470097;999;i
SS;egfghgi999;p0p100;1998;0.839411171936928;999;i
SS;egfghgi999;p0p100;1999;0.880140006604417;999;i
SS;egfghgi999;p0p100;2000;0.918949912134069;999;i
SS;egfghgi999;p0p100;2001;0.963928582078355;999;i
SS;egfghgi999;p0p100;2002;1.00056241797735;999;i
SS;egfghgi999;p0p100;2003;1.05122746962044;999;i
SS;egfghgi999;p0p100;2004;1.0891815210193;999;i
SS;egfghgi999;p0p100;2005;1.16885289624641;999;i
SS;egfghgi999;p0p100;2006;1.1654091175441;999;i
SS;egfghgi999;p0p100;2007;1.20369484024655;999;i
SS;egfghgi999;p0p100;2008;1.06789061401891;999;i
SS;egfghgi999;p0p100;2009;1.13949246586342;999;i
SS;egfghgi999;p0p100;2010;1.24290475914068;999;i
SS;egfghgi999;p0p100;2011;1.29222071287205;999;i
SS;egfghgi999;p0p100;2012;1.34088920382944;999;i
SS;egfghgi999;p0p100;2013;1.39033582843116;999;i
SS;egfghgi999;p0p100;2014;1.38283066790235;999;i
SS;egfghgi999;p0p100;2015;1.38877487364636;999;i
SS;egfghgi999;p0p100;2016;1.4039202087937;999;i
SS;egfghgi999;p0p100;2017;1.41406094770012;999;i
SS;egfghgi999;p0p100;2018;1.42250635775952;999;i
SS;egfghgi999;p0p100;2019;1.43367626923487;999;i
SS;egfghgi999;p0p100;2020;1.39783436250399;999;i
SS;egfghoi999;p0p100;1990;0.768773647031381;999;i
SS;egfghoi999;p0p100;1991;0.748597731540833;999;i
SS;egfghoi999;p0p100;1992;0.746931582565182;999;i
SS;egfghoi999;p0p100;1993;0.728607742677556;999;i
SS;egfghoi999;p0p100;1994;0.704775581120887;999;i
SS;egfghoi999;p0p100;1995;0.697248399022695;999;i
SS;egfghoi999;p0p100;1996;0.7069372157966;999;i
SS;egfghoi999;p0p100;1997;0.717904443197227;999;i
SS;egfghoi999;p0p100;1998;0.744722824186755;999;i
SS;egfghoi999;p0p100;1999;0.780860181887027;999;i
SS;egfghoi999;p0p100;2000;0.815299156287428;999;i
SS;egfghoi999;p0p100;2001;0.854745371792545;999;i
SS;egfghoi999;p0p100;2002;0.887134108933326;999;i
SS;egfghoi999;p0p100;2003;0.931404646053399;999;i
SS;egfghoi999;p0p100;2004;0.965385587041097;999;i
SS;egfghoi999;p0p100;2005;1.03587279678904;999;i
SS;egfghoi999;p0p100;2006;1.03448127156148;999;i
SS;egfghoi999;p0p100;2007;1.06860524812364;999;i
SS;egfghoi999;p0p100;2008;0.947382659695535;999;i
SS;egfghoi999;p0p100;2009;1.01084399512646;999;i
SS;egfghoi999;p0p100;2010;1.10247023775019;999;i
SS;egfghoi999;p0p100;2011;1.14623960276908;999;i
SS;egfghoi999;p0p100;2012;1.18936923533997;999;i
SS;egfghoi999;p0p100;2013;1.23334510929132;999;i
SS;egfghoi999;p0p100;2014;1.22674614501303;999;i
SS;egfghoi999;p0p100;2015;1.23212459702762;999;i
SS;egfghoi999;p0p100;2016;1.24556157685739;999;i
SS;egfghoi999;p0p100;2017;1.25455846618461;999;i
SS;egfghoi999;p0p100;2018;1.26205125545063;999;i
SS;egfghoi999;p0p100;2019;1.27196122929633;999;i
SS;egfghoi999;p0p100;2020;1.24016219856392;999;i
SS;ehfghgi999;p0p100;1980;0.669292564338755;999;i
SS;ehfghgi999;p0p100;1981;0.690225591216099;999;i
SS;ehfghgi999;p0p100;1982;0.713612623734573;999;i
SS;ehfghgi999;p0p100;1983;0.736756251226496;999;i
SS;ehfghgi999;p0p100;1984;0.758013231614317;999;i
SS;ehfghgi999;p0p100;1985;0.776404356986012;999;i
