country;variable;percentile;year;value;age;pop
SU;aptfrni992;p0p100;1970;0;992;i
SU;aptfrni992;p0p100;1971;-293.5;992;i
SU;aptfrni992;p0p100;1972;-599.5;992;i
SU;aptfrni992;p0p100;1973;-953.6;992;i
SU;aptfrni992;p0p100;1974;-1296.3;992;i
SU;aptfrni992;p0p100;1975;-1684.9;992;i
SU;aptfrni992;p0p100;1976;-2086.8;992;i
SU;aptfrni992;p0p100;1977;-2446.6;992;i
SU;aptfrni992;p0p100;1978;-2819;992;i
SU;aptfrni992;p0p100;1979;-3163.9;992;i
SU;aptfrni992;p0p100;1980;-3599.6;992;i
SU;aptfrni992;p0p100;1981;-4008.1;992;i
SU;aptfrni992;p0p100;1982;-4333;992;i
SU;aptfrni992;p0p100;1983;-4817.5;992;i
SU;aptfrni992;p0p100;1984;-5178;992;i
SU;aptfrni992;p0p100;1985;-5464.9;992;i
SU;aptfrni992;p0p100;1986;-5966.8;992;i
SU;aptfrni992;p0p100;1987;-6353.5;992;i
SU;aptfrni992;p0p100;1988;-6899.5;992;i
SU;aptfrni992;p0p100;1989;-7397.5;992;i
SU;aptfrni992;p0p100;1990;-7693.2;992;i
SU;aptfrni999;p0p100;1970;0;999;i
SU;aptfrni999;p0p100;1971;-183.3;999;i
SU;aptfrni999;p0p100;1972;-376.7;999;i
SU;aptfrni999;p0p100;1973;-602.8;999;i
SU;aptfrni999;p0p100;1974;-825.1;999;i
SU;aptfrni999;p0p100;1975;-1081.2;999;i
SU;aptfrni999;p0p100;1976;-1346.4;999;i
SU;aptfrni999;p0p100;1977;-1590.3;999;i
SU;aptfrni999;p0p100;1978;-1847.8;999;i
SU;aptfrni999;p0p100;1979;-2089.7;999;i
SU;aptfrni999;p0p100;1980;-2392;999;i
SU;aptfrni999;p0p100;1981;-2677.7;999;i
SU;aptfrni999;p0p100;1982;-2905.6;999;i
SU;aptfrni999;p0p100;1983;-3238.2;999;i
SU;aptfrni999;p0p100;1984;-3485.5;999;i
SU;aptfrni999;p0p100;1985;-3681.2;999;i
SU;aptfrni999;p0p100;1986;-4014.5;999;i
SU;aptfrni999;p0p100;1987;-4266.1;999;i
SU;aptfrni999;p0p100;1988;-4622.6;999;i
SU;aptfrni999;p0p100;1989;-4948.6;999;i
SU;aptfrni999;p0p100;1990;-5145.4;999;i
SU;aconfci992;p0p100;1950;33296.6;992;i
SU;aconfci992;p0p100;1951;34487.2;992;i
SU;aconfci992;p0p100;1952;35724;992;i
SU;aconfci992;p0p100;1953;37221.8;992;i
SU;aconfci992;p0p100;1954;38989.9;992;i
SU;aconfci992;p0p100;1955;40920.1;992;i
SU;aconfci992;p0p100;1956;42763.9;992;i
SU;aconfci992;p0p100;1957;44331.6;992;i
SU;aconfci992;p0p100;1958;45719.5;992;i
SU;aconfci992;p0p100;1959;47076;992;i
SU;aconfci992;p0p100;1960;48704.1;992;i
SU;aconfci992;p0p100;1961;50464.8;992;i
SU;aconfci992;p0p100;1962;52432.6;992;i
SU;aconfci992;p0p100;1963;54754.1;992;i
SU;aconfci992;p0p100;1964;57627.4;992;i
SU;aconfci992;p0p100;1965;60665.8;992;i
SU;aconfci992;p0p100;1966;63699.7;992;i
SU;aconfci992;p0p100;1967;66590.7;992;i
SU;aconfci992;p0p100;1968;69357.8;992;i
SU;aconfci992;p0p100;1969;72109;992;i
SU;aconfci992;p0p100;1970;75107.7;992;i
SU;aconfci992;p0p100;1971;78123.3;992;i
SU;aconfci992;p0p100;1972;81412;992;i
SU;aconfci992;p0p100;1973;84910.9;992;i
SU;aconfci992;p0p100;1974;88274.7;992;i
SU;aconfci992;p0p100;1975;91320.1;992;i
SU;aconfci992;p0p100;1976;94177.4;992;i
SU;aconfci992;p0p100;1977;96262.8;992;i
SU;aconfci992;p0p100;1978;97768.2;992;i
SU;aconfci992;p0p100;1979;98989.4;992;i
SU;aconfci992;p0p100;1980;100139.7;992;i
SU;aconfci992;p0p100;1981;101065.6;992;i
SU;aconfci992;p0p100;1982;101809.6;992;i
SU;aconfci992;p0p100;1983;102464.2;992;i
SU;aconfci992;p0p100;1984;102964.8;992;i
SU;aconfci992;p0p100;1985;103485.1;992;i
SU;aconfci992;p0p100;1986;104393.3;992;i
SU;aconfci992;p0p100;1987;105561.4;992;i
SU;aconfci992;p0p100;1988;106923.9;992;i
SU;aconfci992;p0p100;1989;108257.4;992;i
SU;aconfci992;p0p100;1990;109482.4;992;i
SU;aconfci999;p0p100;1950;20352.5;999;i
SU;aconfci999;p0p100;1951;21088.9;999;i
SU;aconfci999;p0p100;1952;21901.6;999;i
SU;aconfci999;p0p100;1953;22835.5;999;i
SU;aconfci999;p0p100;1954;23932.8;999;i
SU;aconfci999;p0p100;1955;25184.9;999;i
SU;aconfci999;p0p100;1956;26472.9;999;i
SU;aconfci999;p0p100;1957;27654.1;999;i
SU;aconfci999;p0p100;1958;28737.9;999;i
SU;aconfci999;p0p100;1959;29729.6;999;i
SU;aconfci999;p0p100;1960;30762.7;999;i
SU;aconfci999;p0p100;1961;31780.6;999;i
SU;aconfci999;p0p100;1962;32786.9;999;i
SU;aconfci999;p0p100;1963;33932.8;999;i
SU;aconfci999;p0p100;1964;35440.2;999;i
SU;aconfci999;p0p100;1965;37147.5;999;i
SU;aconfci999;p0p100;1966;38936.2;999;i
SU;aconfci999;p0p100;1967;40755.3;999;i
SU;aconfci999;p0p100;1968;42605.7;999;i
SU;aconfci999;p0p100;1969;44503.9;999;i
SU;aconfci999;p0p100;1970;46576;999;i
SU;aconfci999;p0p100;1971;48789.2;999;i
SU;aconfci999;p0p100;1972;51156.6;999;i
SU;aconfci999;p0p100;1973;53675.3;999;i
SU;aconfci999;p0p100;1974;56188.2;999;i
SU;aconfci999;p0p100;1975;58602.2;999;i
SU;aconfci999;p0p100;1976;60762.2;999;i
SU;aconfci999;p0p100;1977;62572.3;999;i
SU;aconfci999;p0p100;1978;64084;999;i
SU;aconfci999;p0p100;1979;65380.8;999;i
SU;aconfci999;p0p100;1980;66545.2;999;i
SU;aconfci999;p0p100;1981;67518.2;999;i
SU;aconfci999;p0p100;1982;68271.8;999;i
SU;aconfci999;p0p100;1983;68873.8;999;i
SU;aconfci999;p0p100;1984;69309.9;999;i
SU;aconfci999;p0p100;1985;69708.2;999;i
SU;aconfci999;p0p100;1986;70236.3;999;i
SU;aconfci999;p0p100;1987;70880.7;999;i
SU;aconfci999;p0p100;1988;71637.2;999;i
SU;aconfci999;p0p100;1989;72418.5;999;i
SU;aconfci999;p0p100;1990;73224.1;999;i
SU;agdproi992;p0p100;1950;332655.1;992;i
SU;agdproi992;p0p100;1951;329355.3;992;i
SU;agdproi992;p0p100;1952;344340.6;992;i
SU;agdproi992;p0p100;1953;352926.1;992;i
SU;agdproi992;p0p100;1954;363510.6;992;i
SU;agdproi992;p0p100;1955;386730.7;992;i
SU;agdproi992;p0p100;1956;413979;992;i
SU;agdproi992;p0p100;1957;411957.6;992;i
SU;agdproi992;p0p100;1958;432077.7;992;i
SU;agdproi992;p0p100;1959;418235.6;992;i
SU;agdproi992;p0p100;1960;450422.1;992;i
SU;agdproi992;p0p100;1961;470001.7;992;i
SU;agdproi992;p0p100;1962;478619.6;992;i
SU;agdproi992;p0p100;1963;464901.9;992;i
SU;agdproi992;p0p100;1964;521702.8;992;i
SU;agdproi992;p0p100;1965;546628.3;992;i
SU;agdproi992;p0p100;1966;567473.4;992;i
SU;agdproi992;p0p100;1967;585518.1;992;i
SU;agdproi992;p0p100;1968;611491.1;992;i
SU;agdproi992;p0p100;1969;611402.9;992;i
SU;agdproi992;p0p100;1970;649191.8;992;i
SU;agdproi992;p0p100;1971;666463.4;992;i
SU;agdproi992;p0p100;1972;680724.7;992;i
SU;agdproi992;p0p100;1973;721931.3;992;i
SU;agdproi992;p0p100;1974;736033;992;i
SU;agdproi992;p0p100;1975;765299.9;992;i
SU;agdproi992;p0p100;1976;789908.1;992;i
SU;agdproi992;p0p100;1977;795339.1;992;i
SU;agdproi992;p0p100;1978;802791;992;i
SU;agdproi992;p0p100;1979;801353;992;i
SU;agdproi992;p0p100;1980;821076.4;992;i
SU;agdproi992;p0p100;1981;831511.7;992;i
SU;agdproi992;p0p100;1982;824151.4;992;i
SU;agdproi992;p0p100;1983;842949.5;992;i
SU;agdproi992;p0p100;1984;840053.2;992;i
SU;agdproi992;p0p100;1985;828045;992;i
SU;agdproi992;p0p100;1986;846366.9;992;i
SU;agdproi992;p0p100;1987;849866.8;992;i
SU;agdproi992;p0p100;1988;872599.9;992;i
SU;agdproi992;p0p100;1989;884852.5;992;i
SU;agdproi992;p0p100;1990;876386.6;992;i
SU;agdproi999;p0p100;1950;203335.2;999;i
SU;agdproi999;p0p100;1951;201400.8;999;i
SU;agdproi999;p0p100;1952;211107.5;999;i
SU;agdproi999;p0p100;1953;216519.8;999;i
SU;agdproi999;p0p100;1954;223129.8;999;i
SU;agdproi999;p0p100;1955;238018.9;999;i
SU;agdproi999;p0p100;1956;256273.5;999;i
