country;variable;percentile;year;value;age;pop
SX;acomrxi999;p0p100;2011;698.1;999;i
SX;acomrxi999;p0p100;2012;731.1;999;i
SX;acomrxi999;p0p100;2013;1223.5;999;i
SX;acomrxi999;p0p100;2014;701.5;999;i
SX;acomrxi999;p0p100;2015;353.8;999;i
SX;acomrxi999;p0p100;2016;555.2;999;i
SX;acomrxi999;p0p100;2017;475.7;999;i
SX;acomrxi999;p0p100;2018;545.9;999;i
SX;aconfci999;p0p100;2005;7211.3;999;i
SX;aconfci999;p0p100;2006;7455.5;999;i
SX;aconfci999;p0p100;2007;7703.8;999;i
SX;aconfci999;p0p100;2008;7916.7;999;i
SX;aconfci999;p0p100;2009;8068.8;999;i
SX;aconfci999;p0p100;2010;8155.5;999;i
SX;aconfci999;p0p100;2011;8153.2;999;i
SX;aconfci999;p0p100;2012;8062.1;999;i
SX;aconfci999;p0p100;2013;7905.8;999;i
SX;aconfci999;p0p100;2014;7715.7;999;i
SX;aconfci999;p0p100;2015;7489.5;999;i
SX;aconfci999;p0p100;2016;7194.5;999;i
SX;aconfci999;p0p100;2017;6781.7;999;i
SX;aconfci999;p0p100;2018;6235.8;999;i
SX;aconfci999;p0p100;2019;5548.1;999;i
SX;aconfci999;p0p100;2020;4725.8;999;i
SX;aconfci999;p0p100;2021;3930.8;999;i
SX;afdirxi999;p0p100;2011;25.1;999;i
SX;afdirxi999;p0p100;2012;18.2;999;i
SX;afdirxi999;p0p100;2013;0;999;i
SX;afdirxi999;p0p100;2014;15.8;999;i
SX;afdirxi999;p0p100;2015;4;999;i
SX;afdirxi999;p0p100;2016;41.8;999;i
SX;afdirxi999;p0p100;2017;96.7;999;i
SX;afdirxi999;p0p100;2018;49.7;999;i
SX;xlceuxi999;p0p100;2005;2.22692161353107;999;i
SX;xlceuxi999;p0p100;2006;2.24124385081071;999;i
SX;xlceuxi999;p0p100;2007;2.4463033469312;999;i
SX;xlceuxi999;p0p100;2008;2.62162158845151;999;i
SX;xlceuxi999;p0p100;2009;2.48619975435119;999;i
SX;xlceuxi999;p0p100;2010;2.37429215883899;999;i
SX;xlceuxi999;p0p100;2011;2.49159988168906;999;i
SX;xlceuxi999;p0p100;2012;2.29977163265764;999;i
SX;xlceuxi999;p0p100;2013;2.37733123195156;999;i
SX;xlceuxi999;p0p100;2014;2.37801626836177;999;i
SX;xlceuxi999;p0p100;2015;1.98602800232388;999;i
SX;xlceuxi999;p0p100;2016;1.98135647421765;999;i
SX;xlceuxi999;p0p100;2017;2.0221292650521;999;i
SX;xlceuxi999;p0p100;2018;2.11390851841778;999;i
SX;xlceuxi999;p0p100;2019;2.00387787716319;999;i
SX;xlceuxi999;p0p100;2020;2.04390425305437;999;i
SX;xlceuxi999;p0p100;2021;2.12945933796254;999;i
SX;afinpxi999;p0p100;2011;3262.1;999;i
SX;afinpxi999;p0p100;2012;3039.6;999;i
SX;afinpxi999;p0p100;2013;3107.9;999;i
SX;afinpxi999;p0p100;2014;3618.6;999;i
SX;afinpxi999;p0p100;2015;3697.7;999;i
SX;afinpxi999;p0p100;2016;3625.8;999;i
SX;afinpxi999;p0p100;2017;2583.2;999;i
SX;afinpxi999;p0p100;2018;2521.5;999;i
SX;aflcini999;p0p100;2011;2717.3;999;i
SX;aflcini999;p0p100;2012;1074.2;999;i
SX;aflcini999;p0p100;2013;3704;999;i
SX;aflcini999;p0p100;2014;2140.3;999;i
SX;aflcini999;p0p100;2015;435.2;999;i
SX;aflcini999;p0p100;2016;541.1;999;i
SX;aflcini999;p0p100;2017;1230.2;999;i
SX;aflcini999;p0p100;2018;1091.1;999;i
SX;agweali999;p0p100;2005;16774.9;999;i
SX;agweali999;p0p100;2006;19200.8;999;i
SX;agweali999;p0p100;2007;21474.1;999;i
SX;agweali999;p0p100;2008;22775.9;999;i
SX;agweali999;p0p100;2009;23156.1;999;i
SX;agweali999;p0p100;2010;23837.7;999;i
SX;agweali999;p0p100;2011;26072.8;999;i
SX;agweali999;p0p100;2012;24531.3;999;i
SX;agweali999;p0p100;2013;24648;999;i
SX;agweali999;p0p100;2014;22854.8;999;i
SX;agweali999;p0p100;2015;21002.1;999;i
SX;agweali999;p0p100;2016;19825.6;999;i
SX;agweali999;p0p100;2017;17134.3;999;i
SX;agweali999;p0p100;2018;15013.7;999;i
SX;agweali999;p0p100;2019;14728.1;999;i
SX;agweali999;p0p100;2020;10287.3;999;i
SX;agweali999;p0p100;2021;7168.5;999;i
SX;ahweali999;p0p100;2005;40060.5;999;i
SX;ahweali999;p0p100;2006;45089.3;999;i
SX;ahweali999;p0p100;2007;50089.3;999;i
SX;ahweali999;p0p100;2008;53395.6;999;i
SX;ahweali999;p0p100;2009;55218.7;999;i
SX;ahweali999;p0p100;2010;58496.2;999;i
SX;ahweali999;p0p100;2011;66592.4;999;i
SX;ahweali999;p0p100;2012;65964.5;999;i
SX;ahweali999;p0p100;2013;70485.6;999;i
SX;ahweali999;p0p100;2014;70233;999;i
SX;ahweali999;p0p100;2015;69928.7;999;i
SX;ahweali999;p0p100;2016;71977.8;999;i
SX;ahweali999;p0p100;2017;68149.3;999;i
SX;ahweali999;p0p100;2018;65651.6;999;i
SX;ahweali999;p0p100;2019;71053.8;999;i
SX;ahweali999;p0p100;2020;54878.9;999;i
SX;ahweali999;p0p100;2021;42396.3;999;i
SX;anninci999;p0p100;2005;45651.1;999;i
SX;anninci999;p0p100;2006;47927.5;999;i
SX;anninci999;p0p100;2007;50010.9;999;i
SX;anninci999;p0p100;2008;50470.1;999;i
SX;anninci999;p0p100;2009;49797.9;999;i
SX;anninci999;p0p100;2010;50652.4;999;i
SX;anninci999;p0p100;2011;55573.2;999;i
SX;anninci999;p0p100;2012;53101.5;999;i
SX;anninci999;p0p100;2013;54722.3;999;i
SX;anninci999;p0p100;2014;52466.8;999;i
SX;anninci999;p0p100;2015;50175.7;999;i
SX;anninci999;p0p100;2016;49514;999;i
SX;anninci999;p0p100;2017;44868.6;999;i
SX;anninci999;p0p100;2018;41312.5;999;i
SX;anninci999;p0p100;2019;42679.3;999;i
SX;anninci999;p0p100;2020;31461.6;999;i
SX;anninci999;p0p100;2021;23232.1;999;i
SX;anweali999;p0p100;2005;63366.7;999;i
SX;anweali999;p0p100;2006;71257.7;999;i
SX;anweali999;p0p100;2007;78925.8;999;i
SX;anweali999;p0p100;2008;83670.7;999;i
SX;anweali999;p0p100;2009;85806;999;i
SX;anweali999;p0p100;2010;89899.1;999;i
SX;anweali999;p0p100;2011;100948.2;999;i
SX;anweali999;p0p100;2012;98377.5;999;i
SX;anweali999;p0p100;2013;103185;999;i
SX;anweali999;p0p100;2014;100738.8;999;i
SX;anweali999;p0p100;2015;98161.7;999;i
SX;anweali999;p0p100;2016;98842.6;999;i
SX;anweali999;p0p100;2017;91569.3;999;i
SX;anweali999;p0p100;2018;86359;999;i
SX;anweali999;p0p100;2019;91565.6;999;i
SX;anweali999;p0p100;2020;69351.8;999;i
SX;anweali999;p0p100;2021;52597.6;999;i
SX;apinpxi999;p0p100;2011;783.3;999;i
SX;apinpxi999;p0p100;2012;517.2;999;i
SX;apinpxi999;p0p100;2013;631.6;999;i
SX;apinpxi999;p0p100;2014;1018.7;999;i
SX;apinpxi999;p0p100;2015;1364.5;999;i
SX;apinpxi999;p0p100;2016;1328.9;999;i
SX;apinpxi999;p0p100;2017;578;999;i
SX;apinpxi999;p0p100;2018;499.9;999;i
SX;apweali999;p0p100;2005;46591.8;999;i
SX;apweali999;p0p100;2006;52056.9;999;i
SX;apweali999;p0p100;2007;57451.7;999;i
SX;apweali999;p0p100;2008;60894.8;999;i
SX;apweali999;p0p100;2009;62649.9;999;i
SX;apweali999;p0p100;2010;66061.4;999;i
SX;apweali999;p0p100;2011;74875.4;999;i
SX;apweali999;p0p100;2012;73846.3;999;i
SX;apweali999;p0p100;2013;78537;999;i
SX;apweali999;p0p100;2014;77884;999;i
SX;apweali999;p0p100;2015;77159.6;999;i
SX;apweali999;p0p100;2016;79016.9;999;i
SX;apweali999;p0p100;2017;74435;999;i
SX;apweali999;p0p100;2018;71345.3;999;i
SX;apweali999;p0p100;2019;76837.5;999;i
SX;apweali999;p0p100;2020;59064.5;999;i
SX;apweali999;p0p100;2021;45429.1;999;i
SX;ataxnxi999;p0p100;2011;1057.7;999;i
SX;ataxnxi999;p0p100;2012;1288.5;999;i
SX;ataxnxi999;p0p100;2013;1481.9;999;i
SX;ataxnxi999;p0p100;2014;1633;999;i
SX;ataxnxi999;p0p100;2015;2142.4;999;i
SX;ataxnxi999;p0p100;2016;1944;999;i
SX;ataxnxi999;p0p100;2017;125.6;999;i
SX;ataxnxi999;p0p100;2018;37.6;999;i
SX;mconfci999;p0p100;2005;241103376;999;i
SX;mconfci999;p0p100;2006;249335040;999;i
SX;mconfci999;p0p100;2007;257330192;999;i
SX;mconfci999;p0p100;2008;264609280;999;i
SX;mconfci999;p0p100;2009;271491040;999;i
SX;mconfci999;p0p100;2010;278655744;999;i
SX;mconfci999;p0p100;2011;285835136;999;i
SX;mconfci999;p0p100;2012;292177248;999;i
SX;mconfci999;p0p100;2013;297123808;999;i
SX;mconfci999;p0p100;2014;299955264;999;i
SX;mconfci999;p0p100;2015;299341312;999;i
SX;mconfci999;p0p100;2016;293594144;999;i
SX;mconfci999;p0p100;2017;281061888;999;i
SX;mconfci999;p0p100;2018;261528176;999;i
SX;mconfci999;p0p100;2019;235172960;999;i
