country;variable;percentile;year;value;age;pop
SY;egfcari999;p0p100;1990;4.23395622748512;999;i
SY;egfcari999;p0p100;1991;4.23242229236847;999;i
SY;egfcari999;p0p100;1992;3.46895131111945;999;i
SY;egfcari999;p0p100;1993;3.62406153925973;999;i
SY;egfcari999;p0p100;1994;3.66782948110809;999;i
SY;egfcari999;p0p100;1995;2.9999647486383;999;i
SY;egfcari999;p0p100;1996;2.69722468667026;999;i
SY;egfcari999;p0p100;1997;2.013498834739;999;i
SY;egfcari999;p0p100;1998;2.40118888018763;999;i
SY;egfcari999;p0p100;1999;2.50168351284775;999;i
SY;egfcari999;p0p100;2000;2.75822791033146;999;i
SY;egfcari999;p0p100;2001;2.74458490597504;999;i
SY;egfcari999;p0p100;2002;2.31830621216645;999;i
SY;egfcari999;p0p100;2003;2.96213352191273;999;i
SY;egfcari999;p0p100;2004;3.00896849295046;999;i
SY;egfcari999;p0p100;2005;3.00400812817395;999;i
SY;egfcari999;p0p100;2006;2.6213438039013;999;i
SY;egfcari999;p0p100;2007;3.0935430922255;999;i
SY;egfcari999;p0p100;2008;3.14655439918505;999;i
SY;egfcari999;p0p100;2009;3.1097093582788;999;i
SY;egfcari999;p0p100;2010;3.171454698614;999;i
SY;egfcari999;p0p100;2011;3.22433997960568;999;i
SY;egfcari999;p0p100;2012;2.23525846096219;999;i
SY;egfcari999;p0p100;2013;1.48693517327505;999;i
SY;egfcari999;p0p100;2014;1.44046090600058;999;i
SY;egfcari999;p0p100;2015;2.04728113982097;999;i
SY;egfcari999;p0p100;2016;1.98852914243097;999;i
SY;egfcari999;p0p100;2017;2.06987806189405;999;i
SY;egfcari999;p0p100;2018;1.98400975801635;999;i
SY;egfcari999;p0p100;2019;1.96465032185617;999;i
SY;egfcari999;p0p100;2020;1.91553406380976;999;i
SY;egfghgi999;p0p100;1980;4.2602109375;999;i
SY;egfghgi999;p0p100;1981;5.1655712890625;999;i
SY;egfghgi999;p0p100;1982;5.10541015625;999;i
SY;egfghgi999;p0p100;1983;5.738521484375;999;i
SY;egfghgi999;p0p100;1984;6.6391982421875;999;i
SY;egfghgi999;p0p100;1985;5.8933916015625;999;i
SY;egfghgi999;p0p100;1986;4.42061516160822;999;i
SY;egfghgi999;p0p100;1987;6.25147795642604;999;i
SY;egfghgi999;p0p100;1988;5.99303416951013;999;i
