country;variable;percentile;year;value;age;pop
SZ;egfcari999;p0p100;1990;0.307995583214537;999;i
SZ;egfcari999;p0p100;1991;0.298800644718118;999;i
SZ;egfcari999;p0p100;1992;0.294211381970742;999;i
SZ;egfcari999;p0p100;1993;0.314742205801304;999;i
SZ;egfcari999;p0p100;1994;0.325659454461225;999;i
SZ;egfcari999;p0p100;1995;0.317278766032115;999;i
SZ;egfcari999;p0p100;1996;0.328422316929577;999;i
SZ;egfcari999;p0p100;1997;0.358886899978538;999;i
SZ;egfcari999;p0p100;1998;0.32948471206611;999;i
SZ;egfcari999;p0p100;1999;0.33603334244246;999;i
SZ;egfcari999;p0p100;2000;0.320790205665421;999;i
SZ;egfcari999;p0p100;2001;0.344643064738004;999;i
SZ;egfcari999;p0p100;2002;0.363652772037615;999;i
SZ;egfcari999;p0p100;2003;0.353445384920579;999;i
SZ;egfcari999;p0p100;2004;0.359012404844528;999;i
SZ;egfcari999;p0p100;2005;0.368199446446278;999;i
SZ;egfcari999;p0p100;2006;0.360532569225125;999;i
SZ;egfcari999;p0p100;2007;0.359448746830779;999;i
SZ;egfcari999;p0p100;2008;0.361940212877338;999;i
SZ;egfcari999;p0p100;2009;0.368002930898093;999;i
SZ;egfcari999;p0p100;2010;0.366573035779591;999;i
SZ;egfcari999;p0p100;2011;0.371823326112682;999;i
SZ;egfcari999;p0p100;2012;0.336151608938657;999;i
SZ;egfcari999;p0p100;2013;0.332204836985152;999;i
SZ;egfcari999;p0p100;2014;0.324332125355671;999;i
SZ;egfcari999;p0p100;2015;0.315206670553116;999;i
SZ;egfcari999;p0p100;2016;0.320042086508798;999;i
SZ;egfcari999;p0p100;2017;0.324877502464479;999;i
SZ;egfcari999;p0p100;2018;0.329712918420161;999;i
SZ;egfcari999;p0p100;2019;0.334548334375843;999;i
SZ;egfcari999;p0p100;2020;0.326184626016446;999;i
SZ;egfghgi999;p0p100;1980;0.413862718558785;999;i
SZ;egfghgi999;p0p100;1981;0.432439725464389;999;i
SZ;egfghgi999;p0p100;1982;0.432743548883353;999;i
SZ;egfghgi999;p0p100;1983;0.433743292168562;999;i
SZ;egfghgi999;p0p100;1984;0.454936428745175;999;i
SZ;egfghgi999;p0p100;1985;0.460154619944731;999;i
SZ;egfghgi999;p0p100;1986;0.443929209090321;999;i
SZ;egfghgi999;p0p100;1987;0.435532197883039;999;i
SZ;egfghgi999;p0p100;1988;0.460092900808282;999;i
SZ;egfghgi999;p0p100;1989;0.482779961674973;999;i
SZ;egfghgi999;p0p100;1990;0.503067313953058;999;i
SZ;egfghgi999;p0p100;1991;0.496539785896246;999;i
SZ;egfghgi999;p0p100;1992;0.497846946642756;999;i
SZ;egfghgi999;p0p100;1993;0.541345737850173;999;i
SZ;egfghgi999;p0p100;1994;0.545257764399147;999;i
SZ;egfghgi999;p0p100;1995;0.527878496392372;999;i
SZ;egfghgi999;p0p100;1996;0.549096464759318;999;i
SZ;egfghgi999;p0p100;1997;0.579208031391237;999;i
SZ;egfghgi999;p0p100;1998;0.528632151971469;999;i
SZ;egfghgi999;p0p100;1999;0.539447522197745;999;i
SZ;egfghgi999;p0p100;2000;0.51149032010903;999;i
SZ;egfghgi999;p0p100;2001;0.55290246975072;999;i
SZ;egfghgi999;p0p100;2002;0.586477359832108;999;i
SZ;egfghgi999;p0p100;2003;0.566700331830031;999;i
SZ;egfghgi999;p0p100;2004;0.576547676445094;999;i
SZ;egfghgi999;p0p100;2005;0.591928490413027;999;i
SZ;egfghgi999;p0p100;2006;0.579274796334072;999;i
SZ;egfghgi999;p0p100;2007;0.57729498974178;999;i
SZ;egfghgi999;p0p100;2008;0.580663754550906;999;i
SZ;egfghgi999;p0p100;2009;0.588242506096062;999;i
SZ;egfghgi999;p0p100;2010;0.585375091462065;999;i
SZ;egfghgi999;p0p100;2011;0.595094544567696;999;i
SZ;egfghgi999;p0p100;2012;0.536511512248354;999;i
SZ;egfghgi999;p0p100;2013;0.530918668742482;999;i
SZ;egfghgi999;p0p100;2014;0.514946525880316;999;i
SZ;egfghgi999;p0p100;2015;0.499065546833703;999;i
SZ;egfghgi999;p0p100;2016;0.506721442896613;999;i
SZ;egfghgi999;p0p100;2017;0.514377338959524;999;i
SZ;egfghgi999;p0p100;2018;0.522033235022434;999;i
SZ;egfghgi999;p0p100;2019;0.529689131085344;999;i
SZ;egfghgi999;p0p100;2020;0.516446902808211;999;i
SZ;egfghoi999;p0p100;1990;0.195071730738521;999;i
SZ;egfghoi999;p0p100;1991;0.197739141178128;999;i
SZ;egfghoi999;p0p100;1992;0.203635564672013;999;i
SZ;egfghoi999;p0p100;1993;0.22660353204887;999;i
SZ;egfghoi999;p0p100;1994;0.219598309937922;999;i
SZ;egfghoi999;p0p100;1995;0.210599730360257;999;i
SZ;egfghoi999;p0p100;1996;0.220674147829741;999;i
SZ;egfghoi999;p0p100;1997;0.220321131412698;999;i
SZ;egfghoi999;p0p100;1998;0.199147439905359;999;i
SZ;egfghoi999;p0p100;1999;0.203414179755284;999;i
SZ;egfghoi999;p0p100;2000;0.190700114443609;999;i
