country;variable;percentile;year;value;age;pop
TC;apinrxi999;p0p100;2014;275.6;999;i
TC;apinrxi999;p0p100;2015;278.1;999;i
TC;apinrxi999;p0p100;2016;220.1;999;i
TC;apinrxi999;p0p100;2017;378.4;999;i
TC;apinrxi999;p0p100;2018;600.9;999;i
TC;aptfopi999;p0p100;2014;224;999;i
TC;aptfopi999;p0p100;2015;217.6;999;i
TC;aptfopi999;p0p100;2016;122.7;999;i
TC;aptfopi999;p0p100;2017;24.9;999;i
TC;aptfopi999;p0p100;2018;16.5;999;i
TC;mfdipxi999;p0p100;2014;0;999;i
TC;mfdipxi999;p0p100;2015;0;999;i
TC;mfdipxi999;p0p100;2016;0;999;i
TC;mfdipxi999;p0p100;2017;33601548;999;i
TC;mfdipxi999;p0p100;2018;61449496;999;i
TC;mfdirxi999;p0p100;2014;0;999;i
TC;mfdirxi999;p0p100;2015;0;999;i
TC;mfdirxi999;p0p100;2016;0;999;i
TC;mfdirxi999;p0p100;2017;0;999;i
TC;mfdirxi999;p0p100;2018;0;999;i
TC;mfdinxi999;p0p100;2014;0;999;i
TC;mfdinxi999;p0p100;2015;0;999;i
TC;mfdinxi999;p0p100;2016;0;999;i
TC;mfdinxi999;p0p100;2017;-33601548;999;i
TC;mfdinxi999;p0p100;2018;-61449496;999;i
TC;mpinrxi999;p0p100;2014;9749095;999;i
TC;mpinrxi999;p0p100;2015;10007638;999;i
TC;mpinrxi999;p0p100;2016;8047470;999;i
TC;mpinrxi999;p0p100;2017;14042521;999;i
TC;mpinrxi999;p0p100;2018;22631804;999;i
TC;mptfnxi999;p0p100;2014;-21991564;999;i
TC;mptfnxi999;p0p100;2015;1138011;999;i
TC;mptfnxi999;p0p100;2016;2407719;999;i
TC;mptfnxi999;p0p100;2017;11993863;999;i
TC;mptfnxi999;p0p100;2018;20821028;999;i
TC;mptfoni999;p0p100;2014;1824715;999;i
TC;mptfoni999;p0p100;2015;2179640;999;i
TC;mptfoni999;p0p100;2016;3562313;999;i
TC;mptfoni999;p0p100;2017;13119704;999;i
TC;mptfoni999;p0p100;2018;22010040;999;i
TC;aconfci999;p0p100;1970;492.2;999;i
TC;aconfci999;p0p100;1971;541.3;999;i
TC;aconfci999;p0p100;1972;589.1;999;i
TC;aconfci999;p0p100;1973;637.1;999;i
TC;aconfci999;p0p100;1974;689.8;999;i
TC;aconfci999;p0p100;1975;748.2;999;i
TC;aconfci999;p0p100;1976;817.1;999;i
TC;aconfci999;p0p100;1977;893.6;999;i
TC;aconfci999;p0p100;1978;977.3;999;i
TC;aconfci999;p0p100;1979;1062.5;999;i
