country;variable;percentile;year;value;age;pop
TD;egfcari999;p0p100;1990;0.145039780895142;999;i
TD;egfcari999;p0p100;1991;0.106309219277098;999;i
TD;egfcari999;p0p100;1992;0.106622777522205;999;i
TD;egfcari999;p0p100;1993;0.100771879183692;999;i
TD;egfcari999;p0p100;1994;0.0913418108604866;999;i
TD;egfcari999;p0p100;1995;0.0936558967921664;999;i
TD;egfcari999;p0p100;1996;0.0965688717943187;999;i
TD;egfcari999;p0p100;1997;0.0859366027364398;999;i
TD;egfcari999;p0p100;1998;0.0776508308605146;999;i
TD;egfcari999;p0p100;1999;0.0774832336895509;999;i
TD;egfcari999;p0p100;2000;0.0640991437295131;999;i
TD;egfcari999;p0p100;2001;0.0798016433546619;999;i
TD;egfcari999;p0p100;2002;0.0913376597407182;999;i
TD;egfcari999;p0p100;2003;0.171414740861943;999;i
TD;egfcari999;p0p100;2004;0.176445123067797;999;i
TD;egfcari999;p0p100;2005;0.184480189835115;999;i
TD;egfcari999;p0p100;2006;0.193547425906066;999;i
TD;egfcari999;p0p100;2007;0.219414772037817;999;i
TD;egfcari999;p0p100;2008;0.217015108734581;999;i
TD;egfcari999;p0p100;2009;0.22997079115259;999;i
TD;egfcari999;p0p100;2010;0.227617350475872;999;i
TD;egfcari999;p0p100;2011;0.241197251245635;999;i
TD;egfcari999;p0p100;2012;0.241456635552139;999;i
TD;egfcari999;p0p100;2013;0.299199736746405;999;i
TD;egfcari999;p0p100;2014;0.299048967056189;999;i
TD;egfcari999;p0p100;2015;0.302609716583269;999;i
TD;egfcari999;p0p100;2016;0.31381748386413;999;i
TD;egfcari999;p0p100;2017;0.288600007482191;999;i
TD;egfcari999;p0p100;2018;0.28299612384176;999;i
TD;egfcari999;p0p100;2019;0.277077959709305;999;i
TD;egfcari999;p0p100;2020;0.270151010716573;999;i
TD;egfghgi999;p0p100;1980;5.43422705078125;999;i
TD;egfghgi999;p0p100;1981;4.64839111328125;999;i
TD;egfghgi999;p0p100;1982;5.32579833984375;999;i
TD;egfghgi999;p0p100;1983;4.97910888671875;999;i
TD;egfghgi999;p0p100;1984;4.4880537109375;999;i
TD;egfghgi999;p0p100;1985;4.2367060546875;999;i
TD;egfghgi999;p0p100;1986;4.23201086362072;999;i
TD;egfghgi999;p0p100;1987;4.45229201793946;999;i
TD;egfghgi999;p0p100;1988;4.18778818019561;999;i
TD;egfghgi999;p0p100;1989;4.52923602695751;999;i
TD;egfghgi999;p0p100;1990;5.10455207368346;999;i
TD;egfghgi999;p0p100;1991;5.30154269210112;999;i
TD;egfghgi999;p0p100;1992;5.09480766404075;999;i
TD;egfghgi999;p0p100;1993;5.04291477297959;999;i
TD;egfghgi999;p0p100;1994;4.86584551289689;999;i
TD;egfghgi999;p0p100;1995;4.92579152331045;999;i
TD;egfghgi999;p0p100;1996;4.91219741083055;999;i
TD;egfghgi999;p0p100;1997;4.64331826247723;999;i
TD;egfghgi999;p0p100;1998;3.92754894407627;999;i
TD;egfghgi999;p0p100;1999;4.02538890489344;999;i
TD;egfghgi999;p0p100;2000;3.52253586063505;999;i
TD;egfghgi999;p0p100;2001;3.85375837438483;999;i
TD;egfghgi999;p0p100;2002;4.44985502622967;999;i
TD;egfghgi999;p0p100;2003;4.90459769012092;999;i
TD;egfghgi999;p0p100;2004;4.90951832657049;999;i
TD;egfghgi999;p0p100;2005;5.07677636879624;999;i
TD;egfghgi999;p0p100;2006;5.11274159785893;999;i
TD;egfghgi999;p0p100;2007;5.46045478404904;999;i
TD;egfghgi999;p0p100;2008;5.60626780527668;999;i
TD;egfghgi999;p0p100;2009;5.9007630828718;999;i
TD;egfghgi999;p0p100;2010;6.06649457705054;999;i
TD;egfghgi999;p0p100;2011;5.94478892596584;999;i
TD;egfghgi999;p0p100;2012;6.09893037163435;999;i
TD;egfghgi999;p0p100;2013;6.3872131873159;999;i
TD;egfghgi999;p0p100;2014;6.11339581699273;999;i
TD;egfghgi999;p0p100;2015;14.79979920273;999;i
TD;egfghgi999;p0p100;2016;15.7910630122586;999;i
TD;egfghgi999;p0p100;2017;16.2982212403896;999;i
TD;egfghgi999;p0p100;2018;16.9436953489198;999;i
TD;egfghgi999;p0p100;2019;16.5893598593592;999;i
TD;egfghgi999;p0p100;2020;16.1746258628753;999;i
TD;egfghoi999;p0p100;1990;4.95951229278832;999;i
TD;egfghoi999;p0p100;1991;5.19523347282402;999;i
TD;egfghoi999;p0p100;1992;4.98818488651855;999;i
TD;egfghoi999;p0p100;1993;4.94214289379589;999;i
TD;egfghoi999;p0p100;1994;4.77450370203641;999;i
TD;egfghoi999;p0p100;1995;4.83213562651829;999;i
TD;egfghoi999;p0p100;1996;4.81562853903623;999;i
TD;egfghoi999;p0p100;1997;4.55738165974079;999;i
TD;egfghoi999;p0p100;1998;3.84989811321576;999;i
TD;egfghoi999;p0p100;1999;3.94790567120389;999;i
TD;egfghoi999;p0p100;2000;3.45843671690554;999;i
TD;egfghoi999;p0p100;2001;3.77395673103017;999;i
TD;egfghoi999;p0p100;2002;4.35851736648895;999;i
TD;egfghoi999;p0p100;2003;4.73318294925897;999;i
TD;egfghoi999;p0p100;2004;4.73307320350269;999;i
TD;egfghoi999;p0p100;2005;4.89229617896113;999;i
TD;egfghoi999;p0p100;2006;4.91919417195286;999;i
TD;egfghoi999;p0p100;2007;5.24104001201122;999;i
TD;egfghoi999;p0p100;2008;5.3892526965421;999;i
TD;egfghoi999;p0p100;2009;5.67079229171921;999;i
TD;egfghoi999;p0p100;2010;5.83887722657466;999;i
TD;egfghoi999;p0p100;2011;5.7035916747202;999;i
TD;egfghoi999;p0p100;2012;5.85747373608221;999;i
TD;egfghoi999;p0p100;2013;6.08801345056949;999;i
TD;egfghoi999;p0p100;2014;5.81434684993654;999;i
TD;egfghoi999;p0p100;2015;14.4971894861467;999;i
TD;egfghoi999;p0p100;2016;15.4772455283945;999;i
TD;egfghoi999;p0p100;2017;16.0096212329074;999;i
TD;egfghoi999;p0p100;2018;16.6606992250781;999;i
TD;egfghoi999;p0p100;2019;16.3122818996499;999;i
TD;egfghoi999;p0p100;2020;15.9044748521587;999;i
TD;ehfghgi999;p0p100;1980;8.7985673828125;999;i
TD;ehfghgi999;p0p100;1981;7.63034375;999;i
TD;ehfghgi999;p0p100;1982;8.5524892578125;999;i
TD;ehfghgi999;p0p100;1983;8.14555908203125;999;i
TD;ehfghgi999;p0p100;1984;7.5149482421875;999;i
TD;ehfghgi999;p0p100;1985;6.8494814453125;999;i
TD;ehfghgi999;p0p100;1986;7.27254772893366;999;i
TD;ehfghgi999;p0p100;1987;7.75140251420345;999;i
TD;ehfghgi999;p0p100;1988;7.30272150496597;999;i
TD;ehfghgi999;p0p100;1989;8.05456124429285;999;i
TD;ehfghgi999;p0p100;1990;8.34928553116653;999;i
TD;ehfghgi999;p0p100;1991;8.25426546842442;999;i
TD;ehfghgi999;p0p100;1992;8.72558898166064;999;i
TD;ehfghgi999;p0p100;1993;8.96406103487186;999;i
TD;ehfghgi999;p0p100;1994;8.97844786907802;999;i
TD;ehfghgi999;p0p100;1995;9.35867531584932;999;i
TD;ehfghgi999;p0p100;1996;9.8568894285967;999;i
TD;ehfghgi999;p0p100;1997;10.4208830393483;999;i
TD;ehfghgi999;p0p100;1998;11.2645340159989;999;i
TD;ehfghgi999;p0p100;1999;12.0823950428309;999;i
TD;ehfghgi999;p0p100;2000;13.617832564733;999;i
TD;ehfghgi999;p0p100;2001;11.9562732691837;999;i
TD;ehfghgi999;p0p100;2002;13.2353261750258;999;i
TD;ehfghgi999;p0p100;2003;12.8396238338596;999;i
TD;ehfghgi999;p0p100;2004;12.2156750669825;999;i
TD;ehfghgi999;p0p100;2005;12.2092204335545;999;i
TD;ehfghgi999;p0p100;2006;11.9948646138604;999;i
TD;ehfghgi999;p0p100;2007;12.866944750202;999;i
TD;ehfghgi999;p0p100;2008;12.7134565878898;999;i
TD;ehfghgi999;p0p100;2009;11.8409829617697;999;i
TD;ehfghgi999;p0p100;2010;12.5297880888;999;i
TD;ehfghgi999;p0p100;2011;13.1157134868175;999;i
TD;ehfghgi999;p0p100;2012;12.9927718686434;999;i
TD;ehfghgi999;p0p100;2013;12.64966641909;999;i
TD;ehfghgi999;p0p100;2014;12.2229813912454;999;i
TD;ehfghgi999;p0p100;2015;30.4988337655651;999;i
TD;ehfghgi999;p0p100;2016;32.5415905442556;999;i
TD;ehfghgi999;p0p100;2017;33.5867219193996;999;i
TD;ehfghgi999;p0p100;2018;34.9168891241283;999;i
TD;ehfghgi999;p0p100;2019;34.1866887311828;999;i
TD;ehfghgi999;p0p100;2020;33.3320215129032;999;i
TD;ehfghoi999;p0p100;1990;8.12877427654352;999;i
TD;ehfghoi999;p0p100;1991;8.09908491587631;999;i
TD;ehfghoi999;p0p100;1992;8.55694172146504;999;i
TD;ehfghoi999;p0p100;1993;8.79888463414506;999;i
TD;ehfghoi999;p0p100;1994;8.82106244735871;999;i
TD;ehfghoi999;p0p100;1995;9.19265605039449;999;i
TD;ehfghoi999;p0p100;1996;9.67610583557403;999;i
TD;ehfghoi999;p0p100;1997;10.2402480978812;999;i
TD;ehfghoi999;p0p100;1998;11.0610886967347;999;i
TD;ehfghoi999;p0p100;1999;11.8706416372836;999;i
TD;ehfghoi999;p0p100;2000;13.3961341199894;999;i
TD;ehfghoi999;p0p100;2001;11.730835386544;999;i
TD;ehfghoi999;p0p100;2002;12.9873024717085;999;i
TD;ehfghoi999;p0p100;2003;12.4067060509908;999;i
TD;ehfghoi999;p0p100;2004;11.7881534852044;999;i
TD;ehfghoi999;p0p100;2005;11.7753871375592;999;i
TD;ehfghoi999;p0p100;2006;11.5494035910876;999;i
TD;ehfghoi999;p0p100;2007;12.3580457611456;999;i
TD;ehfghoi999;p0p100;2008;12.227743209368;999;i
TD;ehfghoi999;p0p100;2009;11.3819681011133;999;i
TD;ehfghoi999;p0p100;2010;12.0617645698593;999;i
TD;ehfghoi999;p0p100;2011;12.5879968270814;999;i
TD;ehfghoi999;p0p100;2012;12.4801667506245;999;i
TD;ehfghoi999;p0p100;2013;12.0574964229749;999;i
TD;ehfghoi999;p0p100;2014;11.621887691676;999;i
TD;ehfghoi999;p0p100;2015;29.8691521414537;999;i
TD;ehfghoi999;p0p100;2016;31.8885873785104;999;i
TD;ehfghoi999;p0p100;2017;32.9861922223303;999;i
TD;ehfghoi999;p0p100;2018;34.3280201978759;999;i
TD;ehfghoi999;p0p100;2019;33.6101345423577;999;i
TD;ehfghoi999;p0p100;2020;32.7698811787988;999;i
TD;eifcari999;p0p100;1990;0.0979505646036402;999;i
TD;eifcari999;p0p100;1991;0.0748687765267629;999;i
TD;eifcari999;p0p100;1992;0.0794186089572774;999;i
TD;eifcari999;p0p100;1993;0.0715875802070309;999;i
TD;eifcari999;p0p100;1994;0.0676495614614776;999;i
TD;eifcari999;p0p100;1995;0.0647429568496733;999;i
TD;eifcari999;p0p100;1996;0.0705950044816276;999;i
TD;eifcari999;p0p100;1997;0.0621194351524781;999;i
TD;eifcari999;p0p100;1998;0.061911856332173;999;i
TD;eifcari999;p0p100;1999;0.0608832360132303;999;i
TD;eifcari999;p0p100;2000;0.0614375589837764;999;i
TD;eifcari999;p0p100;2001;0.0868765765139427;999;i
TD;eifcari999;p0p100;2002;0.101359366019817;999;i
TD;eifcari999;p0p100;2003;0.167199136522612;999;i
TD;eifcari999;p0p100;2004;0.176180930845279;999;i
TD;eifcari999;p0p100;2005;0.185732473540363;999;i
TD;eifcari999;p0p100;2006;0.180980646291828;999;i
TD;eifcari999;p0p100;2007;0.19380046929179;999;i
TD;eifcari999;p0p100;2008;0.190169834549066;999;i
TD;eifcari999;p0p100;2009;0.184613976751856;999;i
TD;eifcari999;p0p100;2010;0.213300158898312;999;i
TD;eifcari999;p0p100;2011;0.233724314766572;999;i
TD;eifcari999;p0p100;2012;0.238867213825525;999;i
TD;eifcari999;p0p100;2013;0.26911016152656;999;i
TD;eifcari999;p0p100;2014;0.290529507366063;999;i
TD;eifcari999;p0p100;2015;0.303964225896358;999;i
TD;eifcari999;p0p100;2016;0.315222160188816;999;i
TD;eifcari999;p0p100;2017;0.289891808030786;999;i
TD;eifcari999;p0p100;2018;0.284262840884557;999;i
TD;eifcari999;p0p100;2019;0.278318186497512;999;i
TD;eifcari999;p0p100;2020;0.271360231835074;999;i
TD;eifghgi999;p0p100;1980;1.46976940917969;999;i
TD;eifghgi999;p0p100;1981;1.29186254882813;999;i
TD;eifghgi999;p0p100;1982;1.48795336914063;999;i
TD;eifghgi999;p0p100;1983;1.41129431152344;999;i
TD;eifghgi999;p0p100;1984;1.30541638183594;999;i
TD;eifghgi999;p0p100;1985;1.284955078125;999;i
TD;eifghgi999;p0p100;1986;1.2720527205818;999;i
TD;eifghgi999;p0p100;1987;1.32629829199621;999;i
TD;eifghgi999;p0p100;1988;1.34690667741378;999;i
TD;eifghgi999;p0p100;1989;1.45259890761439;999;i
TD;eifghgi999;p0p100;1990;1.54807323630237;999;i
TD;eifghgi999;p0p100;1991;1.57823310121326;999;i
TD;eifghgi999;p0p100;1992;1.58676645035208;999;i
TD;eifghgi999;p0p100;1993;1.52987608029793;999;i
TD;eifghgi999;p0p100;1994;1.69605742402588;999;i
TD;eifghgi999;p0p100;1995;1.6018724636108;999;i
TD;eifghgi999;p0p100;1996;1.73403549365965;999;i
TD;eifghgi999;p0p100;1997;1.69361564822231;999;i
TD;eifghgi999;p0p100;1998;1.62154925394209;999;i
TD;eifghgi999;p0p100;1999;1.65665539202933;999;i
TD;eifghgi999;p0p100;2000;1.8950960210552;999;i
TD;eifghgi999;p0p100;2001;2.30905870329055;999;i
TD;eifghgi999;p0p100;2002;2.67578033942507;999;i
TD;eifghgi999;p0p100;2003;3.3609753188183;999;i
TD;eifghgi999;p0p100;2004;3.61502783574842;999;i
TD;eifghgi999;p0p100;2005;3.85054795880868;999;i
TD;eifghgi999;p0p100;2006;3.58666928731672;999;i
TD;eifghgi999;p0p100;2007;3.66161151535696;999;i
TD;eifghgi999;p0p100;2008;3.65369713495538;999;i
