country;variable;percentile;year;value;age;pop
TK;npopuli999;p0p100;1950;1566;999;i
TK;npopuli999;p0p100;1951;1517;999;i
TK;npopuli999;p0p100;1952;1504;999;i
TK;npopuli999;p0p100;1953;1521;999;i
TK;npopuli999;p0p100;1954;1559;999;i
TK;npopuli999;p0p100;1955;1607;999;i
TK;npopuli999;p0p100;1956;1671;999;i
TK;npopuli999;p0p100;1957;1722;999;i
TK;npopuli999;p0p100;1958;1782;999;i
TK;npopuli999;p0p100;1959;1823;999;i
TK;npopuli999;p0p100;1960;1873;999;i
TK;npopuli999;p0p100;1961;1902;999;i
TK;npopuli999;p0p100;1962;1935;999;i
TK;npopuli999;p0p100;1963;1953;999;i
TK;npopuli999;p0p100;1964;1947;999;i
TK;npopuli999;p0p100;1965;1922;999;i
TK;npopuli999;p0p100;1966;1876;999;i
TK;npopuli999;p0p100;1967;1818;999;i
TK;npopuli999;p0p100;1968;1734;999;i
TK;npopuli999;p0p100;1969;1675;999;i
TK;npopuli999;p0p100;1970;1621;999;i
TK;npopuli999;p0p100;1971;1588;999;i
TK;npopuli999;p0p100;1972;1573;999;i
TK;npopuli999;p0p100;1973;1573;999;i
TK;npopuli999;p0p100;1974;1572;999;i
TK;npopuli999;p0p100;1975;1572;999;i
TK;npopuli999;p0p100;1976;1567;999;i
TK;npopuli999;p0p100;1977;1556;999;i
TK;npopuli999;p0p100;1978;1542;999;i
TK;npopuli999;p0p100;1979;1543;999;i
TK;npopuli999;p0p100;1980;1553;999;i
TK;npopuli999;p0p100;1981;1576;999;i
TK;npopuli999;p0p100;1982;1620;999;i
TK;npopuli999;p0p100;1983;1657;999;i
TK;npopuli999;p0p100;1984;1697;999;i
TK;npopuli999;p0p100;1985;1709;999;i
TK;npopuli999;p0p100;1986;1703;999;i
TK;npopuli999;p0p100;1987;1697;999;i
TK;npopuli999;p0p100;1988;1665;999;i
TK;npopuli999;p0p100;1989;1634;999;i
TK;npopuli999;p0p100;1990;1608;999;i
TK;npopuli999;p0p100;1991;1578;999;i
TK;npopuli999;p0p100;1992;1558;999;i
TK;npopuli999;p0p100;1993;1535;999;i
TK;npopuli999;p0p100;1994;1529;999;i
TK;npopuli999;p0p100;1995;1517;999;i
TK;npopuli999;p0p100;1996;1529;999;i
TK;npopuli999;p0p100;1997;1547;999;i
TK;npopuli999;p0p100;1998;1575;999;i
TK;npopuli999;p0p100;1999;1574;999;i
TK;npopuli999;p0p100;2000;1554;999;i
TK;npopuli999;p0p100;2001;1503;999;i
TK;npopuli999;p0p100;2002;1435;999;i
TK;npopuli999;p0p100;2003;1351;999;i
TK;npopuli999;p0p100;2004;1273;999;i
TK;npopuli999;p0p100;2005;1208;999;i
TK;npopuli999;p0p100;2006;1167;999;i
TK;npopuli999;p0p100;2007;1141;999;i
TK;npopuli999;p0p100;2008;1126;999;i
TK;npopuli999;p0p100;2009;1126;999;i
TK;npopuli999;p0p100;2010;1140;999;i
TK;npopuli999;p0p100;2011;1151;999;i
TK;npopuli999;p0p100;2012;1167;999;i
TK;npopuli999;p0p100;2013;1187;999;i
TK;npopuli999;p0p100;2014;1219;999;i
TK;npopuli999;p0p100;2015;1252;999;i
TK;npopuli999;p0p100;2016;1282;999;i
TK;npopuli999;p0p100;2017;1300;999;i
TK;npopuli999;p0p100;2018;1319;999;i
TK;npopuli999;p0p100;2019;1340;999;i
TK;npopuli999;p0p100;2020;1357;999;i
TK;npopuli999;p0p100;2021;1373;999;i
