country;variable;percentile;year;value;age;pop
TM;egfcari999;p0p100;1990;1.84511535141014;999;i
TM;egfcari999;p0p100;1991;1.58827922762239;999;i
TM;egfcari999;p0p100;1992;1.33427546906339;999;i
TM;egfcari999;p0p100;1993;0.914062281644008;999;i
TM;egfcari999;p0p100;1994;1.32900342828334;999;i
TM;egfcari999;p0p100;1995;1.34628055534193;999;i
TM;egfcari999;p0p100;1996;1.10230696430208;999;i
TM;egfcari999;p0p100;1997;1.10218101456923;999;i
TM;egfcari999;p0p100;1998;1.17756566184664;999;i
TM;egfcari999;p0p100;1999;1.4754370377517;999;i
TM;egfcari999;p0p100;2000;1.90348823889862;999;i
TM;egfcari999;p0p100;2001;1.79895301702961;999;i
TM;egfcari999;p0p100;2002;1.65550451959735;999;i
TM;egfcari999;p0p100;2003;1.96933949390888;999;i
TM;egfcari999;p0p100;2004;2.07234323099891;999;i
TM;egfcari999;p0p100;2005;2.10998799597932;999;i
TM;egfcari999;p0p100;2006;2.03806067085028;999;i
TM;egfcari999;p0p100;2007;2.49254227439043;999;i
TM;egfcari999;p0p100;2008;2.01086276724262;999;i
TM;egfcari999;p0p100;2009;2.21403573579172;999;i
TM;egfcari999;p0p100;2010;2.21958863763144;999;i
TM;egfcari999;p0p100;2011;2.21375903197861;999;i
TM;egfcari999;p0p100;2012;2.29652103241017;999;i
TM;egfcari999;p0p100;2013;3.27297443236828;999;i
TM;egfcari999;p0p100;2014;2.96085932809721;999;i
TM;egfcari999;p0p100;2015;3.08502004197773;999;i
TM;egfcari999;p0p100;2016;3.06310160473455;999;i
TM;egfcari999;p0p100;2017;3.01926473024819;999;i
TM;egfcari999;p0p100;2018;3.32064324234193;999;i
TM;egfcari999;p0p100;2019;3.40742542643363;999;i
TM;egfcari999;p0p100;2020;3.16890564658328;999;i
TM;egfghgi999;p0p100;1980;2.81404541015625;999;i
TM;egfghgi999;p0p100;1981;2.73524145507813;999;i
TM;egfghgi999;p0p100;1982;3.6987333984375;999;i
TM;egfghgi999;p0p100;1983;4.00987084960938;999;i
TM;egfghgi999;p0p100;1984;4.438408203125;999;i
TM;egfghgi999;p0p100;1985;4.6302392578125;999;i
TM;egfghgi999;p0p100;1986;4.96757902307833;999;i
TM;egfghgi999;p0p100;1987;5.01508369352279;999;i
TM;egfghgi999;p0p100;1988;4.97875116487033;999;i
TM;egfghgi999;p0p100;1989;4.76439219920131;999;i
TM;egfghgi999;p0p100;1990;4.34410647117537;999;i
TM;egfghgi999;p0p100;1991;3.73321835037243;999;i
TM;egfghgi999;p0p100;1992;2.83210634578921;999;i
TM;egfghgi999;p0p100;1993;2.3391340867975;999;i
TM;egfghgi999;p0p100;1994;2.65493892530837;999;i
TM;egfghgi999;p0p100;1995;2.58789142007524;999;i
TM;egfghgi999;p0p100;1996;2.20046193238048;999;i
TM;egfghgi999;p0p100;1997;1.80214288665361;999;i
TM;egfghgi999;p0p100;1998;1.88283167333064;999;i
TM;egfghgi999;p0p100;1999;2.44598992884178;999;i
TM;egfghgi999;p0p100;2000;3.5506882669555;999;i
TM;egfghgi999;p0p100;2001;3.47683866450915;999;i
TM;egfghgi999;p0p100;2002;3.31970831940578;999;i
TM;egfghgi999;p0p100;2003;3.95799398488154;999;i
TM;egfghgi999;p0p100;2004;4.12082099588409;999;i
TM;egfghgi999;p0p100;2005;4.19705121396496;999;i
TM;egfghgi999;p0p100;2006;3.98652634416395;999;i
TM;egfghgi999;p0p100;2007;4.61869817360255;999;i
TM;egfghgi999;p0p100;2008;3.7005354733467;999;i
TM;egfghgi999;p0p100;2009;3.7046988017657;999;i
TM;egfghgi999;p0p100;2010;3.62492393465413;999;i
TM;egfghgi999;p0p100;2011;3.73232822316522;999;i
TM;egfghgi999;p0p100;2012;3.90031237677973;999;i
TM;egfghgi999;p0p100;2013;5.58050591133436;999;i
TM;egfghgi999;p0p100;2014;5.01465291053352;999;i
TM;egfghgi999;p0p100;2015;5.02213893792208;999;i
TM;egfghgi999;p0p100;2016;4.87726954548202;999;i
TM;egfghgi999;p0p100;2017;4.828979748002;999;i
TM;egfghgi999;p0p100;2018;5.11871853288212;999;i
TM;egfghgi999;p0p100;2019;5.25249188389133;999;i
TM;egfghgi999;p0p100;2020;4.88481745201894;999;i
TM;egfghoi999;p0p100;1990;2.49899111976524;999;i
TM;egfghoi999;p0p100;1991;2.14493912275004;999;i
TM;egfghoi999;p0p100;1992;1.49783087672581;999;i
TM;egfghoi999;p0p100;1993;1.42507180515349;999;i
TM;egfghoi999;p0p100;1994;1.32593549702503;999;i
TM;egfghoi999;p0p100;1995;1.24161086473331;999;i
TM;egfghoi999;p0p100;1996;1.0981549680784;999;i
TM;egfghoi999;p0p100;1997;0.699961872084387;999;i
TM;egfghoi999;p0p100;1998;0.705266011484002;999;i
TM;egfghoi999;p0p100;1999;0.97055289109007;999;i
TM;egfghoi999;p0p100;2000;1.64720002805687;999;i
TM;egfghoi999;p0p100;2001;1.67788564747953;999;i
TM;egfghoi999;p0p100;2002;1.66420379980843;999;i
TM;egfghoi999;p0p100;2003;1.98865449097265;999;i
TM;egfghoi999;p0p100;2004;2.04847776488518;999;i
TM;egfghoi999;p0p100;2005;2.08706321798564;999;i
TM;egfghoi999;p0p100;2006;1.94846567331367;999;i
TM;egfghoi999;p0p100;2007;2.12615589921213;999;i
TM;egfghoi999;p0p100;2008;1.68967270610408;999;i
TM;egfghoi999;p0p100;2009;1.49066306597399;999;i
TM;egfghoi999;p0p100;2010;1.40533529702269;999;i
TM;egfghoi999;p0p100;2011;1.51856919118662;999;i
TM;egfghoi999;p0p100;2012;1.60379134436956;999;i
TM;egfghoi999;p0p100;2013;2.30753147896608;999;i
TM;egfghoi999;p0p100;2014;2.05379358243632;999;i
TM;egfghoi999;p0p100;2015;1.93711889594435;999;i
TM;egfghoi999;p0p100;2016;1.81416794074747;999;i
TM;egfghoi999;p0p100;2017;1.80971501775381;999;i
TM;egfghoi999;p0p100;2018;1.79807529054019;999;i
TM;egfghoi999;p0p100;2019;1.8450664574577;999;i
TM;egfghoi999;p0p100;2020;1.71591180543566;999;i
TM;ehfghgi999;p0p100;1980;28.716853515625;999;i
TM;ehfghgi999;p0p100;1981;29.260748046875;999;i
TM;ehfghgi999;p0p100;1982;30.761607421875;999;i
TM;ehfghgi999;p0p100;1983;32.292236328125;999;i
TM;ehfghgi999;p0p100;1984;33.79915625;999;i
TM;ehfghgi999;p0p100;1985;36.39700390625;999;i
TM;ehfghgi999;p0p100;1986;37.5928016313201;999;i
TM;ehfghgi999;p0p100;1987;40.2355401868196;999;i
TM;ehfghgi999;p0p100;1988;42.2810542901984;999;i
TM;ehfghgi999;p0p100;1989;43.4490518048099;999;i
TM;ehfghgi999;p0p100;1990;44.7266728855819;999;i
TM;ehfghgi999;p0p100;1991;46.1428130227224;999;i
TM;ehfghgi999;p0p100;1992;32.1536087350151;999;i
TM;ehfghgi999;p0p100;1993;32.9475944410508;999;i
TM;ehfghgi999;p0p100;1994;31.6259984005593;999;i
TM;ehfghgi999;p0p100;1995;31.7212530571703;999;i
TM;ehfghgi999;p0p100;1996;30.271649006476;999;i
TM;ehfghgi999;p0p100;1997;23.8092254993476;999;i
TM;ehfghgi999;p0p100;1998;27.1169332241433;999;i
TM;ehfghgi999;p0p100;1999;36.5702325074829;999;i
TM;ehfghgi999;p0p100;2000;40.459508627228;999;i
TM;ehfghgi999;p0p100;2001;45.0364571092902;999;i
TM;ehfghgi999;p0p100;2002;48.984416886167;999;i
TM;ehfghgi999;p0p100;2003;56.3905873249753;999;i
TM;ehfghgi999;p0p100;2004;56.0259847312096;999;i
TM;ehfghgi999;p0p100;2005;58.5807079842298;999;i
TM;ehfghgi999;p0p100;2006;57.3764378573838;999;i
TM;ehfghgi999;p0p100;2007;56.9792287756863;999;i
TM;ehfghgi999;p0p100;2008;59.0075582188749;999;i
TM;ehfghgi999;p0p100;2009;50.7509947983816;999;i
TM;ehfghgi999;p0p100;2010;54.0160079368165;999;i
TM;ehfghgi999;p0p100;2011;59.7479134108531;999;i
TM;ehfghgi999;p0p100;2012;63.0133730287564;999;i
TM;ehfghgi999;p0p100;2013;63.4329002216963;999;i
TM;ehfghgi999;p0p100;2014;62.3927662491441;999;i
TM;ehfghgi999;p0p100;2015;67.0849298336249;999;i
TM;ehfghgi999;p0p100;2016;65.1497876268857;999;i
TM;ehfghgi999;p0p100;2017;64.5047402246393;999;i
TM;ehfghgi999;p0p100;2018;68.3750246381177;999;i
TM;ehfghgi999;p0p100;2019;70.1619476956018;999;i
TM;ehfghgi999;p0p100;2020;65.2506113569097;999;i
TM;ehfghoi999;p0p100;1990;26.6581312292944;999;i
TM;ehfghoi999;p0p100;1991;27.5464417658654;999;i
TM;ehfghoi999;p0p100;1992;17.7889702714587;999;i
TM;ehfghoi999;p0p100;1993;20.9332530033488;999;i
TM;ehfghoi999;p0p100;1994;16.3503880529532;999;i
TM;ehfghoi999;p0p100;1995;15.7051264528193;999;i
TM;ehfghoi999;p0p100;1996;15.5521122650955;999;i
TM;ehfghoi999;p0p100;1997;9.42786691970301;999;i
TM;ehfghoi999;p0p100;1998;10.3328583338416;999;i
TM;ehfghoi999;p0p100;1999;14.8217766528304;999;i
TM;ehfghoi999;p0p100;2000;19.2185941106758;999;i
TM;ehfghoi999;p0p100;2001;22.4783422227116;999;i
TM;ehfghoi999;p0p100;2002;25.485349106115;999;i
TM;ehfghoi999;p0p100;2003;29.6162566433905;999;i
TM;ehfghoi999;p0p100;2004;29.1931682495529;999;i
TM;ehfghoi999;p0p100;2005;30.4793722215441;999;i
TM;ehfghoi999;p0p100;2006;29.416786065177;999;i
TM;ehfghoi999;p0p100;2007;27.2554850835047;999;i
TM;ehfghoi999;p0p100;2008;28.0997088832351;999;i
TM;ehfghoi999;p0p100;2009;21.1792185107226;999;i
TM;ehfghoi999;p0p100;2010;21.7381441456968;999;i
TM;ehfghoi999;p0p100;2011;25.343325729895;999;i
TM;ehfghoi999;p0p100;2012;26.9699460241771;999;i
TM;ehfghoi999;p0p100;2013;27.1933571952623;999;i
TM;ehfghoi999;p0p100;2014;26.6042675135937;999;i
TM;ehfghoi999;p0p100;2015;26.7230168419771;999;i
TM;ehfghoi999;p0p100;2016;25.0746377826031;999;i
TM;ehfghoi999;p0p100;2017;25.003116675087;999;i
TM;ehfghoi999;p0p100;2018;24.9304078122943;999;i
TM;ehfghoi999;p0p100;2019;25.5819427958361;999;i
TM;ehfghoi999;p0p100;2020;23.7912068001276;999;i
TM;eifcari999;p0p100;1990;2.27874178797569;999;i
TM;eifcari999;p0p100;1991;2.38070145944657;999;i
TM;eifcari999;p0p100;1992;2.24562604001412;999;i
TM;eifcari999;p0p100;1993;1.67936174574437;999;i
TM;eifcari999;p0p100;1994;2.80340670631554;999;i
TM;eifcari999;p0p100;1995;2.57571282114399;999;i
TM;eifcari999;p0p100;1996;2.64002071948803;999;i
TM;eifcari999;p0p100;1997;2.42251203329504;999;i
TM;eifcari999;p0p100;1998;2.46368156359575;999;i
TM;eifcari999;p0p100;1999;3.10750162010277;999;i
TM;eifcari999;p0p100;2000;3.41206911876545;999;i
TM;eifcari999;p0p100;2001;3.58155086010108;999;i
TM;eifcari999;p0p100;2002;3.37142774685483;999;i
TM;eifcari999;p0p100;2003;3.45166830226772;999;i
TM;eifcari999;p0p100;2004;3.37612122352705;999;i
TM;eifcari999;p0p100;2005;3.30186834821939;999;i
TM;eifcari999;p0p100;2006;3.21515138546519;999;i
TM;eifcari999;p0p100;2007;3.33778236353603;999;i
TM;eifcari999;p0p100;2008;3.71418924037736;999;i
TM;eifcari999;p0p100;2009;4.68601015264837;999;i
TM;eifcari999;p0p100;2010;4.5246482229102;999;i
TM;eifcari999;p0p100;2011;4.80885368055113;999;i
TM;eifcari999;p0p100;2012;5.25447180139385;999;i
TM;eifcari999;p0p100;2013;6.54193006630455;999;i
TM;eifcari999;p0p100;2014;6.87642910348673;999;i
TM;eifcari999;p0p100;2015;7.53255503583301;999;i
TM;eifcari999;p0p100;2016;7.47903777092479;999;i
TM;eifcari999;p0p100;2017;7.37200324110833;999;i
TM;eifcari999;p0p100;2018;8.10786563359646;999;i
TM;eifcari999;p0p100;2019;8.3197577992569;999;i
TM;eifcari999;p0p100;2020;7.73737475330892;999;i
TM;eifghgi999;p0p100;1980;3.74524780273437;999;i
TM;eifghgi999;p0p100;1981;3.34424755859375;999;i
TM;eifghgi999;p0p100;1982;4.0522763671875;999;i
TM;eifghgi999;p0p100;1983;4.26644384765625;999;i
TM;eifghgi999;p0p100;1984;4.7114169921875;999;i
TM;eifghgi999;p0p100;1985;4.62470849609375;999;i
TM;eifghgi999;p0p100;1986;4.66202116896964;999;i
TM;eifghgi999;p0p100;1987;4.68392768388254;999;i
TM;eifghgi999;p0p100;1988;4.94310524493948;999;i
TM;eifghgi999;p0p100;1989;4.85504711145092;999;i
TM;eifghgi999;p0p100;1990;4.35800838381456;999;i
TM;eifghgi999;p0p100;1991;4.57913305922905;999;i
TM;eifghgi999;p0p100;1992;4.07661128972073;999;i
TM;eifghgi999;p0p100;1993;3.42696747077602;999;i
TM;eifghgi999;p0p100;1994;4.98059715239132;999;i
TM;eifghgi999;p0p100;1995;4.46943277995904;999;i
TM;eifghgi999;p0p100;1996;4.80541558162512;999;i
TM;eifghgi999;p0p100;1997;3.75370301969011;999;i
TM;eifghgi999;p0p100;1998;3.75146387358689;999;i
TM;eifghgi999;p0p100;1999;4.87591877660039;999;i
TM;eifghgi999;p0p100;2000;5.83940518068238;999;i
TM;eifghgi999;p0p100;2001;6.16786687283918;999;i
TM;eifghgi999;p0p100;2002;5.96199935609425;999;i
TM;eifghgi999;p0p100;2003;5.92956599888732;999;i
TM;eifghgi999;p0p100;2004;5.65352026898652;999;i
TM;eifghgi999;p0p100;2005;5.56336704845167;999;i
TM;eifghgi999;p0p100;2006;5.3485091900573;999;i
TM;eifghgi999;p0p100;2007;5.41189490579803;999;i
TM;eifghgi999;p0p100;2008;6.00769545887662;999;i
TM;eifghgi999;p0p100;2009;7.12945397252069;999;i
TM;eifghgi999;p0p100;2010;6.8037866014543;999;i
TM;eifghgi999;p0p100;2011;7.34816620470299;999;i
TM;eifghgi999;p0p100;2012;8.06581937459685;999;i
TM;eifghgi999;p0p100;2013;10.0828983959194;999;i
TM;eifghgi999;p0p100;2014;10.5841153203495;999;i
TM;eifghgi999;p0p100;2015;11.4009007368441;999;i
TM;eifghgi999;p0p100;2016;11.0720286002044;999;i
TM;eifghgi999;p0p100;2017;10.9624045546578;999;i
TM;eifghgi999;p0p100;2018;11.6201488279373;999;i
TM;eifghgi999;p0p100;2019;11.9238315246812;999;i
TM;eifghgi999;p0p100;2020;11.0891633179535;999;i
TM;eifghoi999;p0p100;1990;2.07926659583887;999;i
TM;eifghoi999;p0p100;1991;2.19843159978248;999;i
TM;eifghoi999;p0p100;1992;1.83098524970661;999;i
TM;eifghoi999;p0p100;1993;1.74760572503165;999;i
TM;eifghoi999;p0p100;1994;2.17719044607578;999;i
TM;eifghoi999;p0p100;1995;1.89371995881505;999;i
TM;eifghoi999;p0p100;1996;2.16539486213709;999;i
TM;eifghoi999;p0p100;1997;1.33119098639507;999;i
TM;eifghoi999;p0p100;1998;1.28778230999114;999;i
TM;eifghoi999;p0p100;1999;1.76841715649762;999;i
TM;eifghoi999;p0p100;2000;2.42733606191693;999;i
TM;eifghoi999;p0p100;2001;2.5863160127381;999;i
TM;eifghoi999;p0p100;2002;2.59057160923942;999;i
TM;eifghoi999;p0p100;2003;2.4778976966196;999;i
TM;eifghoi999;p0p100;2004;2.27739904545947;999;i
TM;eifghoi999;p0p100;2005;2.26149870023228;999;i
TM;eifghoi999;p0p100;2006;2.13335780459211;999;i
TM;eifghoi999;p0p100;2007;2.074112542262;999;i
TM;eifghoi999;p0p100;2008;2.29350621849927;999;i
TM;eifghoi999;p0p100;2009;2.44344381987232;999;i
TM;eifghoi999;p0p100;2010;2.2791383785441;999;i
TM;eifghoi999;p0p100;2011;2.53931252415186;999;i
TM;eifghoi999;p0p100;2012;2.811347573203;999;i
TM;eifghoi999;p0p100;2013;3.54096832961485;999;i
TM;eifghoi999;p0p100;2014;3.70768621686278;999;i
TM;eifghoi999;p0p100;2015;3.86834570101109;999;i
TM;eifghoi999;p0p100;2016;3.59299082927958;999;i
TM;eifghoi999;p0p100;2017;3.59040131354946;999;i
TM;eifghoi999;p0p100;2018;3.5122831943408;999;i
TM;eifghoi999;p0p100;2019;3.60407372542432;999;i
TM;eifghoi999;p0p100;2020;3.35178856464462;999;i
TM;enfcari999;p0p100;1990;23.0842396091644;999;i
TM;enfcari999;p0p100;1991;23.441515361332;999;i
TM;enfcari999;p0p100;1992;18.6817770456166;999;i
TM;enfcari999;p0p100;1993;15.1486072837788;999;i
TM;enfcari999;p0p100;1994;20.1994358491562;999;i
TM;enfcari999;p0p100;1995;20.7194827372528;999;i
TM;enfcari999;p0p100;1996;19.0731483450665;999;i
TM;enfcari999;p0p100;1997;18.513727415047;999;i
TM;enfcari999;p0p100;1998;21.0741995782918;999;i
TM;enfcari999;p0p100;1999;27.1307420435698;999;i
TM;enfcari999;p0p100;2000;27.3532903552859;999;i
TM;enfcari999;p0p100;2001;28.9016200818765;999;i
TM;enfcari999;p0p100;2002;29.4510129831473;999;i
TM;enfcari999;p0p100;2003;33.3926230348512;999;i
TM;enfcari999;p0p100;2004;33.6192110161257;999;i
TM;enfcari999;p0p100;2005;34.7795323403988;999;i
TM;enfcari999;p0p100;2006;34.3513735974546;999;i
TM;enfcari999;p0p100;2007;36.7890317632497;999;i
TM;enfcari999;p0p100;2008;37.962076265439;999;i
TM;enfcari999;p0p100;2009;37.9462472875498;999;i
TM;enfcari999;p0p100;2010;40.4262034180363;999;i
TM;enfcari999;p0p100;2011;42.9731460054013;999;i
TM;enfcari999;p0p100;2012;45.1684675893243;999;i
TM;enfcari999;p0p100;2013;47.5891422531601;999;i
TM;enfcari999;p0p100;2014;47.1727503522357;999;i
TM;enfcari999;p0p100;2015;52.5862604929469;999;i
TM;enfcari999;p0p100;2016;52.2126458535654;999;i
TM;enfcari999;p0p100;2017;51.4654165748024;999;i
TM;enfcari999;p0p100;2018;56.6026178662981;999;i
TM;enfcari999;p0p100;2019;58.0818790953005;999;i
TM;enfcari999;p0p100;2020;54.0161475586294;999;i
TM;enfghgi999;p0p100;1980;35.77238671875;999;i
TM;enfghgi999;p0p100;1981;35.72381640625;999;i
TM;enfghgi999;p0p100;1982;39.0713125;999;i
TM;enfghgi999;p0p100;1983;41.20503125;999;i
