country;variable;percentile;year;value;age;pop
TO;adefgoi992;p0p100;1980;75.5;992;i
TO;adefgoi992;p0p100;1981;88.3;992;i
TO;adefgoi992;p0p100;1982;117.5;992;i
TO;adefgoi992;p0p100;1983;105.8;992;i
TO;adefgoi992;p0p100;1984;122.5;992;i
TO;adefgoi992;p0p100;1985;155.9;992;i
TO;adefgoi992;p0p100;1986;139.3;992;i
TO;adefgoi992;p0p100;1987;134.7;992;i
TO;aecogoi999;p0p100;1975;101.1;999;i
TO;aecogoi999;p0p100;1976;110.4;999;i
TO;aecogoi999;p0p100;1977;106.2;999;i
TO;aecogoi999;p0p100;1978;144.6;999;i
TO;aecogoi999;p0p100;1979;139.2;999;i
TO;aecogoi999;p0p100;1980;285.4;999;i
TO;aecogoi999;p0p100;1981;393;999;i
TO;aecogoi999;p0p100;1982;490.7;999;i
TO;aecogoi999;p0p100;1983;481.6;999;i
TO;aecogoi999;p0p100;1984;469.9;999;i
TO;aecogoi999;p0p100;1985;536.8;999;i
TO;aecogoi999;p0p100;1986;502;999;i
TO;aecogoi999;p0p100;1987;483.8;999;i
TO;aecogoi992;p0p100;1975;235.3;992;i
TO;aecogoi992;p0p100;1976;252.8;992;i
TO;aecogoi992;p0p100;1977;240.1;992;i
TO;aecogoi992;p0p100;1978;323.2;992;i
TO;aecogoi992;p0p100;1979;307.3;992;i
TO;aecogoi992;p0p100;1980;622.7;992;i
TO;aecogoi992;p0p100;1981;860.6;992;i
TO;aecogoi992;p0p100;1982;1077;992;i
TO;aecogoi992;p0p100;1983;1058.1;992;i
TO;aecogoi992;p0p100;1984;1032.3;992;i
TO;aecogoi992;p0p100;1985;1177.8;992;i
TO;aecogoi992;p0p100;1986;1086.9;992;i
TO;aecogoi992;p0p100;1987;1028.9;992;i
TO;aspigoi999;p0p100;2011;24.1;999;i
TO;aspigoi999;p0p100;2012;4.2;999;i
TO;aspigoi999;p0p100;2013;10.4;999;i
TO;aspigoi999;p0p100;2014;0.9;999;i
TO;aspigoi999;p0p100;2015;0.9;999;i
TO;aspigoi999;p0p100;2016;7.3;999;i
TO;aspigoi999;p0p100;2017;8.6;999;i
TO;aspigoi999;p0p100;2018;8;999;i
TO;aspigoi999;p0p100;2019;7.9;999;i
TO;aspigoi999;p0p100;2020;7.9;999;i
TO;mheagoi999;p0p100;1975;8742679;999;i
TO;mheagoi999;p0p100;1976;10904906;999;i
TO;mheagoi999;p0p100;1977;10372722;999;i
TO;mheagoi999;p0p100;1978;10003144;999;i
TO;mheagoi999;p0p100;1979;10531970;999;i
TO;mheagoi999;p0p100;1980;11258366;999;i
TO;mheagoi999;p0p100;1981;15059703;999;i
TO;mheagoi999;p0p100;1982;17542762;999;i
TO;mheagoi999;p0p100;1983;16551110;999;i
TO;mheagoi999;p0p100;1984;17178880;999;i
TO;mheagoi999;p0p100;1985;19270566;999;i
TO;mheagoi999;p0p100;1986;19376096;999;i
TO;mheagoi999;p0p100;1987;17925246;999;i
TO;mdefgoi999;p0p100;1980;3216676;999;i
TO;mdefgoi999;p0p100;1981;3764926;999;i
TO;mdefgoi999;p0p100;1982;5012218;999;i
TO;mdefgoi999;p0p100;1983;4513939;999;i
TO;mdefgoi999;p0p100;1984;5228355;999;i
TO;mdefgoi999;p0p100;1985;6670581;999;i
TO;mdefgoi999;p0p100;1986;6055030;999;i
TO;mdefgoi999;p0p100;1987;5975082;999;i
TO;mptxgoi999;p0p100;2011;113986896;999;i
TO;mptxgoi999;p0p100;2012;122803280;999;i
TO;mptxgoi999;p0p100;2013;124180896;999;i
TO;mptxgoi999;p0p100;2014;134443344;999;i
TO;mptxgoi999;p0p100;2015;143471168;999;i
TO;mptxgoi999;p0p100;2016;164238640;999;i
TO;mptxgoi999;p0p100;2017;178320688;999;i
TO;mptxgoi999;p0p100;2018;188920464;999;i
TO;mptxgoi999;p0p100;2019;178730720;999;i
TO;mptxgoi999;p0p100;2020;183780992;999;i
TO;acomnxi992;p0p100;1970;-69.1;992;i
TO;acomnxi992;p0p100;1971;0;992;i
TO;acomnxi992;p0p100;1972;0;992;i
TO;acomnxi992;p0p100;1973;0;992;i
TO;acomnxi992;p0p100;1974;0;992;i
TO;acomnxi992;p0p100;1975;0;992;i
TO;acomnxi992;p0p100;1976;0;992;i
TO;acomnxi992;p0p100;1977;0;992;i
TO;acomnxi992;p0p100;1978;0;992;i
TO;acomnxi992;p0p100;1979;0;992;i
TO;acomnxi992;p0p100;1980;0;992;i
TO;acomnxi992;p0p100;1981;0;992;i
TO;acomnxi992;p0p100;1982;0;992;i
TO;acomnxi992;p0p100;1983;0;992;i
TO;acomnxi992;p0p100;1984;0;992;i
TO;acomnxi992;p0p100;1985;-0.1;992;i
TO;acomnxi992;p0p100;1986;-3.3;992;i
TO;acomnxi992;p0p100;1987;-30.8;992;i
TO;acomnxi992;p0p100;1988;36.3;992;i
TO;acomnxi992;p0p100;1989;53.1;992;i
TO;acomnxi992;p0p100;1990;62.7;992;i
TO;acomnxi992;p0p100;1991;42.5;992;i
TO;acomnxi992;p0p100;1992;38.4;992;i
TO;acomnxi992;p0p100;1993;38.7;992;i
TO;acomnxi992;p0p100;1994;71;992;i
TO;acomnxi992;p0p100;1995;-122.7;992;i
TO;acomnxi992;p0p100;1996;-126.4;992;i
TO;acomnxi992;p0p100;1997;-128.1;992;i
TO;acomnxi992;p0p100;1998;-133.2;992;i
TO;acomnxi992;p0p100;1999;-135.3;992;i
TO;acomnxi992;p0p100;2000;-116.7;992;i
