country;variable;percentile;year;value;age;pop
TV;afsubxi999;p0p100;2001;2280.7;999;i
TV;afsubxi999;p0p100;2002;1542.6;999;i
TV;afsubxi999;p0p100;2003;254.2;999;i
TV;afsubxi999;p0p100;2004;702.9;999;i
TV;afsubxi999;p0p100;2005;498.2;999;i
TV;afsubxi999;p0p100;2006;775.8;999;i
TV;afsubxi999;p0p100;2007;646.8;999;i
TV;afsubxi999;p0p100;2008;1188.7;999;i
TV;afsubxi999;p0p100;2009;1263.9;999;i
TV;afsubxi999;p0p100;2010;1017.7;999;i
TV;afsubxi999;p0p100;2011;752.9;999;i
TV;afsubxi999;p0p100;2012;1042.5;999;i
TV;afsubxi999;p0p100;2013;2261.9;999;i
TV;afdipxi999;p0p100;2001;85;999;i
TV;afdipxi999;p0p100;2002;57.9;999;i
TV;afdipxi999;p0p100;2003;56.5;999;i
TV;afdipxi999;p0p100;2004;71.6;999;i
TV;afdipxi999;p0p100;2005;77.2;999;i
TV;afdipxi999;p0p100;2006;79.5;999;i
TV;afdipxi999;p0p100;2007;86.2;999;i
TV;afdipxi999;p0p100;2008;80.2;999;i
TV;afdipxi999;p0p100;2009;117.1;999;i
TV;afdipxi999;p0p100;2010;206.9;999;i
TV;afdipxi999;p0p100;2011;131.9;999;i
TV;afdipxi999;p0p100;2012;380;999;i
TV;afdipxi999;p0p100;2013;320.6;999;i
TV;afinpxi999;p0p100;2001;142.9;999;i
TV;afinpxi999;p0p100;2002;106.2;999;i
TV;afinpxi999;p0p100;2003;117.3;999;i
TV;afinpxi999;p0p100;2004;130.2;999;i
TV;afinpxi999;p0p100;2005;137.4;999;i
TV;afinpxi999;p0p100;2006;140.2;999;i
TV;afinpxi999;p0p100;2007;139.2;999;i
TV;afinpxi999;p0p100;2008;131.2;999;i
TV;afinpxi999;p0p100;2009;218.5;999;i
TV;afinpxi999;p0p100;2010;355.8;999;i
TV;afinpxi999;p0p100;2011;303.5;999;i
TV;afinpxi999;p0p100;2012;585.5;999;i
TV;afinpxi999;p0p100;2013;492;999;i
TV;aflcipi999;p0p100;2001;142.9;999;i
TV;aflcipi999;p0p100;2002;106.2;999;i
TV;aflcipi999;p0p100;2003;117.3;999;i
TV;aflcipi999;p0p100;2004;130.2;999;i
TV;aflcipi999;p0p100;2005;137.4;999;i
TV;aflcipi999;p0p100;2006;140.2;999;i
TV;aflcipi999;p0p100;2007;139.2;999;i
TV;aflcipi999;p0p100;2008;131.2;999;i
TV;aflcipi999;p0p100;2009;218.5;999;i
TV;aflcipi999;p0p100;2010;355.8;999;i
TV;aflcipi999;p0p100;2011;303.5;999;i
TV;aflcipi999;p0p100;2012;585.5;999;i
TV;aflcipi999;p0p100;2013;492;999;i
TV;aftaxxi999;p0p100;2001;0;999;i
TV;aftaxxi999;p0p100;2002;0;999;i
TV;aftaxxi999;p0p100;2003;0;999;i
TV;aftaxxi999;p0p100;2004;0;999;i
TV;aftaxxi999;p0p100;2005;0;999;i
TV;aftaxxi999;p0p100;2006;0;999;i
TV;aftaxxi999;p0p100;2007;0;999;i
TV;aftaxxi999;p0p100;2008;0;999;i
TV;aftaxxi999;p0p100;2009;0;999;i
TV;aftaxxi999;p0p100;2010;0;999;i
TV;aftaxxi999;p0p100;2011;0;999;i
TV;aftaxxi999;p0p100;2012;0;999;i
TV;aftaxxi999;p0p100;2013;0;999;i
TV;apinnxi999;p0p100;2001;663.4;999;i
TV;apinnxi999;p0p100;2002;417.2;999;i
TV;apinnxi999;p0p100;2003;335.4;999;i
TV;apinnxi999;p0p100;2004;264.7;999;i
TV;apinnxi999;p0p100;2005;236.7;999;i
TV;apinnxi999;p0p100;2006;1038.8;999;i
TV;apinnxi999;p0p100;2007;781.3;999;i
TV;apinnxi999;p0p100;2008;898.2;999;i
TV;apinnxi999;p0p100;2009;506;999;i
TV;apinnxi999;p0p100;2010;151.2;999;i
TV;apinnxi999;p0p100;2011;374.2;999;i
TV;apinnxi999;p0p100;2012;-152.1;999;i
TV;apinnxi999;p0p100;2013;-19.2;999;i
TV;apinpxi999;p0p100;2001;112;999;i
TV;apinpxi999;p0p100;2002;84.2;999;i
TV;apinpxi999;p0p100;2003;81.5;999;i
TV;apinpxi999;p0p100;2004;94.8;999;i
TV;apinpxi999;p0p100;2005;99.5;999;i
TV;apinpxi999;p0p100;2006;100;999;i
TV;apinpxi999;p0p100;2007;108.3;999;i
TV;apinpxi999;p0p100;2008;107.5;999;i
TV;apinpxi999;p0p100;2009;175.6;999;i
TV;apinpxi999;p0p100;2010;272.5;999;i
TV;apinpxi999;p0p100;2011;208.9;999;i
TV;apinpxi999;p0p100;2012;447.7;999;i
TV;apinpxi999;p0p100;2013;374.3;999;i
TV;aptfori999;p0p100;2001;775.4;999;i
TV;aptfori999;p0p100;2002;501.4;999;i
TV;aptfori999;p0p100;2003;416.9;999;i
TV;aptfori999;p0p100;2004;356.1;999;i
TV;aptfori999;p0p100;2005;331.8;999;i
TV;aptfori999;p0p100;2006;1138.8;999;i
TV;aptfori999;p0p100;2007;885.6;999;i
TV;aptfori999;p0p100;2008;1005.7;999;i
TV;aptfori999;p0p100;2009;681.6;999;i
TV;aptfori999;p0p100;2010;423.7;999;i
TV;aptfori999;p0p100;2011;583.1;999;i
TV;aptfori999;p0p100;2012;295.7;999;i
TV;aptfori999;p0p100;2013;355.1;999;i
TV;aptfrxi999;p0p100;2001;775.4;999;i
TV;aptfrxi999;p0p100;2002;501.4;999;i
TV;aptfrxi999;p0p100;2003;416.9;999;i
TV;aptfrxi999;p0p100;2004;356.1;999;i
TV;aptfrxi999;p0p100;2005;331.8;999;i
TV;aptfrxi999;p0p100;2006;1138.8;999;i
TV;aptfrxi999;p0p100;2007;885.6;999;i
TV;aptfrxi999;p0p100;2008;1005.7;999;i
TV;aptfrxi999;p0p100;2009;681.6;999;i
TV;aptfrxi999;p0p100;2010;423.7;999;i
TV;aptfrxi999;p0p100;2011;583.1;999;i
TV;aptfrxi999;p0p100;2012;295.7;999;i
TV;aptfrxi999;p0p100;2013;355.1;999;i
TV;mfinrxi999;p0p100;2001;42987468;999;i
TV;mfinrxi999;p0p100;2002;37922776;999;i
TV;mfinrxi999;p0p100;2003;17023452;999;i
TV;mfinrxi999;p0p100;2004;18678900;999;i
TV;mfinrxi999;p0p100;2005;15988311;999;i
TV;mfinrxi999;p0p100;2006;25312964;999;i
TV;mfinrxi999;p0p100;2007;24307244;999;i
TV;mfinrxi999;p0p100;2008;31740582;999;i
TV;mfinrxi999;p0p100;2009;28216258;999;i
TV;mfinrxi999;p0p100;2010;20450436;999;i
TV;mfinrxi999;p0p100;2011;19826134;999;i
TV;mfinrxi999;p0p100;2012;19043040;999;i
TV;mfinrxi999;p0p100;2013;33750704;999;i
TV;mcompxi999;p0p100;2001;293079;999;i
TV;mcompxi999;p0p100;2002;211252;999;i
TV;mcompxi999;p0p100;2003;348181;999;i
TV;mcompxi999;p0p100;2004;349398;999;i
TV;mcompxi999;p0p100;2005;379508;999;i
TV;mcompxi999;p0p100;2006;406646;999;i
TV;mcompxi999;p0p100;2007;316238;999;i
TV;mcompxi999;p0p100;2008;244238;999;i
TV;mcompxi999;p0p100;2009;447630;999;i
TV;mcompxi999;p0p100;2010;877283;999;i
TV;mcompxi999;p0p100;2011;1005268;999;i
TV;mcompxi999;p0p100;2012;1478956;999;i
TV;mcompxi999;p0p100;2013;1277488;999;i
TV;mflcipi999;p0p100;2001;1355328;999;i
TV;mflcipi999;p0p100;2002;1018802;999;i
TV;mflcipi999;p0p100;2003;1141270;999;i
TV;mflcipi999;p0p100;2004;1284872;999;i
TV;mflcipi999;p0p100;2005;1374344;999;i
TV;mflcipi999;p0p100;2006;1418630;999;i
TV;mflcipi999;p0p100;2007;1422854;999;i
TV;mflcipi999;p0p100;2008;1353409;999;i
TV;mflcipi999;p0p100;2009;2277672;999;i
