country;variable;percentile;year;value;age;pop
VA;npopuli999;p0p100;1950;908;999;i
VA;npopuli999;p0p100;1951;885;999;i
VA;npopuli999;p0p100;1952;882;999;i
VA;npopuli999;p0p100;1953;886;999;i
VA;npopuli999;p0p100;1954;894;999;i
VA;npopuli999;p0p100;1955;908;999;i
VA;npopuli999;p0p100;1956;905;999;i
VA;npopuli999;p0p100;1957;910;999;i
VA;npopuli999;p0p100;1958;912;999;i
VA;npopuli999;p0p100;1959;908;999;i
VA;npopuli999;p0p100;1960;906;999;i
VA;npopuli999;p0p100;1961;903;999;i
VA;npopuli999;p0p100;1962;898;999;i
VA;npopuli999;p0p100;1963;892;999;i
VA;npopuli999;p0p100;1964;879;999;i
VA;npopuli999;p0p100;1965;854;999;i
VA;npopuli999;p0p100;1966;814;999;i
VA;npopuli999;p0p100;1967;766;999;i
VA;npopuli999;p0p100;1968;712;999;i
VA;npopuli999;p0p100;1969;669;999;i
VA;npopuli999;p0p100;1970;644;999;i
VA;npopuli999;p0p100;1971;642;999;i
VA;npopuli999;p0p100;1972;657;999;i
VA;npopuli999;p0p100;1973;686;999;i
VA;npopuli999;p0p100;1974;708;999;i
VA;npopuli999;p0p100;1975;728;999;i
VA;npopuli999;p0p100;1976;737;999;i
VA;npopuli999;p0p100;1977;737;999;i
VA;npopuli999;p0p100;1978;730;999;i
VA;npopuli999;p0p100;1979;730;999;i
VA;npopuli999;p0p100;1980;724;999;i
VA;npopuli999;p0p100;1981;725;999;i
VA;npopuli999;p0p100;1982;729;999;i
VA;npopuli999;p0p100;1983;731;999;i
VA;npopuli999;p0p100;1984;740;999;i
VA;npopuli999;p0p100;1985;746;999;i
VA;npopuli999;p0p100;1986;750;999;i
VA;npopuli999;p0p100;1987;759;999;i
VA;npopuli999;p0p100;1988;764;999;i
VA;npopuli999;p0p100;1989;765;999;i
VA;npopuli999;p0p100;1990;768;999;i
VA;npopuli999;p0p100;1991;774;999;i
VA;npopuli999;p0p100;1992;779;999;i
VA;npopuli999;p0p100;1993;778;999;i
VA;npopuli999;p0p100;1994;778;999;i
VA;npopuli999;p0p100;1995;780;999;i
VA;npopuli999;p0p100;1996;778;999;i
VA;npopuli999;p0p100;1997;782;999;i
VA;npopuli999;p0p100;1998;781;999;i
VA;npopuli999;p0p100;1999;781;999;i
VA;npopuli999;p0p100;2000;785;999;i
VA;npopuli999;p0p100;2001;788;999;i
VA;npopuli999;p0p100;2002;792;999;i
VA;npopuli999;p0p100;2003;798;999;i
VA;npopuli999;p0p100;2004;797;999;i
VA;npopuli999;p0p100;2005;798;999;i
VA;npopuli999;p0p100;2006;800;999;i
VA;npopuli999;p0p100;2007;796;999;i
VA;npopuli999;p0p100;2008;794;999;i
VA;npopuli999;p0p100;2009;795;999;i
VA;npopuli999;p0p100;2010;794;999;i
VA;npopuli999;p0p100;2011;796;999;i
VA;npopuli999;p0p100;2012;804;999;i
VA;npopuli999;p0p100;2013;801;999;i
VA;npopuli999;p0p100;2014;800;999;i
VA;npopuli999;p0p100;2015;803;999;i
VA;npopuli999;p0p100;2016;801;999;i
VA;npopuli999;p0p100;2017;793;999;i
VA;npopuli999;p0p100;2018;801;999;i
VA;npopuli999;p0p100;2019;799;999;i
VA;npopuli999;p0p100;2020;801;999;i
VA;npopuli999;p0p100;2021;800;999;i
