country;variable;percentile;year;value;age;pop
VC;afinrxi992;p0p100;1978;59.4;992;i
VC;afinrxi992;p0p100;1979;154.7;992;i
VC;afinrxi992;p0p100;1980;184;992;i
VC;afinrxi992;p0p100;1981;266.4;992;i
VC;afinrxi992;p0p100;1982;33.4;992;i
VC;afinrxi992;p0p100;1983;29.6;992;i
VC;afinrxi992;p0p100;1984;0;992;i
VC;afinrxi992;p0p100;1985;26.7;992;i
VC;afinrxi992;p0p100;1986;275.8;992;i
VC;afinrxi992;p0p100;1987;425.4;992;i
VC;afinrxi992;p0p100;1988;466.7;992;i
VC;afinrxi992;p0p100;1989;444.7;992;i
VC;afinrxi992;p0p100;1990;421.5;992;i
VC;afinrxi992;p0p100;1991;459.4;992;i
VC;afinrxi992;p0p100;1992;369.4;992;i
VC;afinrxi992;p0p100;1993;228;992;i
VC;afinrxi992;p0p100;1994;328;992;i
VC;afinrxi992;p0p100;1995;296.1;992;i
VC;afinrxi992;p0p100;1996;281.1;992;i
VC;afinrxi992;p0p100;1997;182.9;992;i
VC;afinrxi992;p0p100;1998;196.4;992;i
VC;afinrxi992;p0p100;1999;199;992;i
VC;afinrxi992;p0p100;2000;196;992;i
VC;afinrxi992;p0p100;2001;136.5;992;i
VC;afinrxi992;p0p100;2002;189.4;992;i
VC;afinrxi992;p0p100;2003;214.7;992;i
VC;afinrxi992;p0p100;2004;267.3;992;i
VC;afinrxi992;p0p100;2005;436.8;992;i
VC;afinrxi992;p0p100;2006;677.7;992;i
VC;afinrxi992;p0p100;2007;610.6;992;i
VC;afinrxi992;p0p100;2008;457.4;992;i
VC;afinrxi992;p0p100;2009;619.9;992;i
VC;afinrxi992;p0p100;2010;545.1;992;i
VC;afinrxi992;p0p100;2011;407.7;992;i
VC;afinrxi992;p0p100;2012;592.2;992;i
VC;afinrxi992;p0p100;2013;590.7;992;i
VC;afinrxi992;p0p100;2014;249.6;992;i
VC;afinrxi992;p0p100;2015;230.4;992;i
VC;afinrxi992;p0p100;2016;225;992;i
VC;afinrxi992;p0p100;2017;249.9;992;i
VC;afinrxi992;p0p100;2018;257;992;i
VC;apinrxi999;p0p100;1978;25;999;i
VC;apinrxi999;p0p100;1979;66.2;999;i
VC;apinrxi999;p0p100;1980;79.9;999;i
VC;apinrxi999;p0p100;1981;118.1;999;i
VC;apinrxi999;p0p100;1982;15.1;999;i
VC;apinrxi999;p0p100;1983;13.7;999;i
VC;apinrxi999;p0p100;1984;0;999;i
VC;apinrxi999;p0p100;1985;12.7;999;i
VC;apinrxi999;p0p100;1986;79;999;i
VC;apinrxi999;p0p100;1987;139.2;999;i
VC;apinrxi999;p0p100;1988;167.5;999;i
VC;apinrxi999;p0p100;1989;179.3;999;i
VC;apinrxi999;p0p100;1990;205.3;999;i
VC;apinrxi999;p0p100;1991;197.8;999;i
VC;apinrxi999;p0p100;1992;158.3;999;i
VC;apinrxi999;p0p100;1993;111.6;999;i
VC;apinrxi999;p0p100;1994;163.7;999;i
VC;apinrxi999;p0p100;1995;148.6;999;i
VC;apinrxi999;p0p100;1996;148.3;999;i
VC;apinrxi999;p0p100;1997;99.5;999;i
VC;apinrxi999;p0p100;1998;108.5;999;i
VC;apinrxi999;p0p100;1999;109.8;999;i
VC;apinrxi999;p0p100;2000;108.9;999;i
VC;apinrxi999;p0p100;2001;76.2;999;i
VC;apinrxi999;p0p100;2002;87.8;999;i
VC;apinrxi999;p0p100;2003;108.7;999;i
