country;variable;percentile;year;value;age;pop
VG;egfcari999;p0p100;1990;0.0344874545908862;999;i
VG;egfcari999;p0p100;1991;0.0345308453190496;999;i
VG;egfcari999;p0p100;1992;0.0338844663421999;999;i
VG;egfcari999;p0p100;1993;0.0335771618151631;999;i
VG;egfcari999;p0p100;1994;0.0328874657771907;999;i
VG;egfcari999;p0p100;1995;0.0314584277797616;999;i
VG;egfcari999;p0p100;1996;0.0304150940467106;999;i
VG;egfcari999;p0p100;1997;0.0289021582758097;999;i
VG;egfcari999;p0p100;1998;0.028131570039574;999;i
VG;egfcari999;p0p100;1999;0.0285552664120838;999;i
VG;egfcari999;p0p100;2000;0.0285120300121777;999;i
VG;egfcari999;p0p100;2001;0.0293457557454125;999;i
VG;egfcari999;p0p100;2002;0.0304948755086052;999;i
VG;egfcari999;p0p100;2003;0.030403810135643;999;i
VG;egfcari999;p0p100;2004;0.0301475626257358;999;i
VG;egfcari999;p0p100;2005;0.0305229114291345;999;i
VG;egfcari999;p0p100;2006;0.0304237494107288;999;i
VG;egfcari999;p0p100;2007;0.030541920908229;999;i
VG;egfcari999;p0p100;2008;0.0308089106213912;999;i
VG;egfcari999;p0p100;2009;0.0320294837016975;999;i
VG;egfcari999;p0p100;2010;0.0315268621317605;999;i
VG;egfcari999;p0p100;2011;0.0318438764635863;999;i
VG;egfcari999;p0p100;2012;0.0318093802959243;999;i
VG;egfcari999;p0p100;2013;0.032887322468356;999;i
VG;egfcari999;p0p100;2014;0.0322637612922156;999;i
VG;egfcari999;p0p100;2015;0.0321195304251142;999;i
VG;egfcari999;p0p100;2016;0.0325034169653734;999;i
VG;egfcari999;p0p100;2017;0.0328873035056324;999;i
VG;egfcari999;p0p100;2018;0.0332711900458914;999;i
VG;egfcari999;p0p100;2019;0.0336550765861504;999;i
VG;egfcari999;p0p100;2020;0.0319723227568428;999;i
VG;egfghgi999;p0p100;1980;0.0423272335888853;999;i
VG;egfghgi999;p0p100;1981;0.0427840665908774;999;i
VG;egfghgi999;p0p100;1982;0.0452336899640259;999;i
VG;egfghgi999;p0p100;1983;0.0468460349761298;999;i
VG;egfghgi999;p0p100;1984;0.0478964092102903;999;i
VG;egfghgi999;p0p100;1985;0.0484898107835213;999;i
VG;egfghgi999;p0p100;1986;0.0492853001635763;999;i
VG;egfghgi999;p0p100;1987;0.0503003880851333;999;i
VG;egfghgi999;p0p100;1988;0.0493929326387391;999;i
VG;egfghgi999;p0p100;1989;0.049035311615416;999;i
VG;egfghgi999;p0p100;1990;0.0500537758209156;999;i
VG;egfghgi999;p0p100;1991;0.0502229846914051;999;i
VG;egfghgi999;p0p100;1992;0.049478742446447;999;i
VG;egfghgi999;p0p100;1993;0.0492250709929967;999;i
VG;egfghgi999;p0p100;1994;0.0493143990022085;999;i
VG;egfghgi999;p0p100;1995;0.0472623022554903;999;i
VG;egfghgi999;p0p100;1996;0.0459356497240738;999;i
VG;egfghgi999;p0p100;1997;0.0442791142304313;999;i
VG;egfghgi999;p0p100;1998;0.0434325587606419;999;i
VG;egfghgi999;p0p100;1999;0.044191326426683;999;i
VG;egfghgi999;p0p100;2000;0.044201629575751;999;i
VG;egfghgi999;p0p100;2001;0.0454109769380964;999;i
