country;variable;percentile;year;value;age;pop
VI;agdproi992;p0p100;2002;69373.2;992;i
VI;agdproi992;p0p100;2003;68352.4;992;i
VI;agdproi992;p0p100;2004;69972.3;992;i
VI;agdproi992;p0p100;2005;71857;992;i
VI;agdproi992;p0p100;2006;74065.3;992;i
VI;agdproi992;p0p100;2007;76848.1;992;i
VI;agdproi992;p0p100;2008;77703.3;992;i
VI;agdproi992;p0p100;2009;72557.1;992;i
VI;agdproi992;p0p100;2010;72982.2;992;i
VI;agdproi992;p0p100;2011;67071.6;992;i
VI;agdproi992;p0p100;2012;57106.9;992;i
VI;agdproi992;p0p100;2013;53451.2;992;i
VI;agdproi992;p0p100;2014;52436.3;992;i
VI;agdproi992;p0p100;2015;52169.7;992;i
VI;agdproi992;p0p100;2016;52885.1;992;i
VI;agdproi992;p0p100;2017;52364.7;992;i
VI;agdproi992;p0p100;2018;53065.1;992;i
VI;agdproi992;p0p100;2019;54133.3;992;i
VI;agdproi992;p0p100;2020;55719.4;992;i
VI;agdproi992;p0p100;2021;56976.9;992;i
VI;agninci992;p0p100;2002;69373.2;992;i
VI;agninci992;p0p100;2003;68352.4;992;i
VI;agninci992;p0p100;2004;69972.3;992;i
VI;agninci992;p0p100;2005;71857;992;i
VI;agninci992;p0p100;2006;74065.3;992;i
VI;agninci992;p0p100;2007;76848.1;992;i
VI;agninci992;p0p100;2008;77703.3;992;i
VI;agninci992;p0p100;2009;72557.1;992;i
VI;agninci992;p0p100;2010;72982.2;992;i
VI;agninci992;p0p100;2011;67071.6;992;i
VI;agninci992;p0p100;2012;57106.9;992;i
VI;agninci992;p0p100;2013;53451.2;992;i
VI;agninci992;p0p100;2014;52436.3;992;i
VI;agninci992;p0p100;2015;52169.7;992;i
VI;agninci992;p0p100;2016;52885.1;992;i
VI;agninci992;p0p100;2017;52364.7;992;i
VI;agninci992;p0p100;2018;53065.1;992;i
VI;agninci992;p0p100;2019;54133.3;992;i
VI;agninci992;p0p100;2020;55719.4;992;i
VI;agninci992;p0p100;2021;56976.9;992;i
VI;apweali999;p0p100;2002;42993.6;999;i
VI;apweali999;p0p100;2003;44826.1;999;i
VI;apweali999;p0p100;2004;48810.9;999;i
VI;apweali999;p0p100;2005;53289.7;999;i
VI;apweali999;p0p100;2006;58164;999;i
VI;apweali999;p0p100;2007;63744.2;999;i
VI;apweali999;p0p100;2008;67568.4;999;i
VI;apweali999;p0p100;2009;65156.8;999;i
VI;apweali999;p0p100;2010;68394.4;999;i
VI;apweali999;p0p100;2011;64556.7;999;i
VI;apweali999;p0p100;2012;55855.1;999;i
VI;apweali999;p0p100;2013;53920.8;999;i
VI;apweali999;p0p100;2014;54845.3;999;i
VI;apweali999;p0p100;2015;56542.8;999;i
VI;apweali999;p0p100;2016;59572.4;999;i
VI;apweali999;p0p100;2017;61046.7;999;i
VI;apweali999;p0p100;2018;64248.6;999;i
VI;apweali999;p0p100;2019;68149.4;999;i
VI;apweali999;p0p100;2020;73037.5;999;i
VI;apweali999;p0p100;2021;77681.5;999;i
VI;mconfci999;p0p100;2002;713033344;999;i
VI;mconfci999;p0p100;2003;735875520;999;i
VI;mconfci999;p0p100;2004;760924928;999;i
VI;mconfci999;p0p100;2005;786806720;999;i
VI;mconfci999;p0p100;2006;809312768;999;i
VI;mconfci999;p0p100;2007;821786304;999;i
VI;mconfci999;p0p100;2008;816899264;999;i
VI;mconfci999;p0p100;2009;791443456;999;i
VI;mconfci999;p0p100;2010;749358144;999;i
VI;mconfci999;p0p100;2011;695268416;999;i
VI;mconfci999;p0p100;2012;640192832;999;i
VI;mconfci999;p0p100;2013;596457920;999;i
VI;mconfci999;p0p100;2014;568139968;999;i
VI;mconfci999;p0p100;2015;553776256;999;i
VI;mconfci999;p0p100;2016;550119616;999;i
VI;mconfci999;p0p100;2017;553820800;999;i
VI;mconfci999;p0p100;2018;563217408;999;i
VI;mconfci999;p0p100;2019;576759680;999;i
VI;mconfci999;p0p100;2020;592945408;999;i
VI;mconfci999;p0p100;2021;610348096;999;i
VI;mgninci999;p0p100;2002;5123347968;999;i
