country;variable;percentile;year;value;age;pop
WF;npopuli999;p0p100;1950;7000;999;i
WF;npopuli999;p0p100;1951;7132;999;i
WF;npopuli999;p0p100;1952;7277;999;i
WF;npopuli999;p0p100;1953;7422;999;i
WF;npopuli999;p0p100;1954;7550;999;i
WF;npopuli999;p0p100;1955;7669;999;i
WF;npopuli999;p0p100;1956;7776;999;i
WF;npopuli999;p0p100;1957;7875;999;i
WF;npopuli999;p0p100;1958;7966;999;i
WF;npopuli999;p0p100;1959;8059;999;i
WF;npopuli999;p0p100;1960;8157;999;i
WF;npopuli999;p0p100;1961;8276;999;i
WF;npopuli999;p0p100;1962;8398;999;i
WF;npopuli999;p0p100;1963;8530;999;i
WF;npopuli999;p0p100;1964;8630;999;i
WF;npopuli999;p0p100;1965;8724;999;i
WF;npopuli999;p0p100;1966;8770;999;i
WF;npopuli999;p0p100;1967;8799;999;i
WF;npopuli999;p0p100;1968;8819;999;i
WF;npopuli999;p0p100;1969;8839;999;i
WF;npopuli999;p0p100;1970;8853;999;i
WF;npopuli999;p0p100;1971;8893;999;i
WF;npopuli999;p0p100;1972;8932;999;i
WF;npopuli999;p0p100;1973;8997;999;i
WF;npopuli999;p0p100;1974;9124;999;i
WF;npopuli999;p0p100;1975;9320;999;i
WF;npopuli999;p0p100;1976;9589;999;i
WF;npopuli999;p0p100;1977;9926;999;i
WF;npopuli999;p0p100;1978;10323;999;i
WF;npopuli999;p0p100;1979;10762;999;i
WF;npopuli999;p0p100;1980;11231;999;i
WF;npopuli999;p0p100;1981;11756;999;i
WF;npopuli999;p0p100;1982;12302;999;i
WF;npopuli999;p0p100;1983;12838;999;i
WF;npopuli999;p0p100;1984;13293;999;i
WF;npopuli999;p0p100;1985;13622;999;i
WF;npopuli999;p0p100;1986;13811;999;i
WF;npopuli999;p0p100;1987;13872;999;i
WF;npopuli999;p0p100;1988;13854;999;i
WF;npopuli999;p0p100;1989;13806;999;i
WF;npopuli999;p0p100;1990;13800;999;i
WF;npopuli999;p0p100;1991;13825;999;i
WF;npopuli999;p0p100;1992;13880;999;i
WF;npopuli999;p0p100;1993;13961;999;i
WF;npopuli999;p0p100;1994;14049;999;i
WF;npopuli999;p0p100;1995;14149;999;i
WF;npopuli999;p0p100;1996;14252;999;i
WF;npopuli999;p0p100;1997;14356;999;i
WF;npopuli999;p0p100;1998;14464;999;i
WF;npopuli999;p0p100;1999;14574;999;i
WF;npopuli999;p0p100;2000;14694;999;i
WF;npopuli999;p0p100;2001;14843;999;i
WF;npopuli999;p0p100;2002;14988;999;i
WF;npopuli999;p0p100;2003;15096;999;i
WF;npopuli999;p0p100;2004;15093;999;i
WF;npopuli999;p0p100;2005;14939;999;i
WF;npopuli999;p0p100;2006;14609;999;i
WF;npopuli999;p0p100;2007;14132;999;i
WF;npopuli999;p0p100;2008;13578;999;i
WF;npopuli999;p0p100;2009;13070;999;i
WF;npopuli999;p0p100;2010;12689;999;i
WF;npopuli999;p0p100;2011;12462;999;i
WF;npopuli999;p0p100;2012;12375;999;i
WF;npopuli999;p0p100;2013;12356;999;i
WF;npopuli999;p0p100;2014;12340;999;i
WF;npopuli999;p0p100;2015;12266;999;i
WF;npopuli999;p0p100;2016;12107;999;i
WF;npopuli999;p0p100;2017;11900;999;i
WF;npopuli999;p0p100;2018;11661;999;i
WF;npopuli999;p0p100;2019;11432;999;i
WF;npopuli999;p0p100;2020;11239;999;i
WF;npopuli999;p0p100;2021;11094;999;i
