country;variable;percentile;year;value;age;pop
WO-MER;aptincj992;p0p1;1980;-177.3;992;j
WO-MER;aptincj992;p0p1;1981;-347.1;992;j
WO-MER;aptincj992;p0p1;1982;-402.1;992;j
WO-MER;aptincj992;p0p1;1983;-327.1;992;j
WO-MER;aptincj992;p0p1;1984;-389.1;992;j
WO-MER;aptincj992;p0p1;1985;-400.3;992;j
WO-MER;aptincj992;p0p1;1986;-160.1;992;j
WO-MER;aptincj992;p0p1;1987;-130.6;992;j
WO-MER;aptincj992;p0p1;1988;-144.3;992;j
WO-MER;aptincj992;p0p1;1989;-67.6;992;j
WO-MER;aptincj992;p0p1;1990;-162.4;992;j
WO-MER;aptincj992;p0p1;1991;-121.2;992;j
WO-MER;aptincj992;p0p1;1992;-124.9;992;j
WO-MER;aptincj992;p0p1;1993;-100.6;992;j
WO-MER;aptincj992;p0p1;1994;-83.1;992;j
WO-MER;aptincj992;p0p1;1995;-205.2;992;j
WO-MER;aptincj992;p0p1;1996;-165.1;992;j
WO-MER;aptincj992;p0p1;1997;-621.4;992;j
WO-MER;aptincj992;p0p1;1998;-197.1;992;j
WO-MER;aptincj992;p0p1;1999;-167.2;992;j
WO-MER;aptincj992;p0p1;2000;-161.6;992;j
WO-MER;aptincj992;p0p1;2001;-209.9;992;j
WO-MER;aptincj992;p0p1;2002;-299;992;j
WO-MER;aptincj992;p0p1;2003;-479.4;992;j
WO-MER;aptincj992;p0p1;2004;-456.4;992;j
WO-MER;aptincj992;p0p1;2005;-302.7;992;j
WO-MER;aptincj992;p0p1;2006;-107.2;992;j
WO-MER;aptincj992;p0p1;2007;-105.6;992;j
WO-MER;aptincj992;p0p1;2008;-163.2;992;j
WO-MER;aptincj992;p0p1;2009;-200.4;992;j
WO-MER;aptincj992;p0p1;2010;-183.1;992;j
WO-MER;aptincj992;p0p1;2011;-196;992;j
WO-MER;aptincj992;p0p1;2012;-202.2;992;j
WO-MER;aptincj992;p0p1;2013;-194.7;992;j
WO-MER;aptincj992;p0p1;2014;-216.7;992;j
WO-MER;aptincj992;p0p1;2015;-197.1;992;j
WO-MER;aptincj992;p0p1;2016;-223.9;992;j
WO-MER;aptincj992;p0p1;2017;-216.4;992;j
WO-MER;aptincj992;p0p1;2018;-237.9;992;j
WO-MER;aptincj992;p0p1;2019;-216.9;992;j
WO-MER;aptincj992;p0p1;2020;-279.2;992;j
WO-MER;aptincj992;p0p1;2021;-184.5;992;j
WO-MER;aptincj992;p0p100;1980;8950.7;992;j
WO-MER;aptincj992;p0p100;1981;8944;992;j
WO-MER;aptincj992;p0p100;1982;8810.9;992;j
WO-MER;aptincj992;p0p100;1983;8816.9;992;j
WO-MER;aptincj992;p0p100;1984;9031.3;992;j
WO-MER;aptincj992;p0p100;1985;9145.7;992;j
WO-MER;aptincj992;p0p100;1986;9172;992;j
WO-MER;aptincj992;p0p100;1987;9284.5;992;j
WO-MER;aptincj992;p0p100;1988;9527.4;992;j
WO-MER;aptincj992;p0p100;1989;9623.8;992;j
WO-MER;aptincj992;p0p100;1990;9605.1;992;j
WO-MER;aptincj992;p0p100;1991;9554.8;992;j
WO-MER;aptincj992;p0p100;1992;9458.5;992;j
WO-MER;aptincj992;p0p100;1993;9426;992;j
WO-MER;aptincj992;p0p100;1994;9568.3;992;j
WO-MER;aptincj992;p0p100;1995;9664.9;992;j
WO-MER;aptincj992;p0p100;1996;9826.9;992;j
WO-MER;aptincj992;p0p100;1997;10051.9;992;j
WO-MER;aptincj992;p0p100;1998;10095.4;992;j
WO-MER;aptincj992;p0p100;1999;10263.8;992;j
WO-MER;aptincj992;p0p100;2000;10553.7;992;j
WO-MER;aptincj992;p0p100;2001;10543.5;992;j
WO-MER;aptincj992;p0p100;2002;10558.9;992;j
WO-MER;aptincj992;p0p100;2003;10567.2;992;j
WO-MER;aptincj992;p0p100;2004;10952.7;992;j
WO-MER;aptincj992;p0p100;2005;11135.1;992;j
WO-MER;aptincj992;p0p100;2006;11470.7;992;j
WO-MER;aptincj992;p0p100;2007;11735.2;992;j
WO-MER;aptincj992;p0p100;2008;11648.1;992;j
WO-MER;aptincj992;p0p100;2009;11230.3;992;j
WO-MER;aptincj992;p0p100;2010;11555.9;992;j
