country;variable;percentile;year;value;age;pop
WO;aptincj992;p0p1;1980;-218.1;992;j
WO;aptincj992;p0p1;1981;-390.1;992;j
WO;aptincj992;p0p1;1982;-592.8;992;j
WO;aptincj992;p0p1;1983;-432.5;992;j
WO;aptincj992;p0p1;1984;-479.4;992;j
WO;aptincj992;p0p1;1985;-485.2;992;j
WO;aptincj992;p0p1;1986;-205;992;j
WO;aptincj992;p0p1;1987;-161.7;992;j
WO;aptincj992;p0p1;1988;-191.1;992;j
WO;aptincj992;p0p1;1989;-64.8;992;j
WO;aptincj992;p0p1;1990;-136.9;992;j
WO;aptincj992;p0p1;1991;-104.1;992;j
WO;aptincj992;p0p1;1992;-99.9;992;j
WO;aptincj992;p0p1;1993;-78.1;992;j
WO;aptincj992;p0p1;1994;-64.5;992;j
WO;aptincj992;p0p1;1995;-244.1;992;j
WO;aptincj992;p0p1;1996;-168.3;992;j
WO;aptincj992;p0p1;1997;-1106.4;992;j
WO;aptincj992;p0p1;1998;-236.4;992;j
WO;aptincj992;p0p1;1999;-171.4;992;j
WO;aptincj992;p0p1;2000;-162.8;992;j
WO;aptincj992;p0p1;2001;-237.9;992;j
WO;aptincj992;p0p1;2002;-373.6;992;j
WO;aptincj992;p0p1;2003;-480.3;992;j
WO;aptincj992;p0p1;2004;-524.9;992;j
WO;aptincj992;p0p1;2005;-317.3;992;j
WO;aptincj992;p0p1;2006;-92.4;992;j
WO;aptincj992;p0p1;2007;-100.9;992;j
WO;aptincj992;p0p1;2008;-138.7;992;j
WO;aptincj992;p0p1;2009;-169.6;992;j
WO;aptincj992;p0p1;2010;-179.3;992;j
WO;aptincj992;p0p1;2011;-149.4;992;j
WO;aptincj992;p0p1;2012;-172.2;992;j
WO;aptincj992;p0p1;2013;-161.8;992;j
WO;aptincj992;p0p1;2014;-171.5;992;j
WO;aptincj992;p0p1;2015;-191.4;992;j
WO;aptincj992;p0p1;2016;-208.7;992;j
WO;aptincj992;p0p1;2017;-182.7;992;j
WO;aptincj992;p0p1;2018;-201.3;992;j
WO;aptincj992;p0p1;2019;-199.7;992;j
WO;aptincj992;p0p1;2020;-244.8;992;j
WO;aptincj992;p0p1;2021;-150.6;992;j
WO;aptincj992;p0p100;1980;10643.5;992;j
WO;aptincj992;p0p100;1981;10586.9;992;j
WO;aptincj992;p0p100;1982;10406.5;992;j
WO;aptincj992;p0p100;1983;10349.1;992;j
WO;aptincj992;p0p100;1984;10557.2;992;j
WO;aptincj992;p0p100;1985;10639.7;992;j
WO;aptincj992;p0p100;1986;10722.3;992;j
WO;aptincj992;p0p100;1987;10837.4;992;j
WO;aptincj992;p0p100;1988;11084.5;992;j
WO;aptincj992;p0p100;1989;11213.6;992;j
WO;aptincj992;p0p100;1990;11177.4;992;j
WO;aptincj992;p0p100;1991;11083.3;992;j
WO;aptincj992;p0p100;1992;10950.3;992;j
WO;aptincj992;p0p100;1993;10924.7;992;j
WO;aptincj992;p0p100;1994;11012.4;992;j
WO;aptincj992;p0p100;1995;11122.7;992;j
WO;aptincj992;p0p100;1996;11292.8;992;j
WO;aptincj992;p0p100;1997;11574;992;j
WO;aptincj992;p0p100;1998;11580;992;j
WO;aptincj992;p0p100;1999;11744.6;992;j
WO;aptincj992;p0p100;2000;12150;992;j
WO;aptincj992;p0p100;2001;12167.2;992;j
WO;aptincj992;p0p100;2002;12268.3;992;j
WO;aptincj992;p0p100;2003;12455.7;992;j
WO;aptincj992;p0p100;2004;12948.9;992;j
WO;aptincj992;p0p100;2005;13329.9;992;j
WO;aptincj992;p0p100;2006;13839.4;992;j
WO;aptincj992;p0p100;2007;14268.3;992;j
WO;aptincj992;p0p100;2008;14378.8;992;j
WO;aptincj992;p0p100;2009;13919;992;j
WO;aptincj992;p0p100;2010;14439.1;992;j
WO;aptincj992;p0p100;2011;14842.9;992;j
WO;aptincj992;p0p100;2012;15091.7;992;j
WO;aptincj992;p0p100;2013;15376.1;992;j
WO;aptincj992;p0p100;2014;15723.6;992;j
WO;aptincj992;p0p100;2015;16006.7;992;j
WO;aptincj992;p0p100;2016;16264.5;992;j
