country;variable;percentile;year;value;age;pop
XA-MER;aptincj992;p0p1;1980;-333.7;992;j
XA-MER;aptincj992;p0p1;1981;-280;992;j
XA-MER;aptincj992;p0p1;1982;-247.7;992;j
XA-MER;aptincj992;p0p1;1983;-272.3;992;j
XA-MER;aptincj992;p0p1;1984;-305.1;992;j
XA-MER;aptincj992;p0p1;1985;-499.9;992;j
XA-MER;aptincj992;p0p1;1986;0;992;j
XA-MER;aptincj992;p0p1;1987;0;992;j
XA-MER;aptincj992;p0p1;1988;0;992;j
XA-MER;aptincj992;p0p1;1989;0;992;j
XA-MER;aptincj992;p0p1;1990;0;992;j
XA-MER;aptincj992;p0p1;1991;-0.9;992;j
XA-MER;aptincj992;p0p1;1992;-2.5;992;j
XA-MER;aptincj992;p0p1;1993;-1.6;992;j
XA-MER;aptincj992;p0p1;1994;0;992;j
XA-MER;aptincj992;p0p1;1995;-261;992;j
XA-MER;aptincj992;p0p1;1996;-121.9;992;j
XA-MER;aptincj992;p0p1;1997;-111.5;992;j
XA-MER;aptincj992;p0p1;1998;-152.9;992;j
XA-MER;aptincj992;p0p1;1999;-164.9;992;j
XA-MER;aptincj992;p0p1;2000;-140.6;992;j
XA-MER;aptincj992;p0p1;2001;-261.7;992;j
XA-MER;aptincj992;p0p1;2002;-470.2;992;j
XA-MER;aptincj992;p0p1;2003;-683.7;992;j
XA-MER;aptincj992;p0p1;2004;-539.8;992;j
XA-MER;aptincj992;p0p1;2005;-324.5;992;j
XA-MER;aptincj992;p0p1;2006;0;992;j
XA-MER;aptincj992;p0p1;2007;0;992;j
XA-MER;aptincj992;p0p1;2008;0;992;j
XA-MER;aptincj992;p0p1;2009;0;992;j
XA-MER;aptincj992;p0p1;2010;0;992;j
XA-MER;aptincj992;p0p1;2011;0;992;j
XA-MER;aptincj992;p0p1;2012;0;992;j
XA-MER;aptincj992;p0p1;2013;0;992;j
XA-MER;aptincj992;p0p1;2014;0;992;j
XA-MER;aptincj992;p0p1;2015;0;992;j
XA-MER;aptincj992;p0p1;2016;0;992;j
XA-MER;aptincj992;p0p1;2017;0;992;j
XA-MER;aptincj992;p0p1;2018;0;992;j
XA-MER;aptincj992;p0p1;2019;0;992;j
XA-MER;aptincj992;p0p1;2020;-1.2;992;j
XA-MER;aptincj992;p0p1;2021;0;992;j
XA-MER;aptincj992;p0p100;1980;2657.9;992;j
XA-MER;aptincj992;p0p100;1981;2714.2;992;j
XA-MER;aptincj992;p0p100;1982;2776.5;992;j
XA-MER;aptincj992;p0p100;1983;2822.9;992;j
XA-MER;aptincj992;p0p100;1984;2930.2;992;j
XA-MER;aptincj992;p0p100;1985;3026.4;992;j
XA-MER;aptincj992;p0p100;1986;3083.8;992;j
XA-MER;aptincj992;p0p100;1987;3167.4;992;j
XA-MER;aptincj992;p0p100;1988;3277.1;992;j
XA-MER;aptincj992;p0p100;1989;3346.1;992;j
XA-MER;aptincj992;p0p100;1990;3393.8;992;j
XA-MER;aptincj992;p0p100;1991;3459.5;992;j
XA-MER;aptincj992;p0p100;1992;3476.3;992;j
XA-MER;aptincj992;p0p100;1993;3523.3;992;j
XA-MER;aptincj992;p0p100;1994;3598.5;992;j
XA-MER;aptincj992;p0p100;1995;3717.7;992;j
XA-MER;aptincj992;p0p100;1996;3772.2;992;j
XA-MER;aptincj992;p0p100;1997;3851.6;992;j
XA-MER;aptincj992;p0p100;1998;3698.9;992;j
XA-MER;aptincj992;p0p100;1999;3727.7;992;j
XA-MER;aptincj992;p0p100;2000;3866;992;j
XA-MER;aptincj992;p0p100;2001;3895.3;992;j
XA-MER;aptincj992;p0p100;2002;4030.6;992;j
XA-MER;aptincj992;p0p100;2003;4154.9;992;j
XA-MER;aptincj992;p0p100;2004;4364.6;992;j
XA-MER;aptincj992;p0p100;2005;4563.4;992;j
XA-MER;aptincj992;p0p100;2006;4812.9;992;j
XA-MER;aptincj992;p0p100;2007;5133.8;992;j
