country;variable;percentile;year;value;age;pop
XA;aptincj992;p0p1;1980;-372.1;992;j
XA;aptincj992;p0p1;1981;-400;992;j
XA;aptincj992;p0p1;1982;-259.6;992;j
XA;aptincj992;p0p1;1983;-313.3;992;j
XA;aptincj992;p0p1;1984;-339.2;992;j
XA;aptincj992;p0p1;1985;-507.1;992;j
XA;aptincj992;p0p1;1986;0;992;j
XA;aptincj992;p0p1;1987;0;992;j
XA;aptincj992;p0p1;1988;0;992;j
XA;aptincj992;p0p1;1989;0;992;j
XA;aptincj992;p0p1;1990;0;992;j
XA;aptincj992;p0p1;1991;0;992;j
XA;aptincj992;p0p1;1992;0;992;j
XA;aptincj992;p0p1;1993;0;992;j
XA;aptincj992;p0p1;1994;0;992;j
XA;aptincj992;p0p1;1995;-272.6;992;j
XA;aptincj992;p0p1;1996;-174.4;992;j
XA;aptincj992;p0p1;1997;-136.9;992;j
XA;aptincj992;p0p1;1998;-183.3;992;j
XA;aptincj992;p0p1;1999;-188.8;992;j
XA;aptincj992;p0p1;2000;-137.3;992;j
XA;aptincj992;p0p1;2001;-299.7;992;j
XA;aptincj992;p0p1;2002;-588.2;992;j
XA;aptincj992;p0p1;2003;-652.4;992;j
XA;aptincj992;p0p1;2004;-802.7;992;j
XA;aptincj992;p0p1;2005;-347.5;992;j
XA;aptincj992;p0p1;2006;0;992;j
XA;aptincj992;p0p1;2007;0;992;j
XA;aptincj992;p0p1;2008;0;992;j
XA;aptincj992;p0p1;2009;0;992;j
XA;aptincj992;p0p1;2010;0;992;j
XA;aptincj992;p0p1;2011;0;992;j
XA;aptincj992;p0p1;2012;0;992;j
XA;aptincj992;p0p1;2013;0;992;j
XA;aptincj992;p0p1;2014;0;992;j
XA;aptincj992;p0p1;2015;0;992;j
XA;aptincj992;p0p1;2016;0;992;j
XA;aptincj992;p0p1;2017;0;992;j
XA;aptincj992;p0p1;2018;0;992;j
XA;aptincj992;p0p1;2019;0;992;j
XA;aptincj992;p0p1;2020;0;992;j
XA;aptincj992;p0p1;2021;0;992;j
XA;aptincj992;p0p100;1980;3770.1;992;j
XA;aptincj992;p0p100;1981;3854.6;992;j
XA;aptincj992;p0p100;1982;3959.9;992;j
XA;aptincj992;p0p100;1983;4036.7;992;j
XA;aptincj992;p0p100;1984;4189.6;992;j
XA;aptincj992;p0p100;1985;4300;992;j
