country;variable;percentile;year;value;age;pop
XB;aptincj992;p0p1;1980;-187.8;992;j
XB;aptincj992;p0p1;1981;-304.8;992;j
XB;aptincj992;p0p1;1982;-516.7;992;j
XB;aptincj992;p0p1;1983;-709.9;992;j
XB;aptincj992;p0p1;1984;-566.9;992;j
XB;aptincj992;p0p1;1985;-672.3;992;j
XB;aptincj992;p0p1;1986;-945.6;992;j
XB;aptincj992;p0p1;1987;-817.6;992;j
XB;aptincj992;p0p1;1988;-1053.1;992;j
XB;aptincj992;p0p1;1989;-868.2;992;j
XB;aptincj992;p0p1;1990;-2022.2;992;j
XB;aptincj992;p0p1;1991;-866;992;j
XB;aptincj992;p0p1;1992;-891.2;992;j
XB;aptincj992;p0p1;1993;-721.2;992;j
XB;aptincj992;p0p1;1994;-604.1;992;j
XB;aptincj992;p0p1;1995;-622.5;992;j
XB;aptincj992;p0p1;1996;-577.1;992;j
XB;aptincj992;p0p1;1997;-585.5;992;j
XB;aptincj992;p0p1;1998;-632.7;992;j
XB;aptincj992;p0p1;1999;-546.4;992;j
XB;aptincj992;p0p1;2000;-603.8;992;j
XB;aptincj992;p0p1;2001;-613.1;992;j
XB;aptincj992;p0p1;2002;-543.6;992;j
XB;aptincj992;p0p1;2003;-678.3;992;j
XB;aptincj992;p0p1;2004;-691;992;j
XB;aptincj992;p0p1;2005;-869.3;992;j
XB;aptincj992;p0p1;2006;-964.8;992;j
XB;aptincj992;p0p1;2007;-945;992;j
XB;aptincj992;p0p1;2008;-1305.2;992;j
XB;aptincj992;p0p1;2009;-1587.9;992;j
XB;aptincj992;p0p1;2010;-1691.9;992;j
XB;aptincj992;p0p1;2011;-1599.4;992;j
XB;aptincj992;p0p1;2012;-1591.4;992;j
XB;aptincj992;p0p1;2013;-1588.7;992;j
XB;aptincj992;p0p1;2014;-1749.1;992;j
XB;aptincj992;p0p1;2015;-1846.3;992;j
XB;aptincj992;p0p1;2016;-1983.1;992;j
XB;aptincj992;p0p1;2017;-1771;992;j
XB;aptincj992;p0p1;2018;-1948.4;992;j
XB;aptincj992;p0p1;2019;-1952.4;992;j
XB;aptincj992;p0p1;2020;-2470.5;992;j
XB;aptincj992;p0p1;2021;-1584.3;992;j
XB;aptincj992;p0p100;1980;29518;992;j
XB;aptincj992;p0p100;1981;29787.9;992;j
XB;aptincj992;p0p100;1982;28786.5;992;j
XB;aptincj992;p0p100;1983;29238.1;992;j
XB;aptincj992;p0p100;1984;31118.8;992;j
XB;aptincj992;p0p100;1985;31770.9;992;j
