country;variable;percentile;year;value;age;pop
XF;aptincj992;p0p1;1980;-90.1;992;j
XF;aptincj992;p0p1;1981;-2588.3;992;j
XF;aptincj992;p0p1;1982;-4990;992;j
XF;aptincj992;p0p1;1983;-2592.3;992;j
XF;aptincj992;p0p1;1984;-3304.3;992;j
XF;aptincj992;p0p1;1985;-1322.4;992;j
XF;aptincj992;p0p1;1986;-1712.1;992;j
XF;aptincj992;p0p1;1987;-1309.5;992;j
XF;aptincj992;p0p1;1988;-1486.4;992;j
XF;aptincj992;p0p1;1989;0;992;j
XF;aptincj992;p0p1;1990;0;992;j
XF;aptincj992;p0p1;1991;0;992;j
XF;aptincj992;p0p1;1992;0;992;j
XF;aptincj992;p0p1;1993;0;992;j
XF;aptincj992;p0p1;1994;0;992;j
XF;aptincj992;p0p1;1995;0;992;j
XF;aptincj992;p0p1;1996;0;992;j
XF;aptincj992;p0p1;1997;0;992;j
XF;aptincj992;p0p1;1998;0;992;j
XF;aptincj992;p0p1;1999;0;992;j
XF;aptincj992;p0p1;2000;0;992;j
XF;aptincj992;p0p1;2001;0;992;j
XF;aptincj992;p0p1;2002;0;992;j
XF;aptincj992;p0p1;2003;0;992;j
XF;aptincj992;p0p1;2004;0;992;j
XF;aptincj992;p0p1;2005;0;992;j
XF;aptincj992;p0p1;2006;0;992;j
XF;aptincj992;p0p1;2007;0;992;j
XF;aptincj992;p0p1;2008;0;992;j
XF;aptincj992;p0p1;2009;0;992;j
XF;aptincj992;p0p1;2010;0;992;j
XF;aptincj992;p0p1;2011;0;992;j
XF;aptincj992;p0p1;2012;0;992;j
XF;aptincj992;p0p1;2013;0;992;j
XF;aptincj992;p0p1;2014;0;992;j
XF;aptincj992;p0p1;2015;0;992;j
XF;aptincj992;p0p1;2016;0;992;j
XF;aptincj992;p0p1;2017;0;992;j
XF;aptincj992;p0p1;2018;0;992;j
XF;aptincj992;p0p1;2019;0;992;j
XF;aptincj992;p0p1;2020;0;992;j
XF;aptincj992;p0p1;2021;0;992;j
XF;aptincj992;p0p100;1980;5171;992;j
XF;aptincj992;p0p100;1981;4965.2;992;j
XF;aptincj992;p0p100;1982;4764;992;j
XF;aptincj992;p0p100;1983;4521;992;j
XF;aptincj992;p0p100;1984;4496.4;992;j
XF;aptincj992;p0p100;1985;4447.3;992;j
XF;aptincj992;p0p100;1986;4425.5;992;j
XF;aptincj992;p0p100;1987;4438;992;j
XF;aptincj992;p0p100;1988;4505.3;992;j
XF;aptincj992;p0p100;1989;4502.7;992;j
XF;aptincj992;p0p100;1990;4451.6;992;j
XF;aptincj992;p0p100;1991;4376.9;992;j
XF;aptincj992;p0p100;1992;4271.5;992;j
XF;aptincj992;p0p100;1993;4230.9;992;j
XF;aptincj992;p0p100;1994;4178.5;992;j
XF;aptincj992;p0p100;1995;4230.8;992;j
XF;aptincj992;p0p100;1996;4319;992;j
XF;aptincj992;p0p100;1997;4402.7;992;j
XF;aptincj992;p0p100;1998;4403.1;992;j
XF;aptincj992;p0p100;1999;4316.3;992;j
XF;aptincj992;p0p100;2000;4316.7;992;j
XF;aptincj992;p0p100;2001;4416.5;992;j
XF;aptincj992;p0p100;2002;4579.1;992;j
XF;aptincj992;p0p100;2003;4655.6;992;j
XF;aptincj992;p0p100;2004;4803;992;j
XF;aptincj992;p0p100;2005;4986.8;992;j
XF;aptincj992;p0p100;2006;5137.8;992;j
XF;aptincj992;p0p100;2007;5258.6;992;j
XF;aptincj992;p0p100;2008;5331.2;992;j
XF;aptincj992;p0p100;2009;5371.5;992;j
XF;aptincj992;p0p100;2010;5539.9;992;j
XF;aptincj992;p0p100;2011;5625.1;992;j
XF;aptincj992;p0p100;2012;5668.2;992;j
XF;aptincj992;p0p100;2013;5750;992;j
XF;aptincj992;p0p100;2014;5886.9;992;j
XF;aptincj992;p0p100;2015;5896.5;992;j
XF;aptincj992;p0p100;2016;5796.3;992;j
XF;aptincj992;p0p100;2017;5752.1;992;j
XF;aptincj992;p0p100;2018;5738.5;992;j
XF;aptincj992;p0p100;2019;5694.3;992;j
XF;aptincj992;p0p100;2020;5451.2;992;j
XF;aptincj992;p0p100;2021;5474;992;j
XF;aptincj992;p0p50;1980;765.1;992;j
XF;aptincj992;p0p50;1981;702.7;992;j
XF;aptincj992;p0p50;1982;641.6;992;j
XF;aptincj992;p0p50;1983;659.2;992;j
XF;aptincj992;p0p50;1984;618.8;992;j
XF;aptincj992;p0p50;1985;664.6;992;j
XF;aptincj992;p0p50;1986;662.8;992;j
XF;aptincj992;p0p50;1987;670;992;j
XF;aptincj992;p0p50;1988;668.4;992;j
XF;aptincj992;p0p50;1989;698.5;992;j
XF;aptincj992;p0p50;1990;686.2;992;j
XF;aptincj992;p0p50;1991;660.9;992;j
XF;aptincj992;p0p50;1992;639.6;992;j
XF;aptincj992;p0p50;1993;637.5;992;j
XF;aptincj992;p0p50;1994;625.6;992;j
XF;aptincj992;p0p50;1995;639.7;992;j
XF;aptincj992;p0p50;1996;664.8;992;j
XF;aptincj992;p0p50;1997;680;992;j
XF;aptincj992;p0p50;1998;690.6;992;j
XF;aptincj992;p0p50;1999;696.6;992;j
XF;aptincj992;p0p50;2000;696.8;992;j
XF;aptincj992;p0p50;2001;707.6;992;j
XF;aptincj992;p0p50;2002;719.5;992;j
XF;aptincj992;p0p50;2003;736.9;992;j
XF;aptincj992;p0p50;2004;764.2;992;j
XF;aptincj992;p0p50;2005;798.6;992;j
XF;aptincj992;p0p50;2006;825.1;992;j
XF;aptincj992;p0p50;2007;850.6;992;j
XF;aptincj992;p0p50;2008;879.9;992;j
XF;aptincj992;p0p50;2009;892;992;j
XF;aptincj992;p0p50;2010;916.2;992;j
XF;aptincj992;p0p50;2011;939.7;992;j
XF;aptincj992;p0p50;2012;957;992;j
XF;aptincj992;p0p50;2013;969;992;j
XF;aptincj992;p0p50;2014;1001.3;992;j
XF;aptincj992;p0p50;2015;1009.1;992;j
XF;aptincj992;p0p50;2016;999.6;992;j
XF;aptincj992;p0p50;2017;1012.5;992;j
XF;aptincj992;p0p50;2018;1025.8;992;j
XF;aptincj992;p0p50;2019;1030;992;j
XF;aptincj992;p0p50;2020;1000.2;992;j
XF;aptincj992;p0p50;2021;1004;992;j
XF;aptincj992;p10p100;1980;5741.4;992;j
XF;aptincj992;p10p100;1981;5540.4;992;j
XF;aptincj992;p10p100;1982;5343.7;992;j
XF;aptincj992;p10p100;1983;5047.2;992;j
XF;aptincj992;p10p100;1984;5027.9;992;j
XF;aptincj992;p10p100;1985;4951.4;992;j
XF;aptincj992;p10p100;1986;4931.4;992;j
XF;aptincj992;p10p100;1987;4940.8;992;j
XF;aptincj992;p10p100;1988;5017.5;992;j
XF;aptincj992;p10p100;1989;4998;992;j
XF;aptincj992;p10p100;1990;4941.2;992;j
XF;aptincj992;p10p100;1991;4858.3;992;j
XF;aptincj992;p10p100;1992;4741.2;992;j
XF;aptincj992;p10p100;1993;4696;992;j
XF;aptincj992;p10p100;1994;4637.9;992;j
XF;aptincj992;p10p100;1995;4695.9;992;j
XF;aptincj992;p10p100;1996;4793.6;992;j
XF;aptincj992;p10p100;1997;4886.4;992;j
XF;aptincj992;p10p100;1998;4886.8;992;j
XF;aptincj992;p10p100;1999;4790.1;992;j
XF;aptincj992;p10p100;2000;4790.6;992;j
XF;aptincj992;p10p100;2001;4901.3;992;j
XF;aptincj992;p10p100;2002;5081.9;992;j
XF;aptincj992;p10p100;2003;5166.7;992;j
XF;aptincj992;p10p100;2004;5330.2;992;j
XF;aptincj992;p10p100;2005;5534.1;992;j
XF;aptincj992;p10p100;2006;5701.7;992;j
XF;aptincj992;p10p100;2007;5835.7;992;j
XF;aptincj992;p10p100;2008;5916.1;992;j
XF;aptincj992;p10p100;2009;5960.8;992;j
XF;aptincj992;p10p100;2010;6148.4;992;j
XF;aptincj992;p10p100;2011;6242.5;992;j
XF;aptincj992;p10p100;2012;6290.2;992;j
XF;aptincj992;p10p100;2013;6381;992;j
XF;aptincj992;p10p100;2014;6532.9;992;j
XF;aptincj992;p10p100;2015;6543.5;992;j
XF;aptincj992;p10p100;2016;6432.2;992;j
XF;aptincj992;p10p100;2017;6383;992;j
XF;aptincj992;p10p100;2018;6367.9;992;j
XF;aptincj992;p10p100;2019;6318.7;992;j
XF;aptincj992;p10p100;2020;6048.9;992;j
XF;aptincj992;p10p100;2021;6074.2;992;j
XF;aptincj992;p10p11;1980;199.9;992;j
XF;aptincj992;p10p11;1981;201;992;j
XF;aptincj992;p10p11;1982;197.8;992;j
XF;aptincj992;p10p11;1983;184.8;992;j
XF;aptincj992;p10p11;1984;179.2;992;j
XF;aptincj992;p10p11;1985;178.7;992;j
XF;aptincj992;p10p11;1986;180.4;992;j
XF;aptincj992;p10p11;1987;184.1;992;j
XF;aptincj992;p10p11;1988;187.2;992;j
XF;aptincj992;p10p11;1989;193.2;992;j
XF;aptincj992;p10p11;1990;189.9;992;j
XF;aptincj992;p10p11;1991;187.2;992;j
XF;aptincj992;p10p11;1992;182.1;992;j
XF;aptincj992;p10p11;1993;187.4;992;j
XF;aptincj992;p10p11;1994;185;992;j
XF;aptincj992;p10p11;1995;187.4;992;j
XF;aptincj992;p10p11;1996;199.4;992;j
XF;aptincj992;p10p11;1997;208.1;992;j
XF;aptincj992;p10p11;1998;214.2;992;j
XF;aptincj992;p10p11;1999;224.6;992;j
XF;aptincj992;p10p11;2000;223.1;992;j
XF;aptincj992;p10p11;2001;226.5;992;j
XF;aptincj992;p10p11;2002;228.8;992;j
XF;aptincj992;p10p11;2003;238.4;992;j
XF;aptincj992;p10p11;2004;248.7;992;j
XF;aptincj992;p10p11;2005;260.5;992;j
XF;aptincj992;p10p11;2006;271.4;992;j
XF;aptincj992;p10p11;2007;279.1;992;j
XF;aptincj992;p10p11;2008;292.6;992;j
XF;aptincj992;p10p11;2009;291.8;992;j
XF;aptincj992;p10p11;2010;277.6;992;j
XF;aptincj992;p10p11;2011;291.9;992;j
XF;aptincj992;p10p11;2012;309.2;992;j
XF;aptincj992;p10p11;2013;309.3;992;j
XF;aptincj992;p10p11;2014;314.8;992;j
XF;aptincj992;p10p11;2015;317.1;992;j
XF;aptincj992;p10p11;2016;312.5;992;j
XF;aptincj992;p10p11;2017;313.9;992;j
XF;aptincj992;p10p11;2018;318;992;j
XF;aptincj992;p10p11;2019;320.5;992;j
XF;aptincj992;p10p11;2020;310.4;992;j
XF;aptincj992;p10p11;2021;311.4;992;j
XF;aptincj992;p11p100;1980;5803.6;992;j
XF;aptincj992;p11p100;1981;5600.4;992;j
XF;aptincj992;p11p100;1982;5401.5;992;j
XF;aptincj992;p11p100;1983;5101.9;992;j
XF;aptincj992;p11p100;1984;5082.4;992;j
XF;aptincj992;p11p100;1985;5005;992;j
XF;aptincj992;p11p100;1986;4984.8;992;j
XF;aptincj992;p11p100;1987;4994.2;992;j
XF;aptincj992;p11p100;1988;5071.8;992;j
XF;aptincj992;p11p100;1989;5052;992;j
XF;aptincj992;p11p100;1990;4994.6;992;j
XF;aptincj992;p11p100;1991;4910.8;992;j
XF;aptincj992;p11p100;1992;4792.5;992;j
XF;aptincj992;p11p100;1993;4746.6;992;j
XF;aptincj992;p11p100;1994;4687.9;992;j
XF;aptincj992;p11p100;1995;4746.6;992;j
XF;aptincj992;p11p100;1996;4845.3;992;j
XF;aptincj992;p11p100;1997;4938.9;992;j
XF;aptincj992;p11p100;1998;4939.3;992;j
XF;aptincj992;p11p100;1999;4841.4;992;j
XF;aptincj992;p11p100;2000;4841.9;992;j
XF;aptincj992;p11p100;2001;4953.9;992;j
XF;aptincj992;p11p100;2002;5136.4;992;j
XF;aptincj992;p11p100;2003;5222;992;j
XF;aptincj992;p11p100;2004;5387.3;992;j
XF;aptincj992;p11p100;2005;5593.4;992;j
XF;aptincj992;p11p100;2006;5762.7;992;j
XF;aptincj992;p11p100;2007;5898.2;992;j
XF;aptincj992;p11p100;2008;5979.3;992;j
XF;aptincj992;p11p100;2009;6024.5;992;j
XF;aptincj992;p11p100;2010;6214.4;992;j
XF;aptincj992;p11p100;2011;6309.4;992;j
XF;aptincj992;p11p100;2012;6357.4;992;j
XF;aptincj992;p11p100;2013;6449.3;992;j
XF;aptincj992;p11p100;2014;6602.8;992;j
XF;aptincj992;p11p100;2015;6613.5;992;j
XF;aptincj992;p11p100;2016;6501;992;j
XF;aptincj992;p11p100;2017;6451.2;992;j
XF;aptincj992;p11p100;2018;6435.9;992;j
XF;aptincj992;p11p100;2019;6386;992;j
XF;aptincj992;p11p100;2020;6113.4;992;j
XF;aptincj992;p11p100;2021;6138.9;992;j
XF;aptincj992;p11p12;1980;240.8;992;j
XF;aptincj992;p11p12;1981;236.1;992;j
XF;aptincj992;p11p12;1982;232.1;992;j
XF;aptincj992;p11p12;1983;222.3;992;j
XF;aptincj992;p11p12;1984;215.1;992;j
XF;aptincj992;p11p12;1985;215;992;j
XF;aptincj992;p11p12;1986;222.7;992;j
XF;aptincj992;p11p12;1987;222.7;992;j
XF;aptincj992;p11p12;1988;226.3;992;j
XF;aptincj992;p11p12;1989;228.8;992;j
XF;aptincj992;p11p12;1990;227.2;992;j
XF;aptincj992;p11p12;1991;221.8;992;j
XF;aptincj992;p11p12;1992;216.9;992;j
XF;aptincj992;p11p12;1993;221.3;992;j
XF;aptincj992;p11p12;1994;217.2;992;j
XF;aptincj992;p11p12;1995;222;992;j
XF;aptincj992;p11p12;1996;233.5;992;j
XF;aptincj992;p11p12;1997;244.4;992;j
XF;aptincj992;p11p12;1998;249.5;992;j
XF;aptincj992;p11p12;1999;258.1;992;j
XF;aptincj992;p11p12;2000;257.9;992;j
XF;aptincj992;p11p12;2001;263;992;j
XF;aptincj992;p11p12;2002;269.3;992;j
XF;aptincj992;p11p12;2003;280.8;992;j
XF;aptincj992;p11p12;2004;289;992;j
XF;aptincj992;p11p12;2005;302.8;992;j
XF;aptincj992;p11p12;2006;312;992;j
XF;aptincj992;p11p12;2007;322;992;j
XF;aptincj992;p11p12;2008;335.8;992;j
XF;aptincj992;p11p12;2009;335;992;j
XF;aptincj992;p11p12;2010;330.1;992;j
XF;aptincj992;p11p12;2011;345.3;992;j
XF;aptincj992;p11p12;2012;358.1;992;j
XF;aptincj992;p11p12;2013;358.8;992;j
XF;aptincj992;p11p12;2014;370.2;992;j
XF;aptincj992;p11p12;2015;371.4;992;j
XF;aptincj992;p11p12;2016;365.9;992;j
XF;aptincj992;p11p12;2017;370.4;992;j
XF;aptincj992;p11p12;2018;373.6;992;j
XF;aptincj992;p11p12;2019;374.1;992;j
XF;aptincj992;p11p12;2020;362.7;992;j
XF;aptincj992;p11p12;2021;361.4;992;j
XF;aptincj992;p12p100;1980;5866.9;992;j
XF;aptincj992;p12p100;1981;5661.4;992;j
XF;aptincj992;p12p100;1982;5460.3;992;j
XF;aptincj992;p12p100;1983;5157.3;992;j
