country;variable;percentile;year;value;age;pop
XL-MER;aptincj992;p0p1;1980;0;992;j
XL-MER;aptincj992;p0p1;1981;0;992;j
XL-MER;aptincj992;p0p1;1982;0;992;j
XL-MER;aptincj992;p0p1;1983;0;992;j
XL-MER;aptincj992;p0p1;1984;0;992;j
XL-MER;aptincj992;p0p1;1985;0;992;j
XL-MER;aptincj992;p0p1;1986;0;992;j
XL-MER;aptincj992;p0p1;1987;0;992;j
XL-MER;aptincj992;p0p1;1988;0;992;j
XL-MER;aptincj992;p0p1;1989;0;992;j
XL-MER;aptincj992;p0p1;1990;0;992;j
XL-MER;aptincj992;p0p1;1991;0;992;j
XL-MER;aptincj992;p0p1;1992;0;992;j
XL-MER;aptincj992;p0p1;1993;0;992;j
XL-MER;aptincj992;p0p1;1994;0;992;j
XL-MER;aptincj992;p0p1;1995;0;992;j
XL-MER;aptincj992;p0p1;1996;0;992;j
XL-MER;aptincj992;p0p1;1997;-5647.3;992;j
XL-MER;aptincj992;p0p1;1998;-332.1;992;j
XL-MER;aptincj992;p0p1;1999;0;992;j
XL-MER;aptincj992;p0p1;2000;0;992;j
XL-MER;aptincj992;p0p1;2001;0;992;j
XL-MER;aptincj992;p0p1;2002;0;992;j
XL-MER;aptincj992;p0p1;2003;-0.1;992;j
XL-MER;aptincj992;p0p1;2004;0;992;j
XL-MER;aptincj992;p0p1;2005;0;992;j
XL-MER;aptincj992;p0p1;2006;0;992;j
XL-MER;aptincj992;p0p1;2007;0;992;j
XL-MER;aptincj992;p0p1;2008;0;992;j
XL-MER;aptincj992;p0p1;2009;0;992;j
XL-MER;aptincj992;p0p1;2010;0;992;j
XL-MER;aptincj992;p0p1;2011;-14.2;992;j
XL-MER;aptincj992;p0p1;2012;-7;992;j
XL-MER;aptincj992;p0p1;2013;0;992;j
XL-MER;aptincj992;p0p1;2014;0;992;j
XL-MER;aptincj992;p0p1;2015;0;992;j
XL-MER;aptincj992;p0p1;2016;0;992;j
XL-MER;aptincj992;p0p1;2017;0;992;j
XL-MER;aptincj992;p0p1;2018;0;992;j
XL-MER;aptincj992;p0p1;2019;0;992;j
XL-MER;aptincj992;p0p1;2020;0;992;j
XL-MER;aptincj992;p0p1;2021;0;992;j
XL-MER;aptincj992;p0p100;1980;8775.6;992;j
XL-MER;aptincj992;p0p100;1981;8594.1;992;j
XL-MER;aptincj992;p0p100;1982;8168.9;992;j
XL-MER;aptincj992;p0p100;1983;7636.6;992;j
XL-MER;aptincj992;p0p100;1984;7711.4;992;j
XL-MER;aptincj992;p0p100;1985;7767.4;992;j
XL-MER;aptincj992;p0p100;1986;7814.2;992;j
XL-MER;aptincj992;p0p100;1987;7929.4;992;j
XL-MER;aptincj992;p0p100;1988;7855.2;992;j
XL-MER;aptincj992;p0p100;1989;7747.4;992;j
XL-MER;aptincj992;p0p100;1990;7622.1;992;j
XL-MER;aptincj992;p0p100;1991;7716.4;992;j
XL-MER;aptincj992;p0p100;1992;7693.7;992;j
XL-MER;aptincj992;p0p100;1993;8066.7;992;j
XL-MER;aptincj992;p0p100;1994;8274.7;992;j
XL-MER;aptincj992;p0p100;1995;8075.6;992;j
XL-MER;aptincj992;p0p100;1996;8112.6;992;j
XL-MER;aptincj992;p0p100;1997;8402.8;992;j
XL-MER;aptincj992;p0p100;1998;8346.7;992;j
XL-MER;aptincj992;p0p100;1999;8138.3;992;j
XL-MER;aptincj992;p0p100;2000;8390.1;992;j
XL-MER;aptincj992;p0p100;2001;8239.8;992;j
XL-MER;aptincj992;p0p100;2002;7980.6;992;j
XL-MER;aptincj992;p0p100;2003;7851.5;992;j
XL-MER;aptincj992;p0p100;2004;8189.6;992;j
XL-MER;aptincj992;p0p100;2005;8424.3;992;j
XL-MER;aptincj992;p0p100;2006;8711.5;992;j
XL-MER;aptincj992;p0p100;2007;9031.4;992;j
XL-MER;aptincj992;p0p100;2008;9273.5;992;j
XL-MER;aptincj992;p0p100;2009;8927.2;992;j
XL-MER;aptincj992;p0p100;2010;9223.3;992;j
XL-MER;aptincj992;p0p100;2011;9507.1;992;j
XL-MER;aptincj992;p0p100;2012;9658.6;992;j
XL-MER;aptincj992;p0p100;2013;9785;992;j
XL-MER;aptincj992;p0p100;2014;9695.6;992;j
XL-MER;aptincj992;p0p100;2015;9595.5;992;j
XL-MER;aptincj992;p0p100;2016;9200.9;992;j
XL-MER;aptincj992;p0p100;2017;9195.2;992;j
XL-MER;aptincj992;p0p100;2018;8934.3;992;j
XL-MER;aptincj992;p0p100;2019;8668.9;992;j
XL-MER;aptincj992;p0p100;2020;7934.4;992;j
XL-MER;aptincj992;p0p100;2021;8457.2;992;j
XL-MER;aptincj992;p0p50;1980;1245.4;992;j
XL-MER;aptincj992;p0p50;1981;1198.7;992;j
XL-MER;aptincj992;p0p50;1982;1137.8;992;j
XL-MER;aptincj992;p0p50;1983;1066.9;992;j
XL-MER;aptincj992;p0p50;1984;1074.9;992;j
XL-MER;aptincj992;p0p50;1985;1089.4;992;j
XL-MER;aptincj992;p0p50;1986;1109;992;j
XL-MER;aptincj992;p0p50;1987;1131.4;992;j
XL-MER;aptincj992;p0p50;1988;1109;992;j
XL-MER;aptincj992;p0p50;1989;1108.3;992;j
XL-MER;aptincj992;p0p50;1990;1074.1;992;j
XL-MER;aptincj992;p0p50;1991;1079.5;992;j
XL-MER;aptincj992;p0p50;1992;1075.8;992;j
XL-MER;aptincj992;p0p50;1993;1119.7;992;j
XL-MER;aptincj992;p0p50;1994;1159.9;992;j
XL-MER;aptincj992;p0p50;1995;1152.1;992;j
XL-MER;aptincj992;p0p50;1996;1153;992;j
XL-MER;aptincj992;p0p50;1997;1058.2;992;j
XL-MER;aptincj992;p0p50;1998;1155.5;992;j
XL-MER;aptincj992;p0p50;1999;1134.7;992;j
XL-MER;aptincj992;p0p50;2000;1175;992;j
XL-MER;aptincj992;p0p50;2001;1117.9;992;j
