country;variable;percentile;year;value;age;pop
XL;aptincj992;p0p1;1980;0;992;j
XL;aptincj992;p0p1;1981;0;992;j
XL;aptincj992;p0p1;1982;0;992;j
XL;aptincj992;p0p1;1983;0;992;j
XL;aptincj992;p0p1;1984;0;992;j
XL;aptincj992;p0p1;1985;0;992;j
XL;aptincj992;p0p1;1986;0;992;j
XL;aptincj992;p0p1;1987;0;992;j
XL;aptincj992;p0p1;1988;0;992;j
XL;aptincj992;p0p1;1989;0;992;j
XL;aptincj992;p0p1;1990;0;992;j
XL;aptincj992;p0p1;1991;0;992;j
XL;aptincj992;p0p1;1992;0;992;j
XL;aptincj992;p0p1;1993;0;992;j
XL;aptincj992;p0p1;1994;0;992;j
XL;aptincj992;p0p1;1995;0;992;j
XL;aptincj992;p0p1;1996;0;992;j
XL;aptincj992;p0p1;1997;-9970.4;992;j
XL;aptincj992;p0p1;1998;-572.2;992;j
XL;aptincj992;p0p1;1999;0;992;j
XL;aptincj992;p0p1;2000;0;992;j
XL;aptincj992;p0p1;2001;0;992;j
XL;aptincj992;p0p1;2002;0;992;j
XL;aptincj992;p0p1;2003;-0.1;992;j
XL;aptincj992;p0p1;2004;0;992;j
XL;aptincj992;p0p1;2005;0;992;j
XL;aptincj992;p0p1;2006;0;992;j
XL;aptincj992;p0p1;2007;0;992;j
XL;aptincj992;p0p1;2008;0;992;j
XL;aptincj992;p0p1;2009;0;992;j
XL;aptincj992;p0p1;2010;0;992;j
XL;aptincj992;p0p1;2011;-15.4;992;j
XL;aptincj992;p0p1;2012;0;992;j
XL;aptincj992;p0p1;2013;0;992;j
XL;aptincj992;p0p1;2014;0;992;j
XL;aptincj992;p0p1;2015;0;992;j
XL;aptincj992;p0p1;2016;0;992;j
XL;aptincj992;p0p1;2017;0;992;j
XL;aptincj992;p0p1;2018;0;992;j
XL;aptincj992;p0p1;2019;0;992;j
XL;aptincj992;p0p1;2020;0;992;j
XL;aptincj992;p0p1;2021;0;992;j
XL;aptincj992;p0p100;1980;14613.9;992;j
XL;aptincj992;p0p100;1981;14108.6;992;j
XL;aptincj992;p0p100;1982;13333.6;992;j
XL;aptincj992;p0p100;1983;12462.6;992;j
XL;aptincj992;p0p100;1984;12554;992;j
XL;aptincj992;p0p100;1985;12689.9;992;j
XL;aptincj992;p0p100;1986;12788.6;992;j
XL;aptincj992;p0p100;1987;13063;992;j
XL;aptincj992;p0p100;1988;12866.9;992;j
XL;aptincj992;p0p100;1989;12782.3;992;j
XL;aptincj992;p0p100;1990;12505.8;992;j
XL;aptincj992;p0p100;1991;12734.6;992;j
XL;aptincj992;p0p100;1992;12808.7;992;j
XL;aptincj992;p0p100;1993;13589.4;992;j
XL;aptincj992;p0p100;1994;13992.7;992;j
XL;aptincj992;p0p100;1995;13636.6;992;j
XL;aptincj992;p0p100;1996;13693.8;992;j
XL;aptincj992;p0p100;1997;14106.1;992;j
XL;aptincj992;p0p100;1998;14065.1;992;j
XL;aptincj992;p0p100;1999;13735.2;992;j
XL;aptincj992;p0p100;2000;14168.6;992;j
XL;aptincj992;p0p100;2001;13941;992;j
XL;aptincj992;p0p100;2002;13506.2;992;j
XL;aptincj992;p0p100;2003;13265.1;992;j
XL;aptincj992;p0p100;2004;13861.1;992;j
XL;aptincj992;p0p100;2005;14199.7;992;j
XL;aptincj992;p0p100;2006;14640.1;992;j
XL;aptincj992;p0p100;2007;15159;992;j
XL;aptincj992;p0p100;2008;15538.9;992;j
XL;aptincj992;p0p100;2009;14860.7;992;j
XL;aptincj992;p0p100;2010;15482.1;992;j
XL;aptincj992;p0p100;2011;15951.9;992;j
XL;aptincj992;p0p100;2012;16174.4;992;j
XL;aptincj992;p0p100;2013;16459;992;j
XL;aptincj992;p0p100;2014;16356.2;992;j
XL;aptincj992;p0p100;2015;16091.7;992;j
XL;aptincj992;p0p100;2016;15592.3;992;j
XL;aptincj992;p0p100;2017;15464.1;992;j
XL;aptincj992;p0p100;2018;15213.1;992;j
XL;aptincj992;p0p100;2019;14868.1;992;j
XL;aptincj992;p0p100;2020;13594.7;992;j
XL;aptincj992;p0p100;2021;13959.5;992;j
XL;aptincj992;p0p50;1980;2189.7;992;j
XL;aptincj992;p0p50;1981;2113.7;992;j
XL;aptincj992;p0p50;1982;1993;992;j
XL;aptincj992;p0p50;1983;1860.6;992;j
XL;aptincj992;p0p50;1984;1861.2;992;j
XL;aptincj992;p0p50;1985;1895.4;992;j
XL;aptincj992;p0p50;1986;1933.9;992;j
XL;aptincj992;p0p50;1987;1978.8;992;j
XL;aptincj992;p0p50;1988;1942.2;992;j
XL;aptincj992;p0p50;1989;1942.4;992;j
