country;variable;percentile;year;value;age;pop
XR;aptincj992;p0p1;1980;0;992;j
XR;aptincj992;p0p1;1981;0;992;j
XR;aptincj992;p0p1;1982;0;992;j
XR;aptincj992;p0p1;1983;-88.7;992;j
XR;aptincj992;p0p1;1984;0;992;j
XR;aptincj992;p0p1;1985;-83.8;992;j
XR;aptincj992;p0p1;1986;-69.8;992;j
XR;aptincj992;p0p1;1987;-60.2;992;j
XR;aptincj992;p0p1;1988;0;992;j
XR;aptincj992;p0p1;1989;-57.1;992;j
XR;aptincj992;p0p1;1990;0;992;j
XR;aptincj992;p0p1;1991;-96.8;992;j
XR;aptincj992;p0p1;1992;0;992;j
XR;aptincj992;p0p1;1993;0;992;j
XR;aptincj992;p0p1;1994;0;992;j
XR;aptincj992;p0p1;1995;0;992;j
XR;aptincj992;p0p1;1996;0;992;j
XR;aptincj992;p0p1;1997;0;992;j
XR;aptincj992;p0p1;1998;0;992;j
XR;aptincj992;p0p1;1999;0;992;j
XR;aptincj992;p0p1;2000;0;992;j
XR;aptincj992;p0p1;2001;0;992;j
XR;aptincj992;p0p1;2002;0;992;j
XR;aptincj992;p0p1;2003;0;992;j
XR;aptincj992;p0p1;2004;0;992;j
XR;aptincj992;p0p1;2005;0;992;j
XR;aptincj992;p0p1;2006;0;992;j
XR;aptincj992;p0p1;2007;0;992;j
XR;aptincj992;p0p1;2008;0;992;j
XR;aptincj992;p0p1;2009;0;992;j
XR;aptincj992;p0p1;2010;0;992;j
XR;aptincj992;p0p1;2011;0;992;j
XR;aptincj992;p0p1;2012;0;992;j
XR;aptincj992;p0p1;2013;0;992;j
XR;aptincj992;p0p1;2014;0;992;j
XR;aptincj992;p0p1;2015;0;992;j
XR;aptincj992;p0p1;2016;0;992;j
XR;aptincj992;p0p1;2017;0;992;j
XR;aptincj992;p0p1;2018;0;992;j
XR;aptincj992;p0p1;2019;0;992;j
XR;aptincj992;p0p1;2020;0;992;j
XR;aptincj992;p0p1;2021;0;992;j
XR;aptincj992;p0p100;1980;15419.2;992;j
XR;aptincj992;p0p100;1981;15411;992;j
XR;aptincj992;p0p100;1982;15423.4;992;j
XR;aptincj992;p0p100;1983;15499.8;992;j
XR;aptincj992;p0p100;1984;15437.6;992;j
XR;aptincj992;p0p100;1985;15492;992;j
XR;aptincj992;p0p100;1986;15539.2;992;j
XR;aptincj992;p0p100;1987;15311.5;992;j
XR;aptincj992;p0p100;1988;15687.8;992;j
XR;aptincj992;p0p100;1989;15939.9;992;j
XR;aptincj992;p0p100;1990;15541.5;992;j
XR;aptincj992;p0p100;1991;15600.7;992;j
XR;aptincj992;p0p100;1992;12853.3;992;j
XR;aptincj992;p0p100;1993;11240.2;992;j
XR;aptincj992;p0p100;1994;9280.3;992;j
XR;aptincj992;p0p100;1995;8050.5;992;j
XR;aptincj992;p0p100;1996;8497.7;992;j
XR;aptincj992;p0p100;1997;8619.2;992;j
XR;aptincj992;p0p100;1998;8243.9;992;j
XR;aptincj992;p0p100;1999;8985.8;992;j
XR;aptincj992;p0p100;2000;9868.9;992;j
XR;aptincj992;p0p100;2001;10548.2;992;j
XR;aptincj992;p0p100;2002;11029.7;992;j
XR;aptincj992;p0p100;2003;11686.2;992;j
XR;aptincj992;p0p100;2004;12778;992;j
XR;aptincj992;p0p100;2005;13531.1;992;j
XR;aptincj992;p0p100;2006;14601.1;992;j
XR;aptincj992;p0p100;2007;15881.4;992;j
XR;aptincj992;p0p100;2008;16595.9;992;j
XR;aptincj992;p0p100;2009;15053.8;992;j
XR;aptincj992;p0p100;2010;15649.7;992;j
XR;aptincj992;p0p100;2011;16689;992;j
XR;aptincj992;p0p100;2012;17103.9;992;j
XR;aptincj992;p0p100;2013;17199.6;992;j
XR;aptincj992;p0p100;2014;17227.2;992;j
XR;aptincj992;p0p100;2015;16848.3;992;j
XR;aptincj992;p0p100;2016;16242.8;992;j
XR;aptincj992;p0p100;2017;16605.1;992;j
XR;aptincj992;p0p100;2018;17249.3;992;j
XR;aptincj992;p0p100;2019;17612.1;992;j
XR;aptincj992;p0p100;2020;17048.6;992;j
XR;aptincj992;p0p100;2021;17686;992;j
XR;aptincj992;p0p50;1980;6464.4;992;j
XR;aptincj992;p0p50;1981;6395.1;992;j
XR;aptincj992;p0p50;1982;6327.1;992;j
XR;aptincj992;p0p50;1983;6287.4;992;j
XR;aptincj992;p0p50;1984;6220.6;992;j
XR;aptincj992;p0p50;1985;6208.4;992;j
XR;aptincj992;p0p50;1986;6153.3;992;j
XR;aptincj992;p0p50;1987;6054.4;992;j
XR;aptincj992;p0p50;1988;6199.3;992;j
XR;aptincj992;p0p50;1989;6241.1;992;j
XR;aptincj992;p0p50;1990;6273.5;992;j
XR;aptincj992;p0p50;1991;6053.3;992;j
XR;aptincj992;p0p50;1992;4355.9;992;j
XR;aptincj992;p0p50;1993;3605.9;992;j
