country;variable;percentile;year;value;age;pop
XS;aptincj992;p0p1;1980;0;992;j
XS;aptincj992;p0p1;1981;0;992;j
XS;aptincj992;p0p1;1982;0;992;j
XS;aptincj992;p0p1;1983;0;992;j
XS;aptincj992;p0p1;1984;0;992;j
XS;aptincj992;p0p1;1985;0;992;j
XS;aptincj992;p0p1;1986;0;992;j
XS;aptincj992;p0p1;1987;0;992;j
XS;aptincj992;p0p1;1988;0;992;j
XS;aptincj992;p0p1;1989;0;992;j
XS;aptincj992;p0p1;1990;0;992;j
XS;aptincj992;p0p1;1991;0;992;j
XS;aptincj992;p0p1;1992;0;992;j
XS;aptincj992;p0p1;1993;0;992;j
XS;aptincj992;p0p1;1994;0;992;j
XS;aptincj992;p0p1;1995;0;992;j
XS;aptincj992;p0p1;1996;0;992;j
XS;aptincj992;p0p1;1997;0;992;j
XS;aptincj992;p0p1;1998;0;992;j
XS;aptincj992;p0p1;1999;0;992;j
XS;aptincj992;p0p1;2000;0;992;j
XS;aptincj992;p0p1;2001;0;992;j
XS;aptincj992;p0p1;2002;0;992;j
XS;aptincj992;p0p1;2003;0;992;j
XS;aptincj992;p0p1;2004;0;992;j
XS;aptincj992;p0p1;2005;0;992;j
XS;aptincj992;p0p1;2006;0;992;j
XS;aptincj992;p0p1;2007;0;992;j
XS;aptincj992;p0p1;2008;0;992;j
XS;aptincj992;p0p1;2009;0;992;j
XS;aptincj992;p0p1;2010;0;992;j
XS;aptincj992;p0p1;2011;0;992;j
XS;aptincj992;p0p1;2012;0;992;j
XS;aptincj992;p0p1;2013;0;992;j
XS;aptincj992;p0p1;2014;0;992;j
XS;aptincj992;p0p1;2015;0;992;j
XS;aptincj992;p0p1;2016;0;992;j
XS;aptincj992;p0p1;2017;0;992;j
XS;aptincj992;p0p1;2018;0;992;j
XS;aptincj992;p0p1;2019;0;992;j
XS;aptincj992;p0p1;2020;0;992;j
XS;aptincj992;p0p1;2021;0;992;j
XS;aptincj992;p0p100;1980;2542.2;992;j
XS;aptincj992;p0p100;1981;2602.8;992;j
XS;aptincj992;p0p100;1982;2645.2;992;j
XS;aptincj992;p0p100;1983;2687.6;992;j
XS;aptincj992;p0p100;1984;2750.8;992;j
XS;aptincj992;p0p100;1985;2743.4;992;j
XS;aptincj992;p0p100;1986;2772.8;992;j
XS;aptincj992;p0p100;1987;2862.9;992;j
XS;aptincj992;p0p100;1988;2944.6;992;j
XS;aptincj992;p0p100;1989;3108.1;992;j
XS;aptincj992;p0p100;1990;3220.6;992;j
XS;aptincj992;p0p100;1991;3309.2;992;j
XS;aptincj992;p0p100;1992;3337.5;992;j
XS;aptincj992;p0p100;1993;3452.3;992;j
XS;aptincj992;p0p100;1994;3561.8;992;j
XS;aptincj992;p0p100;1995;3713.6;992;j
XS;aptincj992;p0p100;1996;3852.3;992;j
XS;aptincj992;p0p100;1997;3983.6;992;j
XS;aptincj992;p0p100;1998;3872.7;992;j
XS;aptincj992;p0p100;1999;3880.9;992;j
XS;aptincj992;p0p100;2000;4150.7;992;j
XS;aptincj992;p0p100;2001;4187.4;992;j
XS;aptincj992;p0p100;2002;4266.3;992;j
XS;aptincj992;p0p100;2003;4373.4;992;j
XS;aptincj992;p0p100;2004;4576.4;992;j
XS;aptincj992;p0p100;2005;4800.3;992;j
XS;aptincj992;p0p100;2006;5046.2;992;j
XS;aptincj992;p0p100;2007;5338.5;992;j
XS;aptincj992;p0p100;2008;5670.9;992;j
XS;aptincj992;p0p100;2009;5694;992;j
XS;aptincj992;p0p100;2010;6097.9;992;j
XS;aptincj992;p0p100;2011;6439.5;992;j
XS;aptincj992;p0p100;2012;6647.2;992;j
XS;aptincj992;p0p100;2013;6777.3;992;j
XS;aptincj992;p0p100;2014;6985.9;992;j
XS;aptincj992;p0p100;2015;7269.7;992;j
XS;aptincj992;p0p100;2016;7679;992;j
XS;aptincj992;p0p100;2017;7995.5;992;j
XS;aptincj992;p0p100;2018;8281.2;992;j
XS;aptincj992;p0p100;2019;8518.4;992;j
XS;aptincj992;p0p100;2020;8061;992;j
XS;aptincj992;p0p100;2021;8601.9;992;j
XS;aptincj992;p0p50;1980;780;992;j
XS;aptincj992;p0p50;1981;810.5;992;j
XS;aptincj992;p0p50;1982;833.2;992;j
XS;aptincj992;p0p50;1983;797.8;992;j
XS;aptincj992;p0p50;1984;843.8;992;j
XS;aptincj992;p0p50;1985;830.6;992;j
XS;aptincj992;p0p50;1986;839.6;992;j
XS;aptincj992;p0p50;1987;860.2;992;j
XS;aptincj992;p0p50;1988;858.7;992;j
XS;aptincj992;p0p50;1989;907.1;992;j
XS;aptincj992;p0p50;1990;949.9;992;j
XS;aptincj992;p0p50;1991;968.6;992;j
XS;aptincj992;p0p50;1992;952.8;992;j
XS;aptincj992;p0p50;1993;965.9;992;j
XS;aptincj992;p0p50;1994;974;992;j
XS;aptincj992;p0p50;1995;1011.8;992;j
XS;aptincj992;p0p50;1996;1052.9;992;j
XS;aptincj992;p0p50;1997;1108.6;992;j
XS;aptincj992;p0p50;1998;1113.4;992;j
