country;variable;percentile;year;value;age;pop
YU;xlceuxi999;p0p100;2021;103.935248348865;999;i
YU;andproi999;p0p100;1950;17129.8;999;i
YU;andproi999;p0p100;1951;17546;999;i
YU;andproi999;p0p100;1952;15780.1;999;i
YU;andproi999;p0p100;1953;18001.5;999;i
YU;andproi999;p0p100;1954;18735.5;999;i
YU;andproi999;p0p100;1955;19657;999;i
YU;andproi999;p0p100;1956;18846.8;999;i
YU;andproi999;p0p100;1957;21854.3;999;i
YU;andproi999;p0p100;1958;22416.2;999;i
YU;andproi999;p0p100;1959;24969.8;999;i
YU;andproi999;p0p100;1960;26228.1;999;i
YU;andproi999;p0p100;1961;27071.3;999;i
YU;andproi999;p0p100;1962;27183.1;999;i
YU;andproi999;p0p100;1963;29789;999;i
YU;andproi999;p0p100;1964;32378.7;999;i
YU;andproi999;p0p100;1965;32870.4;999;i
YU;andproi999;p0p100;1966;34350.3;999;i
YU;andproi999;p0p100;1967;34571.8;999;i
YU;andproi999;p0p100;1968;34926.5;999;i
YU;andproi999;p0p100;1969;38681.2;999;i
YU;andproi999;p0p100;1970;40121.9;999;i
YU;andproi999;p0p100;1971;42789.4;999;i
YU;andproi999;p0p100;1972;43768.9;999;i
YU;andproi999;p0p100;1973;45305.5;999;i
YU;andproi999;p0p100;1974;49853.6;999;i
YU;andproi999;p0p100;1975;50446.3;999;i
YU;andproi999;p0p100;1976;52066.3;999;i
YU;andproi999;p0p100;1977;55050.5;999;i
YU;andproi999;p0p100;1978;57593;999;i
YU;andproi999;p0p100;1979;60508.2;999;i
YU;andproi999;p0p100;1980;61316.9;999;i
YU;andproi999;p0p100;1981;60580.8;999;i
YU;andproi999;p0p100;1982;59694.4;999;i
YU;andproi999;p0p100;1983;57034.1;999;i
YU;andproi999;p0p100;1984;57718.3;999;i
YU;andproi999;p0p100;1985;58034;999;i
YU;andproi999;p0p100;1986;59973.7;999;i
YU;andproi999;p0p100;1987;58950.3;999;i
YU;andproi999;p0p100;1988;57616.1;999;i
YU;andproi999;p0p100;1989;63383.8;999;i
YU;aconfci992;p0p100;1950;1945.5;992;i
YU;aconfci992;p0p100;1951;1974.6;992;i
YU;aconfci992;p0p100;1952;2009.2;992;i
YU;aconfci992;p0p100;1953;2078.3;992;i
YU;aconfci992;p0p100;1954;2173.3;992;i
YU;aconfci992;p0p100;1955;2289.4;992;i
YU;aconfci992;p0p100;1956;2427;992;i
YU;aconfci992;p0p100;1957;2606;992;i
YU;aconfci992;p0p100;1958;2812;992;i
YU;aconfci992;p0p100;1959;3039.1;992;i
YU;aconfci992;p0p100;1960;3269.1;992;i
YU;aconfci992;p0p100;1961;3490.5;992;i
YU;aconfci992;p0p100;1962;3724.2;992;i
YU;aconfci992;p0p100;1963;3979;992;i
YU;aconfci992;p0p100;1964;4230.4;992;i
YU;aconfci992;p0p100;1965;4451.2;992;i
YU;aconfci992;p0p100;1966;4659.5;992;i
YU;aconfci992;p0p100;1967;4853.1;992;i
YU;aconfci992;p0p100;1968;5064.9;992;i
YU;aconfci992;p0p100;1969;5322.8;992;i
YU;aconfci992;p0p100;1970;5611.3;992;i
YU;aconfci992;p0p100;1971;5912.1;992;i
YU;aconfci992;p0p100;1972;6224.7;992;i
YU;aconfci992;p0p100;1973;6559.5;992;i
YU;aconfci992;p0p100;1974;6918.8;992;i
YU;aconfci992;p0p100;1975;7278.2;992;i
YU;aconfci992;p0p100;1976;7647;992;i
YU;aconfci992;p0p100;1977;8015.4;992;i
YU;aconfci992;p0p100;1978;8347.8;992;i
YU;aconfci992;p0p100;1979;8595;992;i
YU;aconfci992;p0p100;1980;8710.4;992;i
YU;aconfci992;p0p100;1981;8690.8;992;i
YU;aconfci992;p0p100;1982;8581.4;992;i
YU;aconfci992;p0p100;1983;8445.6;992;i
YU;aconfci992;p0p100;1984;8349.5;992;i
YU;aconfci992;p0p100;1985;8309.8;992;i
YU;aconfci992;p0p100;1986;8323;992;i
YU;aconfci992;p0p100;1987;8373.9;992;i
YU;aconfci992;p0p100;1988;8480.9;992;i
YU;aconfci992;p0p100;1989;8657.9;992;i
YU;aconfci999;p0p100;1950;1158.7;999;i
YU;aconfci999;p0p100;1951;1177.3;999;i
YU;aconfci999;p0p100;1952;1202.2;999;i
YU;aconfci999;p0p100;1953;1247.5;999;i
YU;aconfci999;p0p100;1954;1308;999;i
YU;aconfci999;p0p100;1955;1381.6;999;i
YU;aconfci999;p0p100;1956;1470.7;999;i
YU;aconfci999;p0p100;1957;1585;999;i
YU;aconfci999;p0p100;1958;1715.6;999;i
YU;aconfci999;p0p100;1959;1857.5;999;i
YU;aconfci999;p0p100;1960;1998.6;999;i
YU;aconfci999;p0p100;1961;2135.2;999;i
YU;aconfci999;p0p100;1962;2273.2;999;i
YU;aconfci999;p0p100;1963;2421.2;999;i
YU;aconfci999;p0p100;1964;2570.6;999;i
YU;aconfci999;p0p100;1965;2709.2;999;i
YU;aconfci999;p0p100;1966;2840.4;999;i
YU;aconfci999;p0p100;1967;2972.8;999;i
YU;aconfci999;p0p100;1968;3124.6;999;i
YU;aconfci999;p0p100;1969;3308.9;999;i
YU;aconfci999;p0p100;1970;3514;999;i
YU;aconfci999;p0p100;1971;3734.4;999;i
YU;aconfci999;p0p100;1972;3964.5;999;i
YU;aconfci999;p0p100;1973;4210;999;i
YU;aconfci999;p0p100;1974;4472.5;999;i
YU;aconfci999;p0p100;1975;4735.3;999;i
YU;aconfci999;p0p100;1976;5001.3;999;i
YU;aconfci999;p0p100;1977;5267.2;999;i
YU;aconfci999;p0p100;1978;5509.6;999;i
YU;aconfci999;p0p100;1979;5696.1;999;i
YU;aconfci999;p0p100;1980;5796;999;i
YU;aconfci999;p0p100;1981;5807.1;999;i
YU;aconfci999;p0p100;1982;5757.6;999;i
YU;aconfci999;p0p100;1983;5689.4;999;i
YU;aconfci999;p0p100;1984;5647.3;999;i
YU;aconfci999;p0p100;1985;5643.1;999;i
YU;aconfci999;p0p100;1986;5673.5;999;i
YU;aconfci999;p0p100;1987;5729;999;i
YU;aconfci999;p0p100;1988;5823.4;999;i
YU;aconfci999;p0p100;1989;5968.1;999;i
YU;agdproi992;p0p100;1950;30705.9;992;i
