country;variable;percentile;year;value;age;pop
ZZ;afiinci992;p0p100;1957;1838040.9;992;i
ZZ;afiinci992;p0p100;1958;1551737;992;i
ZZ;afiinci992;p0p100;1959;1606538.9;992;i
ZZ;afiinci992;p0p100;1960;1796543.8;992;i
ZZ;afiinci992;p0p100;1961;1645477;992;i
ZZ;afiinci992;p0p100;1962;1740281.7;992;i
ZZ;afiinci992;p0p100;1963;1914039.1;992;i
ZZ;afiinct992;p0p100;1957;3018129.6;992;t
ZZ;afiinct992;p0p100;1958;2548008.2;992;t
ZZ;afiinct992;p0p100;1959;2637994.8;992;t
ZZ;afiinct992;p0p100;1960;2949989.8;992;t
ZZ;afiinct992;p0p100;1961;2701932.7;992;t
ZZ;afiinct992;p0p100;1962;2857605.4;992;t
ZZ;afiinct992;p0p100;1963;3142921.4;992;t
ZZ;aptincj992;p99.9p100;1957;69357616;992;j
ZZ;aptincj992;p99.9p100;1958;68870552;992;j
ZZ;aptincj992;p99.9p100;1959;75872248;992;j
ZZ;aptincj992;p99.9p100;1960;74087480;992;j
ZZ;aptincj992;p99.9p100;1961;80242680;992;j
ZZ;aptincj992;p99.9p100;1962;84286824;992;j
ZZ;aptincj992;p99.9p100;1963;72883752;992;j
ZZ;bptinci992;p99.95p100;1957;0.779120683670044;992;i
ZZ;bptinci992;p99.95p100;1958;0.877874374389648;992;i
ZZ;bptinci992;p99.95p100;1959;1.01632595062256;992;i
ZZ;bptinci992;p99.95p100;1960;0.995769381523132;992;i
ZZ;bptinci992;p99.95p100;1961;0.931006014347076;992;i
ZZ;bptinci992;p99.95p100;1962;0.850692451000214;992;i
ZZ;bptinci992;p99.95p100;1963;0.822800159454346;992;i
ZZ;aptfrri999;p0p100;1990;0;999;i
ZZ;aptfrri999;p0p100;1991;0;999;i
ZZ;aptfrri999;p0p100;1992;0;999;i
ZZ;aptfrri999;p0p100;1993;0;999;i
ZZ;aptfrri999;p0p100;1994;0;999;i
ZZ;aptfrri999;p0p100;1995;0;999;i
ZZ;aptfrri999;p0p100;1996;0;999;i
ZZ;aptfrri999;p0p100;1997;0;999;i
ZZ;aptfrri999;p0p100;1998;0;999;i
ZZ;aptfrri999;p0p100;1999;0;999;i
ZZ;aptfrri999;p0p100;2000;0;999;i
ZZ;aptfrri999;p0p100;2001;0;999;i
ZZ;aptfrri999;p0p100;2002;0;999;i
ZZ;aptfrri999;p0p100;2003;0;999;i
ZZ;aptfrri999;p0p100;2004;0;999;i
ZZ;aptfrri999;p0p100;2005;0;999;i
ZZ;aptfrri999;p0p100;2006;0;999;i
ZZ;aptfrri999;p0p100;2007;0;999;i
ZZ;aptfrri999;p0p100;2008;0;999;i
ZZ;aptfrri999;p0p100;2009;0;999;i
ZZ;aptfrri999;p0p100;2010;0;999;i
ZZ;aptfrri999;p0p100;2011;0;999;i
ZZ;aptfrri999;p0p100;2012;0;999;i
ZZ;aptfrri999;p0p100;2013;0;999;i
ZZ;aptfrri999;p0p100;2014;0;999;i
ZZ;aptfrri999;p0p100;2015;0;999;i
ZZ;aptfrri999;p0p100;2016;0;999;i
ZZ;aptfrri999;p0p100;2017;0;999;i
ZZ;aptfrri999;p0p100;2018;0;999;i
ZZ;aptinci992;p99.99p100;1957;96987069.7;992;i
ZZ;aptinci992;p99.99p100;1958;122596102.3;992;i
ZZ;aptinci992;p99.99p100;1959;207022188.5;992;i
ZZ;aptinci992;p99.99p100;1960;172187027.7;992;i
ZZ;aptinci992;p99.99p100;1961;167706331;992;i
ZZ;aptinci992;p99.99p100;1962;152928916.3;992;i
ZZ;aptinci992;p99.99p100;1963;129259230.8;992;i
ZZ;sptinci992;p99.9p99.99;1957;0.0306;992;i
ZZ;sptinci992;p99.9p99.99;1958;0.0322;992;i
ZZ;sptinci992;p99.9p99.99;1959;0.0321;992;i
ZZ;sptinci992;p99.9p99.99;1960;0.0328;992;i
ZZ;sptinci992;p99.9p99.99;1961;0.0381;992;i
ZZ;sptinci992;p99.9p99.99;1962;0.039;992;i
ZZ;sptinci992;p99.9p99.99;1963;0.0326;992;i
ZZ;sptinci992;p99.99p100;1957;0.0057;992;i
ZZ;sptinci992;p99.99p100;1958;0.0073;992;i
ZZ;sptinci992;p99.99p100;1959;0.0121;992;i
ZZ;sptinci992;p99.99p100;1960;0.0099;992;i
ZZ;sptinci992;p99.99p100;1961;0.0101;992;i
ZZ;sptinci992;p99.99p100;1962;0.0086;992;i
ZZ;sptinci992;p99.99p100;1963;0.0071;992;i
ZZ;aptinct992;p0p100;1957;2816499;992;t
ZZ;aptinct992;p0p100;1958;2760758.6;992;t
ZZ;aptinct992;p0p100;1959;2817995.9;992;t
ZZ;aptinct992;p0p100;1960;2847709.4;992;t
ZZ;aptinct992;p0p100;1961;2734064;992;t
ZZ;aptinct992;p0p100;1962;2907953.8;992;t
ZZ;aptinct992;p0p100;1963;3001267.9;992;t
ZZ;sptincj992;p99.5p100;1957;0.1056;992;j
ZZ;sptincj992;p99.5p100;1958;0.1131;992;j
ZZ;sptincj992;p99.5p100;1959;0.1161;992;j
ZZ;sptincj992;p99.5p100;1960;0.1141;992;j
ZZ;sptincj992;p99.5p100;1961;0.1352;992;j
ZZ;sptincj992;p99.5p100;1962;0.1319;992;j
ZZ;sptincj992;p99.5p100;1963;0.1154;992;j
ZZ;bfiinci992;p99.95p100;1957;0.779120683670044;992;i
ZZ;bfiinci992;p99.95p100;1958;0.877874433994293;992;i
ZZ;bfiinci992;p99.95p100;1959;1.01632595062256;992;i
ZZ;bfiinci992;p99.95p100;1960;0.995769381523132;992;i
