na_item,time,values,geo
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,2.3,Austria
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,2.5,Belgia
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,2.6,Bulgaria
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,0.8,Elvetia
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,3.1,Cipru
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,2.8,Cehia
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,2.3,Germania
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,1.8,Danemarca
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,2.2,Estonia
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,2.1,Grecia
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,1.8,Spania
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,2.2,Media UE
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,1.7,Finlanda
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,1.9,Franta
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,2.3,Croatia
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,3.9,Ungaria
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,1.2,Irlanda
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,1.3,Islanda
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,2.6,Italia
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,1.6,Lituania
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,1.8,Luxemburg
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,2.6,Letonia
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,3.9,Malta
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,1.8,Olanda
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,1.7,Norvegia
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,2.7,Polonia
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,3.5,Portugalia
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,3,Romania
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,1.8,Suedia
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,2.7,Slovenia
"Executive and legislative organs, financial and fiscal affairs, external affairs",2021-01-01,3.9,Slovacia
Foreign economic aid,2021-01-01,0.2,Austria
Foreign economic aid,2021-01-01,0.2,Belgia
Foreign economic aid,2021-01-01,0,Bulgaria
Foreign economic aid,2021-01-01,0.4,Elvetia
Foreign economic aid,2021-01-01,0,Cipru
Foreign economic aid,2021-01-01,0,Cehia
Foreign economic aid,2021-01-01,0.7,Germania
Foreign economic aid,2021-01-01,0.8,Danemarca
Foreign economic aid,2021-01-01,0.2,Estonia
Foreign economic aid,2021-01-01,0,Grecia
Foreign economic aid,2021-01-01,0.1,Spania
