geo,time,income_revenues,year
Austria,1998,10.5,1
Belgia,1998,13,1
Bulgaria,1998,5.7,1
Cipru,1998,3.2,1
Cehia,1998,4.4,1
Germania,1998,8.7,1
Danemarca,1998,25.8,1
Estonia,1998,7.8,1
Grecia,1998,4.3,1
Spania,1998,6.9,1
Franta,1998,7.8,1
Ungaria,1998,6.4,1
Irlanda,1998,9.8,1
Islanda,1998,11.5,1
Italia,1998,10.8,1
Lituania,1998,7.6,1
Luxemburg,1998,7.2,1
Letonia,1998,5.3,1
Malta,1998,4.5,1
Olanda,1998,5.6,1
Norvegia,1998,11.5,1
Polonia,1998,7.5,1
Portugalia,1998,5,1
Romania,1998,4.6,1
Suedia,1998,16.7,2
Slovenia,1998,5.5,2
Slovacia,1998,4.3,2
Austria,1999,10.5,2
Belgia,1999,12.7,2
Bulgaria,1999,6.2,2
Cipru,1999,3.2,2
Cehia,1999,4.1,2
Germania,1999,9.1,2
Danemarca,1999,26.5,2
Estonia,1999,7.7,2
Grecia,1999,4.5,2
Spania,1999,6.7,2
Franta,1999,8,2
Ungaria,1999,6.8,2
Irlanda,1999,9.7,2
Islanda,1999,12.4,2
Italia,1999,11.1,2
Lituania,1999,8.2,2
Luxemburg,1999,6.9,2
Letonia,1999,5.4,2
Malta,1999,5.1,2
Olanda,1999,5.6,2
Norvegia,1999,11.1,2
Polonia,1999,4.9,3
Portugalia,1999,5,3
Romania,1999,3.5,3
Suedia,1999,16.9,3
Slovenia,1999,5.4,3
Slovacia,1999,4.2,3
Austria,2000,10.1,3
Belgia,2000,12.8,3
Bulgaria,2000,5.7,3
Cipru,2000,3.1,3
Cehia,2000,4.2,3
Germania,2000,9.3,3
Danemarca,2000,25,3
Estonia,2000,6.8,3
Grecia,2000,4.3,3
Spania,2000,6.4,3
Franta,2000,8.2,3
Ungaria,2000,7.2,3
Irlanda,2000,9.7,3
Islanda,2000,13,3
Italia,2000,11,3
Lituania,2000,7.6,3
Luxemburg,2000,6.8,3
Letonia,2000,5.5,3
Malta,2000,4.7,4
Olanda,2000,5.5,4
Norvegia,2000,10.1,4
Polonia,2000,4.3,4
Portugalia,2000,5.3,4
Romania,2000,3.5,4
Suedia,2000,17.1,4
Slovenia,2000,5.5,4
Slovacia,2000,3.3,4
Austria,2001,10.7,4
Belgia,2001,13.1,4
Bulgaria,2001,5,4
Cipru,2001,3.3,4
Cehia,2001,4.1,4
Germania,2001,8.9,4
Danemarca,2001,24.4,4
Estonia,2001,6.5,4
Grecia,2001,4,4
Spania,2001,6.6,4
Franta,2001,8.2,4
Ungaria,2001,7.4,4
Irlanda,2001,8.8,4
Islanda,2001,13.6,4
Italia,2001,10.5,4
Lituania,2001,7.2,5
Luxemburg,2001,6.7,5
Letonia,2001,5.5,5
Malta,2001,5.6,5
Olanda,2001,5.7,5
Norvegia,2001,10.2,5
Polonia,2001,4.2,5
Portugalia,2001,5.3,5
Romania,2001,3.2,5
Suedia,2001,16.5,5
Slovenia,2001,5.6,5
Slovacia,2001,3.5,5
Austria,2002,10.4,5
Belgia,2002,13,5
Bulgaria,2002,4.6,5
Cipru,2002,3.6,5
Cehia,2002,4.3,5
Germania,2002,8.6,5
Danemarca,2002,24.1,5
Estonia,2002,6.4,5
Grecia,2002,4.3,5
Spania,2002,6.7,5
Franta,2002,7.8,5
Ungaria,2002,7.4,5
Irlanda,2002,8.2,6
Islanda,2002,13.6,6
Italia,2002,10.3,6
Lituania,2002,6.8,6
Luxemburg,2002,6.1,6
Letonia,2002,5.4,6
Malta,2002,6.1,6
Olanda,2002,6.4,6
Norvegia,2002,10.5,6
Polonia,2002,4.2,6
Portugalia,2002,5.1,6
Romania,2002,2.7,6
Suedia,2002,16,6
Slovenia,2002,5.6,6
Slovacia,2002,3.2,6
Austria,2003,10.3,6
Belgia,2003,12.6,6
Bulgaria,2003,3.3,6
Cipru,2003,3.7,6
Cehia,2003,4.4,6
Germania,2003,8.4,6
Danemarca,2003,24.4,6
Estonia,2003,6.4,6
Grecia,2003,4.1,6
Spania,2003,6.3,7
Franta,2003,7.9,7
Ungaria,2003,6.9,7
Irlanda,2003,8.5,7
Islanda,2003,14.1,7
Italia,2003,10.1,7
Lituania,2003,6.5,7
Luxemburg,2003,6.4,7
Letonia,2003,5.5,7
Malta,2003,5.9,7
Olanda,2003,6.1,7
Norvegia,2003,10.3,7
Polonia,2003,4.1,7
Portugalia,2003,5,7
Romania,2003,2.9,7
Suedia,2003,16.4,7
Slovenia,2003,5.6,7
Slovacia,2003,3.1,7
Austria,2004,10,7
Belgia,2004,12.4,7
Bulgaria,2004,3,7
Cipru,2004,2.9,7
Cehia,2004,4.4,7
Germania,2004,7.8,7
Danemarca,2004,24.9,8
Estonia,2004,6.2,8
Grecia,2004,4.1,8
Spania,2004,6.3,8
Franta,2004,7.8,8
Ungaria,2004,6.5,8
Irlanda,2004,9,8
Islanda,2004,14.1,8
Italia,2004,10,8
Lituania,2004,6.8,8
Luxemburg,2004,6.5,8
Letonia,2004,5.7,8
Malta,2004,6.2,8
Olanda,2004,5.6,8
Norvegia,2004,10,8
Polonia,2004,4,8
Portugalia,2004,4.9,8
Romania,2004,3,8
Suedia,2004,16.4,8
Slovenia,2004,5.6,8
Slovacia,2004,3,8
Austria,2005,9.5,8
Belgia,2005,12.4,8
Bulgaria,2005,2.7,8
Cipru,2005,3.1,9
Cehia,2005,4.5,9
Germania,2005,7.8,9
Danemarca,2005,25.7,9
Estonia,2005,5.5,9
Grecia,2005,4.4,9
Spania,2005,6.6,9
Franta,2005,7.9,9
Ungaria,2005,6.4,9
Irlanda,2005,9.1,9
Islanda,2005,14.9,9
Italia,2005,10.1,9
Lituania,2005,6.8,9
Luxemburg,2005,7.1,9
Letonia,2005,5.4,9
Malta,2005,6.3,9
Olanda,2005,6.1,9
Norvegia,2005,9.4,9
Polonia,2005,4.3,9
Portugalia,2005,5,9
Romania,2005,2.3,9
Suedia,2005,16.9,9
Slovenia,2005,5.4,9
Slovacia,2005,3,9
Austria,2006,9.5,10
Belgia,2006,11.9,10
Bulgaria,2006,2.5,10
Cipru,2006,3.8,10
Cehia,2006,4.2,10
Germania,2006,8.1,10
Danemarca,2006,24,10
Estonia,2006,5.5,10
Grecia,2006,4.3,10
Spania,2006,7,10
Franta,2006,7.8,10
Ungaria,2006,6.6,10
Irlanda,2006,9.5,10
Islanda,2006,14.7,10
Italia,2006,10.5,10
Lituania,2006,6.8,10
Luxemburg,2006,7.4,10
Letonia,2006,5.6,10
