country,year,01 Marginal rate,01 Threshold,02 Marginal rate,02 Threshold,03 Marginal rate,03 Threshold,04 Marginal rate,Personal allowance,Tax credit
Czech Republic,2000,15,102000,20,204000,25,312000,32,34920,NA
Czech Republic,2001,15,109200,20,218400,25,331200,32,38040,NA
Czech Republic,2002,15,109200,20,218400,25,331200,32,38040,NA
Czech Republic,2003,15,109200,20,218400,25,331200,32,38040,NA
Czech Republic,2004,15,109200,20,218400,25,331200,32,38040,NA
Czech Republic,2005,15,109200,20,218400,25,331200,32,38040,NA
Czech Republic,2006,12,121200,19,218400,25,331200,32,NA,7200
Czech Republic,2007,12,121200,19,218400,25,331200,32,NA,7200
Czech Republic,2008,15,NA,NA,NA,NA,NA,NA,NA,24840
Czech Republic,2009,15,NA,NA,NA,NA,NA,NA,NA,24840
Czech Republic,2010,15,NA,NA,NA,NA,NA,NA,NA,24840
Czech Republic,2011,15,NA,NA,NA,NA,NA,NA,NA,23640
Czech Republic,2012,15,NA,NA,NA,NA,NA,NA,NA,24840
Czech Republic,2013,15,NA,NA,NA,NA,NA,NA,NA,24840
Czech Republic,2014,15,NA,NA,NA,NA,NA,NA,NA,24840
Czech Republic,2015,15,NA,NA,NA,NA,NA,NA,NA,24840
Czech Republic,2016,15,NA,NA,NA,NA,NA,NA,NA,24840
Czech Republic,2017,15,NA,NA,NA,NA,NA,NA,NA,24840
Czech Republic,2018,15,NA,NA,NA,NA,NA,NA,NA,24840
Czech Republic,2019,15,NA,NA,NA,NA,NA,NA,NA,24840
Czech Republic,2020,15,NA,NA,NA,NA,NA,NA,NA,24840
Czech Republic,2021,15,1701168,23,NA,NA,NA,NA,NA,27840
Hungary,2000,20,400000,30,1000000,40,NA,NA,NA,NA
Hungary,2001,20,480000,30,1050000,40,NA,NA,NA,NA
Hungary,2002,20,600000,30,1200000,40,NA,NA,NA,NA
Hungary,2003,20,650000,30,1350000,40,NA,NA,NA,NA
Hungary,2004,18,800000,26,1500000,38,NA,NA,NA,NA
Hungary,2005,18,1500000,38,NA,NA,NA,NA,NA,NA
Hungary,2006,18,1550000,36,NA,NA,NA,NA,NA,NA
Hungary,2007,18,1700000,36,NA,NA,NA,NA,NA,NA
Hungary,2008,18,1700000,36,NA,NA,NA,NA,NA,NA
Hungary,2009,18,1900000,36,NA,NA,NA,NA,NA,NA
Hungary,2010,17,5000000,32,NA,NA,NA,NA,NA,NA
Hungary,2011,16,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,2012,16,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,2013,16,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,2014,16,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,2015,16,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,2016,15,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,2017,15,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,2018,15,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,2019,15,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,2020,15,NA,NA,NA,NA,NA,NA,NA,NA
Hungary,2021,15,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,2000,25,NA,NA,NA,NA,NA,NA,359,NA
Latvia,2001,25,NA,NA,NA,NA,NA,NA,359,NA
Latvia,2002,25,NA,NA,NA,NA,NA,NA,359,NA
Latvia,2003,25,NA,NA,NA,NA,NA,NA,359,NA
Latvia,2004,25,NA,NA,NA,NA,NA,NA,359,NA
Latvia,2005,25,NA,NA,NA,NA,NA,NA,444,NA
Latvia,2006,25,NA,NA,NA,NA,NA,NA,546,NA
Latvia,2007,25,NA,NA,NA,NA,NA,NA,854,NA
Latvia,2008,25,NA,NA,NA,NA,NA,NA,1366,NA
Latvia,2009,23,NA,NA,NA,NA,NA,NA,1537,NA
Latvia,2010,26,NA,NA,NA,NA,NA,NA,598,NA
Latvia,2011,25,NA,NA,NA,NA,NA,NA,768,NA
Latvia,2012,25,NA,NA,NA,NA,NA,NA,768,NA
Latvia,2013,24,NA,NA,NA,NA,NA,NA,768,NA
Latvia,2014,24,NA,NA,NA,NA,NA,NA,900,NA
