geo,what,time,capital,contributii,munca,consum,proprietate
Belgia,PIB,2009,8.452403,14.358472,23.992655,10.602766,2.921874
Bulgaria,PIB,2009,3.891144,7.205681,9.062166,13.780262,0.502825
Cehia,PIB,2009,5.489447,14.115779,16.513987,10.480844,0.41509
Danemarca,PIB,2009,5.237761,0.059063,24.915963,14.809577,2.545202
Estonia,PIB,2009,2.717801,12.873711,18.153419,14.080838,0.34553
Irlanda,PIB,2009,5.937137,5.203289,12.42656,9.809731,1.446529
Grecia,PIB,2009,7.139842,10.166957,13.176391,10.43555,2.30451
Spania,PIB,2009,7.033226,12.019661,16.387667,6.318203,2.031379
Franta,PIB,2009,9.34237,16.224666,22.260943,10.562909,3.115953
Croatia,PIB,2009,4.420848,11.991787,15.407662,16.255652,1.111959
Italia,PIB,2009,10.044173,13.162734,21.427384,10.06013,2.100864
Cipru,PIB,2009,8.329308,7.840218,11.102032,12.358973,1.112152
Letonia,PIB,2009,2.734001,9.168693,14.335963,10.314953,0.81407
Lituania,PIB,2009,4.000357,12.465331,15.220716,11.009602,0.667788
Luxemburg,PIB,2009,9.773468,10.858448,16.366439,10.226503,1.090964
Ungaria,PIB,2009,7.661179,12.768906,18.61916,12.538813,0.785674
Malta,PIB,2009,8.7982030000000009,5.620167,10.480584,12.541727,1.011217
Olanda,PIB,2009,4.606627,12.623511,19.470179,11.057195,1.322574
Austria,PIB,2009,6.367472,14.106317,23.105181,11.662826,0.634684
Polonia,PIB,2009,7.846068,11.080852,11.913559,11.608609,1.3905
Portugalia,PIB,2009,6.440808,8.561514,12.727375,10.628018,1.826731
Romania,PIB,2009,4.395263,8.961545,11.129519,9.700479,0.750639
Slovenia,PIB,2009,4.574465,15.523695,19.438331,13.320639,0.576753
Slovacia,PIB,2009,3.72599,12.398686,15.026157,10.053982,0.416363
Finlanda,PIB,2009,5.719638,12.135001,22.159776,12.893198,1.04706
Suedia,PIB,2009,5.491459,2.751961,25.492954,12.714689,1.013957
Belgia,PIB,2010,8.79284,14.004182,23.743336,10.855728,3.086963
Bulgaria,PIB,2010,3.614647,6.637343,8.428499,13.358437,0.488783
Cehia,PIB,2010,5.089122,14.43901,17.049342,10.716378,0.514993
Danemarca,PIB,2010,7.673473,0.100138,22.73241,14.610271,2.548768
Estonia,PIB,2010,2.271877,12.749388,17.719983,13.204713,0.379755
Irlanda,PIB,2010,5.739078,5.052769,12.221239,9.865065,1.379395
Grecia,PIB,2010,6.562313,11.042102,13.747872,11.999607,1.952491
Spania,PIB,2010,6.584896,11.861092,16.633236,8.131655,2.067476
Franta,PIB,2010,9.421326,16.055619,22.215513,10.656081,3.968147
Croatia,PIB,2010,3.716254,11.779668,15.081277,16.786626,1.028614
Italia,PIB,2010,9.202427,12.977017,21.461901,10.577557,1.791434
Cipru,PIB,2010,8.175334,7.976425,11.279887,12.208457,1.241451
Letonia,PIB,2010,2.750302,8.589826,14.335741,11.165695,1.00556
Lituania,PIB,2010,2.935243,11.6331,14.112063,11.248425,0.695176
Luxemburg,PIB,2010,9.987523,10.345803,15.837884,9.924096,1.024362
Ungaria,PIB,2010,7.073855,11.717763,17.294249,12.441383,1.11117
Malta,PIB,2010,9.07614,5.441768,9.897321,11.947571,0.963613
Olanda,PIB,2010,5.027317,12.938624,19.454095,11.043091,1.305721
Austria,PIB,2010,6.356871,13.999079,23.137578,11.605822,0.660727
Polonia,PIB,2010,7.189856,10.877695,11.945817,12.463885,1.415606
Portugalia,PIB,2010,6.368158,8.595307,12.565802,11.412845,1.738211
Romania,PIB,2010,3.998102,8.470138,10.755615,11.063719,0.81825
Slovenia,PIB,2010,4.720289,15.801935,19.61584,13.690966,0.60854
Slovacia,PIB,2010,3.601532,11.90302,14.356125,9.82736,0.402812
Finlanda,PIB,2010,6.520193,12.037652,21.145997,12.896042,1.109263
