cod,taxa,functie,year,value
D2,IMPOZITE PE PRODUCTIE SI IMPORTURI,_Z,1995,708.7
D21,Impozite pe produse,_Z,1995,661.1
D211,Taxe de tip TVA,_Z,1995,377.8
D211,Taxa pe valoarea adaugata,C,1995,377.8
D212,"Impozite si drepturi asupra importurilor,exclusiv TVA",_Z,1995,118.9
D2121,Drepturi asupra importurilor,_Z,1995,118.9
D2121,Taxa de timbru social asupra valorii automobilelor noi din import,C,1995,0
D2121,Taxe vamale din sumele datorate pana la data de 31.12.2006,C,1995,0
D2121,Taxe vamale de la persoane juridice,C,1995,104.3
D2121,Taxe vamale si alte venituri incasate de la persoane fizice  prin unitatile vamale,C,1995,0
D2121,Incasari din comisioane pentru servicii vamale,C,1995,14.6
D2121,Taxe anti-dumpind pe produse,C,1995,0
D2121,Taxe vamale legate de sectorul agricol,C,1995,0
D2122,"Impozite pe importuri, exclusiv TVA și drepturile de import",_Z,1995,NA
D2122A,Prelevările asupra produselor agricole importate,_Z,1995,NA
D2122B,Sumele compensatorii monetare asupra importurilor,_Z,1995,NA
D2122C,Accize,_Z,1995,NA
D2122C,Accize incasate in vama din importul produselor energetice,C,1995,NA
D2122C,"Accize incasate in vama din importul de alcool etilic, produse intermediare, vinuri spumoase, bauturi fermentate spumoase si bere inclusiv sume datorate pana la 31 decembrie 2006",C,1995,NA
D2122C,Accize incasate in vama din importul de produse din tutun,C,1995,NA
D2122C,Accize incasate in vama din importul de cafea,C,1995,NA
D2122C,Accize incasate in vama din importul altor produse,C,1995,NA
D2122C,Accize in vama din importul autoturismelor,C,1995,NA
D2122C,"Accize in vama din importul aparatelor de aer conditionat,datorate pana la 31.12.2006",C,1995,NA
D2122C,"Accize incasate in vama din importul de alcool, distilate si bauturi alcoolice",C,1995,NA
D2122C,Venituri cu destinatie speciala din cota unica asupra carburantilor auto livrati la intern de producatori precum si carburantii auto consumati de acestia si asupra  carburantilor auto importati (Restante anii anteriori),C,1995,NA
D2122D,Taxele pe vânzări generale,_Z,1995,NA
D2122E,Taxe pe servicii specifice,_Z,1995,NA
D2122F,Profitul monopolurilor de import,_Z,1995,NA
D214,"Impozite pe produse,exclusivTVA si impozitele pe importuri",_Z,1995,164.4
D214A,Drepturi de accize si impozite de consum,_Z,1995,132.8
D214A,Impozit pe titeiul din productia interna si gazele naturale,C,1995,25.4
D214A,Taxa de dezvoltare cuprinsa in tariful energiei electrice si termice-Restante anii anteriori,C,1995,27.4
D214A,Accize incasate din vanzarea produselor energetice,C,1995,80
D214A,"Accize incasate din vanzarea de alcool, etilic, produse intermediare, vinuri spumoase, bauturi fermentate si bere",C,1995,NA
D214A,Accize incasate din vanzarea produselor din tutun,C,1995,NA
D214A,Accize incasate din vanzarea de cafea,C,1995,NA
D214A,Accize incasate din vanzarea altor produse,C,1995,NA
D214A,Accize incasate din vanzarea energiei electrice,C,1995,NA
D214A,Accize incasate din vanzarea autoturismelor din productia interna,C,1995,NA
D214A,Accize incasate la eliberarea banderolelor fiscale pentru bauturile alcoolice,C,1995,NA
D214B,Taxe de timbru,_Z,1995,NA
D214B,"Taxe judiciare de timbru, taxe de timbru pentru activitatea notariala si alte taxe de timbru",KS,1995,NA
D214B,Venituri din timbrul judiciar,KS,1995,NA
D214B,Taxe extrajudiciare de timbru,KS,1995,NA
D214B,Taxe de timbru pt. contestatiile si plângerile asupra sumelor constatate si aplicate prin acte de control sau de impunere,KS,1995,NA
D214C,Taxa pe tranzacțiile financiare și de capital,_Z,1995,NA
D214C,Impozitul pe veniturile din transferul  proprietatilor imobiliare din  patrimoniul personal,KS,1995,NA
D214D,Taxe inregistrare auto,_Z,1995,NA
D214D,Taxe inregistrare auto,C,1995,NA
D214E,Taxe pentru spectacol si divertisment,_Z,1995,NA
D214E,Impozit pe spectacole,C,1995,NA
D214F,"Taxe pentru loterie,jocuri de noroc si pariuri",_Z,1995,NA
D214F,Taxa de timbru social asupra jocurilor de noroc,C,1995,NA
D214G,Taxe asupra primelor de asigurare,_Z,1995,NA
D214G,"Venituri din aplicarea unei cote de 1,5% asupra volumului de prime brute",C,1995,NA
D214H,Alte taxe pentru servicii determinate,_Z,1995,NA
D214H,"Impozit pe veniturile din activitatile de expertiza contabila, tehnica judiciara si extrajudiciara",C,1995,NA
D214H,Alte taxe pe servicii specifice,C,1995,NA
D214H,Taxe hoteliere,C,1995,NA
D214H,Cote din taxe de scolarizare,C,1995,NA
D214H,Contributia agentilor economici din turism,C,1995,NA
D214H,Taxa pentru reabilitare termica,C,1995,NA
D214I,Impozite generale pe vanzari sau pe cifra de afaceri,_Z,1995,NA
D214I,"Alte impozite si taxe generale pe cifra de afaceri, vanzari si valoare adaugata",C,1995,NA
D214I,Venituri din cota pe cifra de afaceri in domeniul comunicatiilor electronice,C,1995,NA
D214I,Venituri din contributia datorata pt medicamente finantate din Fd. National Unic de Asig. Sociale de Sanatate si din bg. Min. Sanatatii,C,1995,NA
D214I,Venituri din contributia datorata pt medicamente finantate din Fd. National Unic de Asig. Sociale de Sanatate pana la data de 30septembrie 2011,C,1995,NA
D214I,Venituri din contributia datorata pentru contractele cost-volum/cost-volum-rezultat,C,1995,NA
D214I,Venituri din contributia datorata pentru volume de medicamente consumate care depasesc volumele stabilite prin contracte,C,1995,NA
D214J,Beneficiile monopolurilor fiscale,_Z,1995,NA
D214J,Impozit pe venituri din activitati desfasurate in baza contractelor/ conventiilor civile incheiate potrivit Codului civil,C,1995,NA
D214K,Taxele de export și comp monetare. sumele pe exporturi,_Z,1995,NA
D214L,Alte taxe pe produse,_Z,1995,31.6
D214L,Alte impozite si taxe,C,1995,31.6
D214L,Taxe speciale,C,1995,NA
D214L,Venituri incasate an curent,C,1995,NA
